task_name,dtype,seed,alpha,hid_size,num_layers,n_collocation,n_ic,n_bc,adam_steps,lbfgs_steps,final_loss,final_l2_error,time_sec,log_dir,nu
burgers1d,fp32,0,0.001,64,4,5000,500,500,8000,500,0.03837183862924576,0.3161875009536743,101.54232215881348,/kaggle/working/runs/burgers1d_nu_0p001_fp32_0,0.001
burgers1d,fp32,1,0.001,64,4,5000,500,500,8000,500,0.02388397976756096,0.2301674783229828,100.11210179328918,/kaggle/working/runs/burgers1d_nu_0p001_fp32_1,0.001
burgers1d,fp32,2,0.001,64,4,5000,500,500,8000,500,0.03594698756933212,0.6213208436965942,98.87190508842468,/kaggle/working/runs/burgers1d_nu_0p001_fp32_2,0.001
burgers1d,fp64,0,0.001,64,4,5000,500,500,8000,500,0.06969039146285373,0.39531601318571635,172.61169624328613,/kaggle/working/runs/burgers1d_nu_0p001_fp64_0,0.001
burgers1d,fp64,1,0.001,64,4,5000,500,500,8000,500,0.5091516884305871,1.0000009597072774,170.02357244491577,/kaggle/working/runs/burgers1d_nu_0p001_fp64_1,0.001
burgers1d,fp64,2,0.001,64,4,5000,500,500,8000,500,0.06169180834251417,0.39521897581996523,171.7975766658783,/kaggle/working/runs/burgers1d_nu_0p001_fp64_2,0.001
burgers1d,fp32,0,0.01,64,4,5000,500,500,8000,500,3.7531099223997444e-05,0.049333274364471436,100.15361976623535,/kaggle/working/runs/burgers1d_nu_0p01_fp32_0,0.01
burgers1d,fp32,1,0.01,64,4,5000,500,500,8000,500,4.0033850382314995e-05,0.049119170755147934,99.45112729072571,/kaggle/working/runs/burgers1d_nu_0p01_fp32_1,0.01
burgers1d,fp32,2,0.01,64,4,5000,500,500,8000,500,3.11516341753304e-05,0.049273062497377396,98.92491126060486,/kaggle/working/runs/burgers1d_nu_0p01_fp32_2,0.01
burgers1d,fp64,0,0.01,64,4,5000,500,500,8000,500,4.4787310227800456e-05,0.04920775412950652,173.6690001487732,/kaggle/working/runs/burgers1d_nu_0p01_fp64_0,0.01
burgers1d,fp64,1,0.01,64,4,5000,500,500,8000,500,3.938003466892188e-05,0.049217967537794165,173.27052211761475,/kaggle/working/runs/burgers1d_nu_0p01_fp64_1,0.01
burgers1d,fp64,2,0.01,64,4,5000,500,500,8000,500,3.3273787887383636e-05,0.0492912417451976,173.43312764167786,/kaggle/working/runs/burgers1d_nu_0p01_fp64_2,0.01
burgers1d,fp32,0,0.1,64,4,5000,500,500,8000,500,8.487010745739099e-06,0.023654714226722717,107.60891056060791,/kaggle/working/runs/burgers1d_nu_0p1_fp32_0,0.1
burgers1d,fp32,1,0.1,64,4,5000,500,500,8000,500,1.743103530316148e-05,0.02347792126238346,101.70374464988708,/kaggle/working/runs/burgers1d_nu_0p1_fp32_1,0.1
burgers1d,fp32,2,0.1,64,4,5000,500,500,8000,500,4.783062649948988e-06,0.023718778043985367,101.0324170589447,/kaggle/working/runs/burgers1d_nu_0p1_fp32_2,0.1
burgers1d,fp64,0,0.1,64,4,5000,500,500,8000,500,1.109635292365517e-05,0.023810158892002505,173.9173378944397,/kaggle/working/runs/burgers1d_nu_0p1_fp64_0,0.1
burgers1d,fp64,1,0.1,64,4,5000,500,500,8000,500,1.2116821240203585e-05,0.02366806725013773,172.8457314968109,/kaggle/working/runs/burgers1d_nu_0p1_fp64_1,0.1
burgers1d,fp64,2,0.1,64,4,5000,500,500,8000,500,6.875689717173589e-06,0.023820021199874964,172.97461414337158,/kaggle/working/runs/burgers1d_nu_0p1_fp64_2,0.1
