task_name,dtype,seed,alpha,hid_size,num_layers,init_gain,n_collocation,point_mode,n_ic,n_bc,adam_steps,lbfgs_steps,lbfgs_max_iter,lbfgs_max_eval,lbfgs_lr,resample_every,final_loss,final_l2_error,time_sec,log_dir,nu,run_id,run_name,variant,case_name,case_value,lr_adam,lbfgs_history_size,lbfgs_tolerance_grad,lbfgs_tolerance_change,lbfgs_line_search_fn,best_l2_error,best_step,elapsed_time,m,lambda_val,hard_bc,bc_weight,beta,n_grid,error
burgers1d,fp16,0,0.001,256,4,1.0,10000,,800,800,3000,2000,5,,0.5,200,,,823.5590693950653,final/runs/run005_burgers1d_burgers_more_points_nu0p001_fp16_s0,0.001,5,run005_burgers1d_burgers_more_points_nu0p001_fp16_s0,burgers_more_points,nu,0.001,5e-05,100,1e-08,1e-10,strong_wolfe,,,823.5590693950653,,,,,,,
burgers1d,fp16,1,0.001,256,4,1.0,10000,,800,800,3000,2000,5,,0.5,200,,,827.8239800930023,final/runs/run006_burgers1d_burgers_more_points_nu0p001_fp16_s1,0.001,6,run006_burgers1d_burgers_more_points_nu0p001_fp16_s1,burgers_more_points,nu,0.001,5e-05,100,1e-08,1e-10,strong_wolfe,,,827.8239800930023,,,,,,,
burgers1d,fp16,0,0.002,256,4,1.0,10000,,800,800,3000,2000,5,,0.5,200,,,829.2378642559052,final/runs/run011_burgers1d_burgers_more_points_nu0p002_fp16_s0,0.002,11,run011_burgers1d_burgers_more_points_nu0p002_fp16_s0,burgers_more_points,nu,0.002,5e-05,100,1e-08,1e-10,strong_wolfe,,,829.2378642559052,,,,,,,
burgers1d,fp16,1,0.002,256,4,1.0,10000,,800,800,3000,2000,5,,0.5,200,,,832.4802167415619,final/runs/run012_burgers1d_burgers_more_points_nu0p002_fp16_s1,0.002,12,run012_burgers1d_burgers_more_points_nu0p002_fp16_s1,burgers_more_points,nu,0.002,5e-05,100,1e-08,1e-10,strong_wolfe,,,832.4802167415619,,,,,,,
helmholtz1d,fp64,1,"{'m': 8, 'lambda_val': 1.0, 'hard_bc': False, 'bc_weight': 1.0}",128,4,,5000,,0,2,10000,1000,1,,1.0,200,1.2407168123295201e-05,0.2298232918962674,117.94852638244629,final/runs/run016_helmholtz1d_helmholtz_resample_long_m8_fp64_s1,,16,run016_helmholtz1d_helmholtz_resample_long_m8_fp64_s1,helmholtz_resample_long,m,8.0,0.0005,50,1e-08,1e-09,strong_wolfe,0.2298230628129184,10000.0,117.94852638244629,8.0,1.0,False,1.0,,,
helmholtz1d,fp16,0,"{'m': 8, 'lambda_val': 1.0, 'hard_bc': False, 'bc_weight': 1.0}",128,4,,5000,,0,2,10000,1000,1,,1.0,200,,,399.1708152294159,final/runs/run017_helmholtz1d_helmholtz_resample_long_m8_fp16_s0,,17,run017_helmholtz1d_helmholtz_resample_long_m8_fp16_s0,helmholtz_resample_long,m,8.0,0.0005,50,1e-08,1e-09,strong_wolfe,,,399.1708152294159,8.0,1.0,False,1.0,,,
helmholtz1d,fp16,1,"{'m': 8, 'lambda_val': 1.0, 'hard_bc': False, 'bc_weight': 1.0}",128,4,,5000,,0,2,10000,1000,1,,1.0,200,,,397.9707365036011,final/runs/run018_helmholtz1d_helmholtz_resample_long_m8_fp16_s1,,18,run018_helmholtz1d_helmholtz_resample_long_m8_fp16_s1,helmholtz_resample_long,m,8.0,0.0005,50,1e-08,1e-09,strong_wolfe,,,397.9707365036011,8.0,1.0,False,1.0,,,
helmholtz1d,fp16,0,"{'m': 12, 'lambda_val': 1.0, 'hard_bc': False, 'bc_weight': 1.0}",128,4,,5000,,0,2,10000,1000,1,,1.0,200,,,398.68045806884766,final/runs/run023_helmholtz1d_helmholtz_resample_long_m12_fp16_s0,,23,run023_helmholtz1d_helmholtz_resample_long_m12_fp16_s0,helmholtz_resample_long,m,12.0,0.0005,50,1e-08,1e-09,strong_wolfe,,,398.68045806884766,12.0,1.0,False,1.0,,,
helmholtz1d,fp16,1,"{'m': 12, 'lambda_val': 1.0, 'hard_bc': False, 'bc_weight': 1.0}",128,4,,5000,,0,2,10000,1000,1,,1.0,200,,,400.42893409729004,final/runs/run024_helmholtz1d_helmholtz_resample_long_m12_fp16_s1,,24,run024_helmholtz1d_helmholtz_resample_long_m12_fp16_s1,helmholtz_resample_long,m,12.0,0.0005,50,1e-08,1e-09,strong_wolfe,,,400.42893409729004,12.0,1.0,False,1.0,,,
convection1d,fp16,0,30.0,256,3,1.0,4225,grid,65,65,0,4000,10,,1.0,0,0.493896484375,1.0009765625,1134.0587012767792,final/runs/run029_convection1d_convection_beta30_lbfgs_grid_beta30p0_fp16_s0,,29,run029_convection1d_convection_beta30_lbfgs_grid_beta30p0_fp16_s0,convection_beta30_lbfgs_grid,beta,30.0,0.0001,50,1e-08,1e-09,strong_wolfe,1.0009765625,1.0,1134.0587012767792,,,,,30.0,65.0,
