task_name,dtype,seed,alpha,hid_size,num_layers,init_gain,n_collocation,point_mode,n_ic,n_bc,adam_steps,lbfgs_steps,lbfgs_max_iter,lbfgs_max_eval,lbfgs_lr,resample_every,final_loss,final_l2_error,time_sec,log_dir,nu,run_id,run_name,variant,case_name,case_value,lr_adam,lbfgs_history_size,lbfgs_tolerance_grad,lbfgs_tolerance_change,lbfgs_line_search_fn,best_l2_error,best_step,elapsed_time,m,lambda_val,hard_bc,bc_weight,beta,n_grid,error
burgers1d,fp32,0,0.001,256,4,1.0,10000,,800,800,3000,2000,5,,0.5,200,4.886480382992886e-05,0.040974222123622894,496.6735517978668,final/runs/run001_burgers1d_burgers_more_points_nu0p001_fp32_s0,0.001,1,run001_burgers1d_burgers_more_points_nu0p001_fp32_s0,burgers_more_points,nu,0.001,5e-05,100,1e-08,1e-10,strong_wolfe,0.04077698662877083,4700.0,496.6735517978668,,,,,,,
burgers1d,fp32,1,0.001,256,4,1.0,10000,,800,800,3000,2000,5,,0.5,200,0.0008025027927942574,0.15142382681369781,508.33441138267517,final/runs/run002_burgers1d_burgers_more_points_nu0p001_fp32_s1,0.001,2,run002_burgers1d_burgers_more_points_nu0p001_fp32_s1,burgers_more_points,nu,0.001,5e-05,100,1e-08,1e-10,strong_wolfe,0.14891383051872253,4100.0,508.33441138267517,,,,,,,
burgers1d,fp64,0,0.001,256,4,1.0,10000,,800,800,3000,2000,5,,0.5,200,0.0004324825981350678,0.17674873764585747,663.1497232913971,final/runs/run003_burgers1d_burgers_more_points_nu0p001_fp64_s0,0.001,3,run003_burgers1d_burgers_more_points_nu0p001_fp64_s0,burgers_more_points,nu,0.001,5e-05,100,1e-08,1e-10,strong_wolfe,0.17674873764585747,5000.0,663.1497232913971,,,,,,,
burgers1d,fp64,1,0.001,256,4,1.0,10000,,800,800,3000,2000,5,,0.5,200,8.235627240862485e-05,0.16725080940721238,664.3206193447113,final/runs/run004_burgers1d_burgers_more_points_nu0p001_fp64_s1,0.001,4,run004_burgers1d_burgers_more_points_nu0p001_fp64_s1,burgers_more_points,nu,0.001,5e-05,100,1e-08,1e-10,strong_wolfe,0.16318946133869347,4300.0,664.3206193447113,,,,,,,
burgers1d,fp16,0,0.001,256,4,1.0,10000,,800,800,3000,2000,5,,0.5,200,,,823.5590693950653,final/runs/run005_burgers1d_burgers_more_points_nu0p001_fp16_s0,0.001,5,run005_burgers1d_burgers_more_points_nu0p001_fp16_s0,burgers_more_points,nu,0.001,5e-05,100,1e-08,1e-10,strong_wolfe,,,823.5590693950653,,,,,,,
burgers1d,fp16,1,0.001,256,4,1.0,10000,,800,800,3000,2000,5,,0.5,200,,,827.8239800930023,final/runs/run006_burgers1d_burgers_more_points_nu0p001_fp16_s1,0.001,6,run006_burgers1d_burgers_more_points_nu0p001_fp16_s1,burgers_more_points,nu,0.001,5e-05,100,1e-08,1e-10,strong_wolfe,,,827.8239800930023,,,,,,,
burgers1d,fp32,0,0.002,256,4,1.0,10000,,800,800,3000,2000,5,,0.5,200,7.926668331492692e-05,0.05055549368262291,440.53760719299316,final/runs/run007_burgers1d_burgers_more_points_nu0p002_fp32_s0,0.002,7,run007_burgers1d_burgers_more_points_nu0p002_fp32_s0,burgers_more_points,nu,0.002,5e-05,100,1e-08,1e-10,strong_wolfe,0.050356313586235046,4200.0,440.53760719299316,,,,,,,
burgers1d,fp32,1,0.002,256,4,1.0,10000,,800,800,3000,2000,5,,0.5,200,2.1064146494609304e-05,0.050375957041978836,494.51091623306274,final/runs/run008_burgers1d_burgers_more_points_nu0p002_fp32_s1,0.002,8,run008_burgers1d_burgers_more_points_nu0p002_fp32_s1,burgers_more_points,nu,0.002,5e-05,100,1e-08,1e-10,strong_wolfe,0.04720111936330795,3900.0,494.51091623306274,,,,,,,
burgers1d,fp64,0,0.002,256,4,1.0,10000,,800,800,3000,2000,5,,0.5,200,7.078166009537921e-06,0.0505241517775161,662.0671119689941,final/runs/run009_burgers1d_burgers_more_points_nu0p002_fp64_s0,0.002,9,run009_burgers1d_burgers_more_points_nu0p002_fp64_s0,burgers_more_points,nu,0.002,5e-05,100,1e-08,1e-10,strong_wolfe,0.04676017870603818,3600.0,662.0671119689941,,,,,,,
burgers1d,fp64,1,0.002,256,4,1.0,10000,,800,800,3000,2000,5,,0.5,200,9.254227065890216e-06,0.05041011352089053,678.9352073669434,final/runs/run010_burgers1d_burgers_more_points_nu0p002_fp64_s1,0.002,10,run010_burgers1d_burgers_more_points_nu0p002_fp64_s1,burgers_more_points,nu,0.002,5e-05,100,1e-08,1e-10,strong_wolfe,0.04628704631607767,3800.0,678.9352073669434,,,,,,,
