task_name,dtype,seed,alpha,hid_size,num_layers,n_collocation,n_ic,n_bc,adam_steps,lbfgs_steps,final_loss,final_l2_error,time_sec,log_dir,source,variant,best_l2_error,elapsed_time,case_name,case_value,run_id,nu,init_gain,adam_steps_config,lr_adam,lbfgs_steps_config,lbfgs_max_iter,lbfgs_max_eval,lbfgs_history_size,lbfgs_tolerance_grad,lbfgs_tolerance_change,resample_every,lbfgs_lr,best_step,l2_ratio,m,lambda_val,point_mode,hard_bc,bc_weight,run_name,adam_name,lbfgs_name,lbfgs_line_search_fn,beta,n_grid,error
heat1d,fp32,0,0.1,64,4,5000,500.0,500.0,8000,500,2.2018689378455747e-06,0.0003752529737539,96.47497844696044,/kaggle/working/runs/heat1d_fp32_0,heat1d_precision,heat1d_precision,0.0003752529737539,96.47497844696044,alpha,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,
heat1d,fp32,1,0.1,64,4,5000,500.0,500.0,8000,500,1.4717136309627676e-06,0.0002165301557397,87.89068031311035,/kaggle/working/runs/heat1d_fp32_1,heat1d_precision,heat1d_precision,0.0002165301557397,87.89068031311035,alpha,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,
heat1d,fp32,2,0.1,64,4,5000,500.0,500.0,8000,500,7.952358828333672e-06,0.0005986809264868,83.86953020095825,/kaggle/working/runs/heat1d_fp32_2,heat1d_precision,heat1d_precision,0.0005986809264868,83.86953020095825,alpha,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,
heat1d,fp64,0,0.1,64,4,5000,500.0,500.0,8000,500,7.1802057297391584e-06,0.0008299220745667,162.50252771377563,/kaggle/working/runs/heat1d_fp64_0,heat1d_precision,heat1d_precision,0.0008299220745667,162.50252771377563,alpha,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,
heat1d,fp64,1,0.1,64,4,5000,500.0,500.0,8000,500,3.050856411033388e-06,0.0003106738239774,165.2625916004181,/kaggle/working/runs/heat1d_fp64_1,heat1d_precision,heat1d_precision,0.0003106738239774,165.2625916004181,alpha,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,
heat1d,fp64,2,0.1,64,4,5000,500.0,500.0,8000,500,1.985004664197959e-06,0.0002769395990441,165.3905792236328,/kaggle/working/runs/heat1d_fp64_2,heat1d_precision,heat1d_precision,0.0002769395990441,165.3905792236328,alpha,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,
burgers1d,fp32,0,,256,4,10000,800.0,800.0,3000,2000,0.0006721697864122,0.2708814144134521,690.6303808689117,/kaggle/working/results_exp_11_burgers1d_short_adam_long_lbfgs/runs/exp11_r001_nu0p001_adam3000_lbfgs5000_inner5_resample200_fp32_s0,burgers_long_lbfgs,adam3000_lbfgs5000_inner5_resample200,0.2708814144134521,690.6303808689117,nu,0.001,1.0,0.001,,3000.0,0.0005,2000.0,5.0,,100.0,1e-08,1e-10,200.0,1.0,5000.0,1.0,,,,,,,,,,,,
burgers1d,fp64,0,,256,4,10000,800.0,800.0,3000,2000,0.0002289403703563,0.1003156039928465,5103.282606601715,/kaggle/working/results_exp_11_burgers1d_short_adam_long_lbfgs/runs/exp11_r002_nu0p001_adam3000_lbfgs5000_inner5_resample200_fp64_s0,burgers_long_lbfgs,adam3000_lbfgs5000_inner5_resample200,0.0995819415032934,5103.282606601715,nu,0.001,2.0,0.001,,3000.0,0.0005,2000.0,5.0,,100.0,1e-08,1e-10,200.0,1.0,4900.0,1.007367425041907,,,,,,,,,,,,
burgers1d,fp32,0,,256,4,10000,800.0,800.0,3000,2000,3.2506828574696556e-05,0.0506145767867565,697.4383900165558,/kaggle/working/results_exp_11_burgers1d_short_adam_long_lbfgs/runs/exp11_r003_nu0p002_adam3000_lbfgs5000_inner5_resample200_fp32_s0,burgers_long_lbfgs,adam3000_lbfgs5000_inner5_resample200,0.0477750860154628,697.4383900165558,nu,0.002,3.0,0.002,,3000.0,0.0005,2000.0,5.0,,100.0,1e-08,1e-10,200.0,1.0,3900.0,1.0594345506855731,,,,,,,,,,,,
burgers1d,fp64,0,,256,4,10000,800.0,800.0,3000,2000,8.96408323305498e-05,0.0509173207038287,5115.536487817764,/kaggle/working/results_exp_11_burgers1d_short_adam_long_lbfgs/runs/exp11_r004_nu0p002_adam3000_lbfgs5000_inner5_resample200_fp64_s0,burgers_long_lbfgs,adam3000_lbfgs5000_inner5_resample200,0.0483794210626988,5115.536487817764,nu,0.002,4.0,0.002,,3000.0,0.0005,2000.0,5.0,,100.0,1e-08,1e-10,200.0,1.0,4400.0,1.0524582474403903,,,,,,,,,,,,
