step,opt,total_loss,pde_loss,ic_loss,bc_loss,l2_error,time_sec
1,adam,,,,,,0.025979995727539062
100,adam,,,,,,1.4540421962738037
200,adam,,,,,,2.8881683349609375
300,adam,,,,,,4.324402570724487
400,adam,,,,,,5.758808851242065
500,adam,,,,,,7.189445734024048
600,adam,,,,,,8.639058113098145
700,adam,,,,,,10.091207027435303
800,adam,,,,,,11.540013790130615
900,adam,,,,,,12.965769290924072
1000,adam,,,,,,14.401289939880371
1100,adam,,,,,,15.838434934616089
1200,adam,,,,,,17.277384281158447
1300,adam,,,,,,18.71683382987976
1400,adam,,,,,,20.16089940071106
1500,adam,,,,,,21.603994607925415
1600,adam,,,,,,23.034573078155518
1700,adam,,,,,,24.4708890914917
1800,adam,,,,,,25.911781549453735
1900,adam,,,,,,27.346134662628174
2000,adam,,,,,,28.781102657318115
2100,adam,,,,,,30.211338996887207
2200,adam,,,,,,31.636151790618896
2300,adam,,,,,,33.063398599624634
2400,adam,,,,,,34.4952347278595
2500,adam,,,,,,35.93440794944763
2600,adam,,,,,,37.36414051055908
2700,adam,,,,,,38.80929136276245
2800,adam,,,,,,40.26031231880188
2900,adam,,,,,,41.7197847366333
3000,adam,,,,,,43.16116762161255
3001,lbfgs,,,,,,43.56827640533447
3100,lbfgs,,,,,,82.66252088546753
3200,lbfgs,,,,,,121.83087944984436
3300,lbfgs,,,,,,161.06643509864807
3400,lbfgs,,,,,,200.1837682723999
3500,lbfgs,,,,,,239.70875525474548
3600,lbfgs,,,,,,278.0357801914215
3700,lbfgs,,,,,,317.7857382297516
3800,lbfgs,,,,,,356.84730768203735
3900,lbfgs,,,,,,395.847416639328
4000,lbfgs,,,,,,435.45253825187683
4100,lbfgs,,,,,,474.9503481388092
4200,lbfgs,,,,,,514.0200273990631
4300,lbfgs,,,,,,553.5179309844971
4400,lbfgs,,,,,,592.8932869434357
4500,lbfgs,,,,,,632.1749970912933
4600,lbfgs,,,,,,671.8143560886383
4700,lbfgs,,,,,,711.0388906002045
4800,lbfgs,,,,,,750.4963617324829
4900,lbfgs,,,,,,789.7751951217651
5000,lbfgs,,,,,,829.2378642559052
