step,opt,total_loss,pde_loss,ic_loss,bc_loss,l2_error,time_sec
1,lbfgs,0.48996759300730713,0.004192779955242408,0.4856878623002608,8.695075180393075e-05,1.0004051644762673,0.15440583229064941
100,lbfgs,0.0996967938866577,0.011695021552788908,0.027627995009211342,0.060373777324657436,0.9668222429593732,23.876673936843872
200,lbfgs,0.058968166553254105,0.0037946669079126365,0.007578697436276782,0.04759480220906469,0.899934662602147,48.509735107421875
300,lbfgs,0.041316049689305516,0.001970204408650326,0.0037370530427260056,0.035608792237929184,0.8425157432839678,73.02201056480408
400,lbfgs,0.034831167285068444,0.001643755408806364,0.002397400234558255,0.030790011641703828,0.802022826611765,97.59967303276062
500,lbfgs,0.03184894006841208,0.0013910309238700637,0.0021679269519434825,0.028289982192598533,0.7818006252985125,122.22566556930542
600,lbfgs,0.02767911445975735,0.0011248835111827393,0.0015804016680115362,0.024973829280563076,0.7420171515050118,146.6941201686859
700,lbfgs,0.025077500848673006,0.001140532468842828,0.0013098427065134342,0.022627125673316744,0.6985646597244419,171.1905586719513
800,lbfgs,0.02108031736422396,0.0008480270129741047,0.0009247193749336145,0.019307570976316243,0.6212707722833979,195.74136805534363
900,lbfgs,0.017584257337019037,0.0015431374383920705,0.0007053283436006342,0.015335791555026334,0.5395592392376448,220.25368523597717
1000,lbfgs,0.0010221520591511494,0.0001604748171329272,2.5597901292575626e-05,0.0008360793407256465,0.10618261246605269,244.82481122016907
1100,lbfgs,0.00038399515569744966,4.819852305194461e-05,3.0358358167091495e-05,0.0003054382744784136,0.07782963128843708,269.2830767631531
1200,lbfgs,0.00016597417965376088,3.440589474421206e-05,8.31467189146205e-06,0.00012325361301808677,0.04334458424290584,294.1894910335541
1300,lbfgs,6.701787523529411e-05,1.5042411412053172e-05,2.7394405418744285e-06,4.9236023281366514e-05,0.01694150339687486,318.6561470031738
1400,lbfgs,4.045551304256272e-05,7.1086857203818375e-06,1.3035587381753129e-06,3.204326858400557e-05,0.00858600013758268,343.51341104507446
1500,lbfgs,2.954071469912605e-05,5.48417554911567e-06,8.301677853426278e-07,2.3226371364667754e-05,0.00690423776079719,367.9594509601593
1600,lbfgs,2.1864891213861155e-05,4.053783690134962e-06,6.400664850139616e-07,1.7171041038712232e-05,0.006743822267379951,392.63808822631836
1700,lbfgs,1.644448215379239e-05,3.35660963980032e-06,9.476426066703657e-07,1.2140229907321704e-05,0.006637009653467652,416.92283606529236
