task_name,variant,case_name,case_value,dtype,best_l2_error_mean,best_l2_error_std,best_l2_error_min,best_l2_error_max,final_l2_error_mean,final_l2_error_std,final_l2_error_min,final_l2_error_max,elapsed_time_mean,elapsed_time_std,elapsed_time_min,elapsed_time_max
burgers1d,burgers_main,nu,0.001,fp16,,,,,,,,,0.0012797117233276367,0.0002554099019760178,0.0010991096496582031,0.0014603137969970703
burgers1d,burgers_main,nu,0.001,fp32,0.25809021294116974,0.07318465176471087,0.20634084939956665,0.3098395764827728,0.25947022438049316,0.07513628265843207,0.20634084939956665,0.3125995993614197,592.3934544324875,41.8840657764143,562.7769474983215,622.0099613666534
burgers1d,burgers_main,nu,0.001,fp64,0.25300338967677594,0.021603686539552747,0.23772727642602967,0.26827950292752223,0.2547229556510158,0.019232701652769545,0.24112338189180474,0.2683225294102269,628.9957836866379,0.8472128522930079,628.3967137336731,629.5948536396027
burgers1d,burgers_main,nu,0.002,fp16,,,,,,,,,0.0011806488037109375,0.00011295355400919601,0.001100778579711914,0.001260519027709961
burgers1d,burgers_main,nu,0.002,fp32,0.15779475681483746,0.15517650128925448,0.04806840047240257,0.26752111315727234,0.1585552804172039,0.15410095849628302,0.04958944767713547,0.26752111315727234,522.5488741397858,9.318351261457869,515.9598047733307,529.1379435062408
burgers1d,burgers_main,nu,0.002,fp64,0.2784619062602395,0.13542336042220723,0.18270312977462683,0.37422068274585213,0.28062800368521146,0.1382027389326983,0.1829039098073464,0.3783520975630765,634.313639998436,3.6269347417252207,631.749009847641,636.878270149231
convection1d,convection_beta30,beta,30.0,fp16,,,,,,,,,0.0010225772857666016,0.00010014091206188422,0.0009517669677734375,0.0010933876037597656
convection1d,convection_beta30,beta,30.0,fp32,1.0001898407936096,0.0001489469626374995,1.0000845193862915,1.0002951622009277,1.1709406971931458,0.007491602322811414,1.165643334388733,1.1762380599975586,135.58795022964478,20.052570601973976,121.40864157676697,149.76725888252258
convection1d,convection_beta30,beta,30.0,fp64,0.0074629368887741175,0.005657906085414648,0.003462193128460786,0.011463680649087449,0.007593090601875082,0.00584197123167525,0.003462193128460786,0.011723988075289378,493.2329742908478,0.03182255649966543,493.2104723453522,493.2554762363434
convection1d,convection_beta50,beta,50.0,fp16,,,,,,,,,0.00127410888671875,,0.00127410888671875,0.00127410888671875
convection1d,convection_beta50,beta,50.0,fp32,0.741241991519928,,0.741241991519928,0.741241991519928,0.741241991519928,,0.741241991519928,0.741241991519928,539.1432015895844,,539.1432015895844,539.1432015895844
convection1d,convection_beta50,beta,50.0,fp64,0.7004091523132202,,0.7004091523132202,0.7004091523132202,0.7004091523132202,,0.7004091523132202,0.7004091523132202,593.8341155052185,,593.8341155052185,593.8341155052185
helmholtz1d,helmholtz_main,m,8.0,fp16,,,,,,,,,0.001881718635559082,0.0008950304749773457,0.0012488365173339844,0.0025146007537841797
helmholtz1d,helmholtz_main,m,8.0,fp32,0.5019146215636283,0.7043810585532897,0.0038419985212385654,0.9999872446060181,0.5019243967253715,0.7043948827196013,0.0038419985212385654,1.0000067949295044,144.27474749088287,21.5981934861444,129.00251841545105,159.5469765663147
helmholtz1d,helmholtz_main,m,8.0,fp64,0.0008813547300047127,0.0006580792942383679,0.0004160223984903055,0.00134668706151912,0.0008813547300047127,0.0006580792942383679,0.0004160223984903055,0.00134668706151912,210.89726495742798,24.696466482831166,193.43422603607178,228.36030387878418
helmholtz1d,helmholtz_main,m,12.0,fp16,,,,,,,,,0.0011949539184570312,6.406320973655893e-05,0.0011496543884277344,0.0012402534484863281
helmholtz1d,helmholtz_main,m,12.0,fp32,0.9999948143959045,1.0199537339636355e-05,0.9999876022338867,1.0000020265579224,1.0000017285346985,4.2146848510894033e-07,1.0000014305114746,1.0000020265579224,295.4020365476608,238.37922956078185,126.84246683120728,463.9616062641144
helmholtz1d,helmholtz_main,m,12.0,fp64,0.9995139673514024,0.000688988795204188,0.999026778702152,1.0000011560006528,1.0000025393619338,1.1686463421403308e-06,1.0000017130041805,1.0000033657196872,95.5167076587677,45.369825434367435,63.43539643287659,127.59801888465881
