step,opt,total_loss,pde_loss,ic_loss,bc_loss,l2_error,time_sec
1,lbfgs,0.4862607620934809,0.0043804911964274605,0.48164815470615463,0.00023211619089880532,0.9999544199305799,0.7829999923706055
100,lbfgs,0.07563831522662945,0.0072818197772241255,0.01351361068025147,0.05484288476915385,0.9291074132765946,76.46255135536194
200,lbfgs,0.043833037666223575,0.002289551529563505,0.004345833150789057,0.037197652985871014,0.8567228668966029,151.80005955696106
300,lbfgs,0.03243879535584649,0.0017274584393559582,0.0020795522112928813,0.02863178470519765,0.7829713108569745,226.82735109329224
400,lbfgs,0.027515353822503606,0.0011337649261324752,0.0016234683500306415,0.024758120546340488,0.7380855176637784,302.2667336463928
500,lbfgs,0.024011665572791406,0.0013165230351061845,0.001257612334643773,0.021437530203041448,0.6852510078167976,377.032297372818
600,lbfgs,0.021358090030854874,0.0009488305865296559,0.0009650157545260104,0.019444243689799207,0.6310091285516227,451.7528386116028
700,lbfgs,0.005664001720734828,0.0015518778928930198,0.0002907310094163888,0.0038213928184254197,0.2845561513895356,526.7549452781677
800,lbfgs,0.0008413661040212631,0.0001246657852036086,3.153025007134693e-05,0.0006851700687463076,0.10139475796793092,602.1534972190857
900,lbfgs,0.00048184114900408034,9.023423336666854e-05,1.536285411916985e-05,0.00037624406151824197,0.06929893944822825,677.6764509677887
1000,lbfgs,0.00018349862717078382,5.6449690101910046e-05,5.99429783674393e-06,0.00012105463923212984,0.026747249487909217,753.613734960556
1100,lbfgs,8.061595579736974e-05,2.150553202654621e-05,1.3365958148196589e-06,5.777382795600387e-05,0.01566000575161769,829.5034534931183
1200,lbfgs,5.010502670017104e-05,1.2428766712251414e-05,1.0662080730203496e-06,3.6610051914899276e-05,0.013766377480324892,905.9529466629028
1300,lbfgs,3.635147435580253e-05,6.869253730791377e-06,9.809290726487472e-07,2.85012915523624e-05,0.011414248558116877,982.2042665481567
1400,lbfgs,2.802484261005396e-05,5.209176898202273e-06,1.1485624099923275e-06,2.166710330185936e-05,0.010417443477195204,1057.6851160526276
1500,lbfgs,2.317703214787349e-05,4.9303974869470004e-06,7.938905755240023e-07,1.7452744085402487e-05,0.010180578926038839,1132.2136528491974
1600,lbfgs,1.9367404116125003e-05,3.752583301522684e-06,7.68737744473788e-07,1.4846083070128531e-05,0.010422090167963893,1203.4847450256348
1700,lbfgs,1.9331410553310114e-05,3.729776195112779e-06,7.517335651331234e-07,1.484990079306421e-05,0.0104210207454427,1211.154522895813
1800,lbfgs,1.9331410553310114e-05,3.729776195112779e-06,7.517335651331234e-07,1.484990079306421e-05,0.0104210207454427,1217.7910070419312
1900,lbfgs,1.9331410553310114e-05,3.729776195112779e-06,7.517335651331234e-07,1.484990079306421e-05,0.0104210207454427,1224.4100120067596
2000,lbfgs,1.9331410553310114e-05,3.729776195112779e-06,7.517335651331234e-07,1.484990079306421e-05,0.0104210207454427,1231.020461320877
2100,lbfgs,1.9331410553310114e-05,3.729776195112779e-06,7.517335651331234e-07,1.484990079306421e-05,0.0104210207454427,1237.6330103874207
2200,lbfgs,1.9331410553310114e-05,3.729776195112779e-06,7.517335651331234e-07,1.484990079306421e-05,0.0104210207454427,1244.2454488277435
2300,lbfgs,1.9331410553310114e-05,3.729776195112779e-06,7.517335651331234e-07,1.484990079306421e-05,0.0104210207454427,1250.8559787273407
2400,lbfgs,1.9331410553310114e-05,3.729776195112779e-06,7.517335651331234e-07,1.484990079306421e-05,0.0104210207454427,1257.4759316444397
2500,lbfgs,1.9331410553310114e-05,3.729776195112779e-06,7.517335651331234e-07,1.484990079306421e-05,0.0104210207454427,1264.1113011837006
2600,lbfgs,1.9331410553310114e-05,3.729776195112779e-06,7.517335651331234e-07,1.484990079306421e-05,0.0104210207454427,1270.7423870563507
2700,lbfgs,1.9331410553310114e-05,3.729776195112779e-06,7.517335651331234e-07,1.484990079306421e-05,0.0104210207454427,1277.413209438324
2800,lbfgs,1.9331410553310114e-05,3.729776195112779e-06,7.517335651331234e-07,1.484990079306421e-05,0.0104210207454427,1284.1078021526337
2900,lbfgs,1.9331410553310114e-05,3.729776195112779e-06,7.517335651331234e-07,1.484990079306421e-05,0.0104210207454427,1290.761188030243
3000,lbfgs,1.9331410553310114e-05,3.729776195112779e-06,7.517335651331234e-07,1.484990079306421e-05,0.0104210207454427,1297.4260730743408
3100,lbfgs,1.9331410553310114e-05,3.729776195112779e-06,7.517335651331234e-07,1.484990079306421e-05,0.0104210207454427,1304.10799574852
3200,lbfgs,1.9331410553310114e-05,3.729776195112779e-06,7.517335651331234e-07,1.484990079306421e-05,0.0104210207454427,1310.8137958049774
3300,lbfgs,1.9331410553310114e-05,3.729776195112779e-06,7.517335651331234e-07,1.484990079306421e-05,0.0104210207454427,1317.510691165924
3400,lbfgs,1.9331410553310114e-05,3.729776195112779e-06,7.517335651331234e-07,1.484990079306421e-05,0.0104210207454427,1324.2042920589447
3500,lbfgs,1.9331410553310114e-05,3.729776195112779e-06,7.517335651331234e-07,1.484990079306421e-05,0.0104210207454427,1330.9112503528595
3600,lbfgs,1.9331410553310114e-05,3.729776195112779e-06,7.517335651331234e-07,1.484990079306421e-05,0.0104210207454427,1337.6313598155975
3700,lbfgs,1.9331410553310114e-05,3.729776195112779e-06,7.517335651331234e-07,1.484990079306421e-05,0.0104210207454427,1344.2944571971893
3800,lbfgs,1.9331410553310114e-05,3.729776195112779e-06,7.517335651331234e-07,1.484990079306421e-05,0.0104210207454427,1350.948965549469
