variant,m,dtype,best_l2_median,best_l2_min,final_l2_median,ok_1e_2,ok_5e_2,time_median
resample_proven_128,8,fp32,0.002787989331409335,0.0022322519216686487,0.002787989331409335,1.0,1.0,150.45658373832703
resample_proven_128,8,fp64,0.1154494445335914,0.0010758262542644114,0.11544955907526591,0.5,0.5,141.23026609420776
resample_proven_128,10,fp32,0.0029858662746846676,0.0019741179421544075,0.004022814566269517,1.0,1.0,158.597762465477
resample_proven_128,10,fp64,0.0015133079034635837,0.001172699603419454,0.0015133079034635837,1.0,1.0,157.0348207950592
resample_proven_128,12,fp32,0.009213414043188095,0.005738513544201851,0.009213414043188095,0.5,1.0,163.77804589271545
resample_proven_128,12,fp64,0.0021135880520116194,0.001142491859475502,0.004630452116017551,1.0,1.0,163.93861603736877
resample_wide_256,8,fp32,0.5005231985123828,0.0019152539316564798,0.5009616204770282,0.5,0.5,133.81644415855408
resample_wide_256,8,fp64,0.5182731620743087,0.038543664073309905,0.5201529077281467,0.0,0.5,181.31776750087738
resample_wide_256,10,fp32,0.5307801514863968,0.061704665422439575,0.5308544188737869,0.0,0.0,178.43381071090698
resample_wide_256,10,fp64,0.5009812977420638,0.0030693868074505265,0.5015362738993197,0.5,0.5,161.85063207149506
resample_wide_256,12,fp32,0.9995533227920532,0.9994671940803528,1.0000014305114746,0.0,0.0,207.55653738975525
resample_wide_256,12,fp64,0.9996120072345835,0.9992590815203,1.0000015472544335,0.0,0.0,118.57209610939026
