variant,adam_name,lbfgs_name,m,dtype,best_l2_error_mean,best_l2_error_std,best_l2_error_min,best_l2_error_max,final_l2_error_mean,final_l2_error_std,final_l2_error_min,final_l2_error_max,elapsed_time_mean,elapsed_time_std,elapsed_time_min,elapsed_time_max
width128_adam1e4_lbfgs05_steps1000_inner10_resample250,adam1e4,lbfgs05,12,fp32,0.08826058357954025,,0.08826058357954025,0.08826058357954025,0.08826058357954025,,0.08826058357954025,0.08826058357954025,174.48082184791565,,174.48082184791565,174.48082184791565
width128_adam1e4_lbfgs05_steps1000_inner10_resample250,adam1e4,lbfgs05,12,fp64,0.0024585988389089816,,0.0024585988389089816,0.0024585988389089816,0.002975599025482136,,0.002975599025482136,0.002975599025482136,985.8151581287384,,985.8151581287384,985.8151581287384
width128_adam1e4_lbfgs1_steps1000_inner10_resample250,adam1e4,lbfgs1,12,fp32,0.013622098602354527,,0.013622098602354527,0.013622098602354527,0.013622098602354527,,0.013622098602354527,0.013622098602354527,190.59286975860596,,190.59286975860596,190.59286975860596
width128_adam1e4_lbfgs1_steps1000_inner10_resample250,adam1e4,lbfgs1,12,fp64,0.0003458913456201884,,0.0003458913456201884,0.0003458913456201884,0.0006440133369841172,,0.0006440133369841172,0.0006440133369841172,1219.9605793952942,,1219.9605793952942,1219.9605793952942
width128_adam2e4_lbfgs05_steps1000_inner10_resample250,adam2e4,lbfgs05,12,fp32,0.044969309121370316,,0.044969309121370316,0.044969309121370316,0.044969309121370316,,0.044969309121370316,0.044969309121370316,196.8427906036377,,196.8427906036377,196.8427906036377
width128_adam2e4_lbfgs05_steps1000_inner10_resample250,adam2e4,lbfgs05,12,fp64,0.0074743191822439084,,0.0074743191822439084,0.0074743191822439084,0.0074743191822439084,,0.0074743191822439084,0.0074743191822439084,1214.99245262146,,1214.99245262146,1214.99245262146
width128_adam2e4_lbfgs1_steps1000_inner10_resample250,adam2e4,lbfgs1,12,fp32,0.05604704096913338,,0.05604704096913338,0.05604704096913338,0.05604704096913338,,0.05604704096913338,0.05604704096913338,208.7237946987152,,208.7237946987152,208.7237946987152
width128_adam2e4_lbfgs1_steps1000_inner10_resample250,adam2e4,lbfgs1,12,fp64,0.005652024866962728,,0.005652024866962728,0.005652024866962728,0.005673287416293913,,0.005673287416293913,0.005673287416293913,1208.9829967021942,,1208.9829967021942,1208.9829967021942
width128_adam5e4_lbfgs05_steps1000_inner10_resample250,adam5e4,lbfgs05,12,fp32,0.004136345349252224,,0.004136345349252224,0.004136345349252224,0.004136345349252224,,0.004136345349252224,0.004136345349252224,180.58161401748657,,180.58161401748657,180.58161401748657
width128_adam5e4_lbfgs05_steps1000_inner10_resample250,adam5e4,lbfgs05,12,fp64,0.00016988584081645486,,0.00016988584081645486,0.00016988584081645486,0.0004848110103655996,,0.0004848110103655996,0.0004848110103655996,962.5384855270386,,962.5384855270386,962.5384855270386
width128_adam5e4_lbfgs1_steps1000_inner10_resample250,adam5e4,lbfgs1,12,fp32,0.01925165392458439,,0.01925165392458439,0.01925165392458439,0.01925165392458439,,0.01925165392458439,0.01925165392458439,171.96420979499817,,171.96420979499817,171.96420979499817
width128_adam5e4_lbfgs1_steps1000_inner10_resample250,adam5e4,lbfgs1,12,fp64,0.0015403160228110071,,0.0015403160228110071,0.0015403160228110071,0.0022187468437881723,,0.0022187468437881723,0.0022187468437881723,1111.5089881420135,,1111.5089881420135,1111.5089881420135
width192_adam1e4_lbfgs05_steps1000_inner10_resample250,adam1e4,lbfgs05,10,fp32,0.002027308102697134,,0.002027308102697134,0.002027308102697134,0.002027308102697134,,0.002027308102697134,0.002027308102697134,232.1364152431488,,232.1364152431488,232.1364152431488
width192_adam1e4_lbfgs05_steps1000_inner10_resample250,adam1e4,lbfgs05,10,fp64,0.0031373256013443544,,0.0031373256013443544,0.0031373256013443544,0.0031373256013443544,,0.0031373256013443544,0.0031373256013443544,1135.7603976726532,,1135.7603976726532,1135.7603976726532
width192_adam1e4_lbfgs1_steps1000_inner10_resample250,adam1e4,lbfgs1,10,fp32,0.004258337896317244,,0.004258337896317244,0.004258337896317244,0.004258337896317244,,0.004258337896317244,0.004258337896317244,233.36940097808838,,233.36940097808838,233.36940097808838
width192_adam1e4_lbfgs1_steps1000_inner10_resample250,adam1e4,lbfgs1,10,fp64,0.0017293850808818931,,0.0017293850808818931,0.0017293850808818931,0.004537399129942517,,0.004537399129942517,0.004537399129942517,2331.5144913196564,,2331.5144913196564,2331.5144913196564
width192_adam2e4_lbfgs05_steps1000_inner10_resample250,adam2e4,lbfgs05,10,fp32,0.0007430788828060031,,0.0007430788828060031,0.0007430788828060031,0.0020944373682141304,,0.0020944373682141304,0.0020944373682141304,236.48090600967407,,236.48090600967407,236.48090600967407
width192_adam2e4_lbfgs05_steps1000_inner10_resample250,adam2e4,lbfgs05,10,fp64,0.0017108366338082774,,0.0017108366338082774,0.0017108366338082774,0.0017108366338082774,,0.0017108366338082774,0.0017108366338082774,1659.2657091617584,,1659.2657091617584,1659.2657091617584
width192_adam2e4_lbfgs1_steps1000_inner10_resample250,adam2e4,lbfgs1,10,fp32,0.0010800919262692332,,0.0010800919262692332,0.0010800919262692332,0.0010800919262692332,,0.0010800919262692332,0.0010800919262692332,239.82848525047302,,239.82848525047302,239.82848525047302
width192_adam2e4_lbfgs1_steps1000_inner10_resample250,adam2e4,lbfgs1,10,fp64,0.0004881865048243448,,0.0004881865048243448,0.0004881865048243448,0.0008971112197284567,,0.0008971112197284567,0.0008971112197284567,2334.76327753067,,2334.76327753067,2334.76327753067
width192_adam5e4_lbfgs05_steps1000_inner10_resample250,adam5e4,lbfgs05,10,fp32,0.0034369314089417458,,0.0034369314089417458,0.0034369314089417458,0.0034369314089417458,,0.0034369314089417458,0.0034369314089417458,201.71348094940186,,201.71348094940186,201.71348094940186
width192_adam5e4_lbfgs05_steps1000_inner10_resample250,adam5e4,lbfgs05,10,fp64,0.002525884143367726,,0.002525884143367726,0.002525884143367726,0.010362561781447194,,0.010362561781447194,0.010362561781447194,1162.946890115738,,1162.946890115738,1162.946890115738
width192_adam5e4_lbfgs1_steps1000_inner10_resample250,adam5e4,lbfgs1,10,fp32,0.0035879830829799175,,0.0035879830829799175,0.0035879830829799175,0.0035879830829799175,,0.0035879830829799175,0.0035879830829799175,217.91756987571716,,217.91756987571716,217.91756987571716
width192_adam5e4_lbfgs1_steps1000_inner10_resample250,adam5e4,lbfgs1,10,fp64,0.00045458464780399866,,0.00045458464780399866,0.00045458464780399866,0.00045458464780399866,,0.00045458464780399866,0.00045458464780399866,2348.976495027542,,2348.976495027542,2348.976495027542
