task_name,dtype,seed,alpha,hid_size,num_layers,init_gain,n_collocation,point_mode,n_ic,n_bc,adam_steps,lbfgs_steps,lbfgs_max_iter,lbfgs_max_eval,lbfgs_lr,resample_every,final_loss,final_l2_error,time_sec,log_dir,m,lambda_val,hard_bc,bc_weight,run_id,run_name,variant,adam_name,lbfgs_name,lr_adam,best_l2_error,elapsed_time
helmholtz1d,fp32,0,"{'m': 10, 'lambda_val': 1.0, 'hard_bc': False, 'bc_weight': 1.0}",192,4,,8000,,0,2,5000,1000,10,,1.0,250,6.637529850195278e-07,0.0035879830829799175,217.91756987571716,/kaggle/working/results_exp_16_helmholtz1d_exploded_inner10/runs/exp16_r001_m10_width192_adam5e4_lbfgs1_steps1000_inner10_resample250_fp32_s0,10,1.0,False,1.0,1,exp16_r001_m10_width192_adam5e4_lbfgs1_steps1000_inner10_resample250_fp32_s0,width192_adam5e4_lbfgs1_steps1000_inner10_resample250,adam5e4,lbfgs1,0.0005,0.0035879830829799175,217.91756987571716
helmholtz1d,fp64,0,"{'m': 10, 'lambda_val': 1.0, 'hard_bc': False, 'bc_weight': 1.0}",192,4,,8000,,0,2,5000,1000,10,,1.0,250,4.5175223787508246e-07,0.00045458464780399866,2348.976495027542,/kaggle/working/results_exp_16_helmholtz1d_exploded_inner10/runs/exp16_r002_m10_width192_adam5e4_lbfgs1_steps1000_inner10_resample250_fp64_s0,10,1.0,False,1.0,2,exp16_r002_m10_width192_adam5e4_lbfgs1_steps1000_inner10_resample250_fp64_s0,width192_adam5e4_lbfgs1_steps1000_inner10_resample250,adam5e4,lbfgs1,0.0005,0.00045458464780399866,2348.976495027542
helmholtz1d,fp32,0,"{'m': 10, 'lambda_val': 1.0, 'hard_bc': False, 'bc_weight': 1.0}",192,4,,8000,,0,2,5000,1000,10,,0.5,250,8.826701218822564e-07,0.0034369314089417458,201.71348094940186,/kaggle/working/results_exp_16_helmholtz1d_exploded_inner10/runs/exp16_r003_m10_width192_adam5e4_lbfgs05_steps1000_inner10_resample250_fp32_s0,10,1.0,False,1.0,3,exp16_r003_m10_width192_adam5e4_lbfgs05_steps1000_inner10_resample250_fp32_s0,width192_adam5e4_lbfgs05_steps1000_inner10_resample250,adam5e4,lbfgs05,0.0005,0.0034369314089417458,201.71348094940186
helmholtz1d,fp64,0,"{'m': 10, 'lambda_val': 1.0, 'hard_bc': False, 'bc_weight': 1.0}",192,4,,8000,,0,2,5000,1000,10,,0.5,250,2.876793346280932e-07,0.010362561781447194,1162.946890115738,/kaggle/working/results_exp_16_helmholtz1d_exploded_inner10/runs/exp16_r004_m10_width192_adam5e4_lbfgs05_steps1000_inner10_resample250_fp64_s0,10,1.0,False,1.0,4,exp16_r004_m10_width192_adam5e4_lbfgs05_steps1000_inner10_resample250_fp64_s0,width192_adam5e4_lbfgs05_steps1000_inner10_resample250,adam5e4,lbfgs05,0.0005,0.002525884143367726,1162.946890115738
helmholtz1d,fp32,0,"{'m': 10, 'lambda_val': 1.0, 'hard_bc': False, 'bc_weight': 1.0}",192,4,,8000,,0,2,5000,1000,10,,1.0,250,6.1496359649027e-07,0.0010800919262692332,239.82848525047302,/kaggle/working/results_exp_16_helmholtz1d_exploded_inner10/runs/exp16_r005_m10_width192_adam2e4_lbfgs1_steps1000_inner10_resample250_fp32_s0,10,1.0,False,1.0,5,exp16_r005_m10_width192_adam2e4_lbfgs1_steps1000_inner10_resample250_fp32_s0,width192_adam2e4_lbfgs1_steps1000_inner10_resample250,adam2e4,lbfgs1,0.0002,0.0010800919262692332,239.82848525047302
helmholtz1d,fp64,0,"{'m': 10, 'lambda_val': 1.0, 'hard_bc': False, 'bc_weight': 1.0}",192,4,,8000,,0,2,5000,1000,10,,1.0,250,2.8849643985861366e-07,0.0008971112197284567,2334.76327753067,/kaggle/working/results_exp_16_helmholtz1d_exploded_inner10/runs/exp16_r006_m10_width192_adam2e4_lbfgs1_steps1000_inner10_resample250_fp64_s0,10,1.0,False,1.0,6,exp16_r006_m10_width192_adam2e4_lbfgs1_steps1000_inner10_resample250_fp64_s0,width192_adam2e4_lbfgs1_steps1000_inner10_resample250,adam2e4,lbfgs1,0.0002,0.0004881865048243448,2334.76327753067
helmholtz1d,fp32,0,"{'m': 10, 'lambda_val': 1.0, 'hard_bc': False, 'bc_weight': 1.0}",192,4,,8000,,0,2,5000,1000,10,,0.5,250,8.629636454315914e-07,0.0020944373682141304,236.48090600967407,/kaggle/working/results_exp_16_helmholtz1d_exploded_inner10/runs/exp16_r007_m10_width192_adam2e4_lbfgs05_steps1000_inner10_resample250_fp32_s0,10,1.0,False,1.0,7,exp16_r007_m10_width192_adam2e4_lbfgs05_steps1000_inner10_resample250_fp32_s0,width192_adam2e4_lbfgs05_steps1000_inner10_resample250,adam2e4,lbfgs05,0.0002,0.0007430788828060031,236.48090600967407
helmholtz1d,fp64,0,"{'m': 10, 'lambda_val': 1.0, 'hard_bc': False, 'bc_weight': 1.0}",192,4,,8000,,0,2,5000,1000,10,,0.5,250,1.2952698612448342e-07,0.0017108366338082774,1659.2657091617584,/kaggle/working/results_exp_16_helmholtz1d_exploded_inner10/runs/exp16_r008_m10_width192_adam2e4_lbfgs05_steps1000_inner10_resample250_fp64_s0,10,1.0,False,1.0,8,exp16_r008_m10_width192_adam2e4_lbfgs05_steps1000_inner10_resample250_fp64_s0,width192_adam2e4_lbfgs05_steps1000_inner10_resample250,adam2e4,lbfgs05,0.0002,0.0017108366338082774,1659.2657091617584
helmholtz1d,fp32,0,"{'m': 10, 'lambda_val': 1.0, 'hard_bc': False, 'bc_weight': 1.0}",192,4,,8000,,0,2,5000,1000,10,,1.0,250,1.0904811915679602e-06,0.004258337896317244,233.36940097808838,/kaggle/working/results_exp_16_helmholtz1d_exploded_inner10/runs/exp16_r009_m10_width192_adam1e4_lbfgs1_steps1000_inner10_resample250_fp32_s0,10,1.0,False,1.0,9,exp16_r009_m10_width192_adam1e4_lbfgs1_steps1000_inner10_resample250_fp32_s0,width192_adam1e4_lbfgs1_steps1000_inner10_resample250,adam1e4,lbfgs1,0.0001,0.004258337896317244,233.36940097808838
helmholtz1d,fp64,0,"{'m': 10, 'lambda_val': 1.0, 'hard_bc': False, 'bc_weight': 1.0}",192,4,,8000,,0,2,5000,1000,10,,1.0,250,2.972753657203504e-07,0.004537399129942517,2331.5144913196564,/kaggle/working/results_exp_16_helmholtz1d_exploded_inner10/runs/exp16_r010_m10_width192_adam1e4_lbfgs1_steps1000_inner10_resample250_fp64_s0,10,1.0,False,1.0,10,exp16_r010_m10_width192_adam1e4_lbfgs1_steps1000_inner10_resample250_fp64_s0,width192_adam1e4_lbfgs1_steps1000_inner10_resample250,adam1e4,lbfgs1,0.0001,0.0017293850808818931,2331.5144913196564
helmholtz1d,fp32,0,"{'m': 10, 'lambda_val': 1.0, 'hard_bc': False, 'bc_weight': 1.0}",192,4,,8000,,0,2,5000,1000,10,,0.5,250,1.0251779940517736e-06,0.002027308102697134,232.1364152431488,/kaggle/working/results_exp_16_helmholtz1d_exploded_inner10/runs/exp16_r011_m10_width192_adam1e4_lbfgs05_steps1000_inner10_resample250_fp32_s0,10,1.0,False,1.0,11,exp16_r011_m10_width192_adam1e4_lbfgs05_steps1000_inner10_resample250_fp32_s0,width192_adam1e4_lbfgs05_steps1000_inner10_resample250,adam1e4,lbfgs05,0.0001,0.002027308102697134,232.1364152431488
helmholtz1d,fp64,0,"{'m': 10, 'lambda_val': 1.0, 'hard_bc': False, 'bc_weight': 1.0}",192,4,,8000,,0,2,5000,1000,10,,0.5,250,1.968490737754109e-07,0.0031373256013443544,1135.7603976726532,/kaggle/working/results_exp_16_helmholtz1d_exploded_inner10/runs/exp16_r012_m10_width192_adam1e4_lbfgs05_steps1000_inner10_resample250_fp64_s0,10,1.0,False,1.0,12,exp16_r012_m10_width192_adam1e4_lbfgs05_steps1000_inner10_resample250_fp64_s0,width192_adam1e4_lbfgs05_steps1000_inner10_resample250,adam1e4,lbfgs05,0.0001,0.0031373256013443544,1135.7603976726532
helmholtz1d,fp32,0,"{'m': 12, 'lambda_val': 1.0, 'hard_bc': False, 'bc_weight': 1.0}",128,4,,8000,,0,2,5000,1000,10,,1.0,250,1.2457712728064507e-06,0.01925165392458439,171.96420979499817,/kaggle/working/results_exp_16_helmholtz1d_exploded_inner10/runs/exp16_r013_m12_width128_adam5e4_lbfgs1_steps1000_inner10_resample250_fp32_s0,12,1.0,False,1.0,13,exp16_r013_m12_width128_adam5e4_lbfgs1_steps1000_inner10_resample250_fp32_s0,width128_adam5e4_lbfgs1_steps1000_inner10_resample250,adam5e4,lbfgs1,0.0005,0.01925165392458439,171.96420979499817
