step,opt,total_loss,pde_loss,ic_loss,bc_loss,l2_error,time_sec
1,adam,0.5429651749092272,0.00016311580238127004,0.540642224387549,0.0021598347192968758,1.0492690430198606,0.027469873428344727
100,adam,0.09026433708352335,0.025441163043183578,0.04685169410866897,0.017971479931670815,0.26698465684651806,1.8907215595245361
200,adam,0.005728335690049623,0.0026061947327689966,0.0011993082193461776,0.0019228327379344485,0.036608349212386426,3.7837038040161133
300,adam,0.001462624550851611,0.0008521708108755246,0.0002280274873415342,0.0003824262526345522,0.02074516839015819,5.685559272766113
400,adam,0.0008394036798973563,0.000607692029488322,8.457990698091167e-05,0.00014713174342812258,0.008984395810941383,7.582314491271973
500,adam,0.001983475677745003,0.0005422919651709775,0.00048481556513087844,0.000956368147443147,0.04773276718305653,9.476966857910156
600,adam,0.0004639055881417326,0.00037073544630733627,3.3729725830880264e-05,5.944041600351606e-05,0.005676144787391374,11.376403570175171
700,adam,0.0003274701997343944,0.00026778043995631776,2.1329418730586804e-05,3.8360341047489835e-05,0.00461194159239399,13.274956941604614
800,adam,0.0003609059206409858,0.00025678835032499913,3.2367984469858976e-05,7.174958584612772e-05,0.011647621133366263,15.185892581939697
900,adam,0.0002146671439999924,0.00018373523509755205,1.0792715860943388e-05,2.0139193041496953e-05,0.0032932454918371203,17.087228298187256
1000,adam,0.0001664954006012583,0.00014622216410216499,7.043296968341826e-06,1.322993953075149e-05,0.0027599888874317155,18.987478733062744
1100,adam,0.0001376528717500387,0.0001239634838246227,4.783434626422126e-06,8.905953298993893e-06,0.0023179998397832597,20.890809297561646
1200,adam,0.00017863615870762018,0.00015970206388064522,5.79040112654492e-06,1.3143693700430035e-05,0.003775013030076079,22.792025327682495
1300,adam,0.00013998682123526147,0.00012877442903602018,4.114356510768356e-06,7.098035688472943e-06,0.002155854318739128,24.708218812942505
1400,adam,0.00012273149848805753,0.00011420641839541879,3.213913417867705e-06,5.311166674771027e-06,0.001994807201557628,26.61141300201416
1500,adam,0.00011103945218654518,0.00010433871511749677,2.574961626871533e-06,4.125775442176876e-06,0.0018591403353934157,28.51492214202881
1600,adam,0.00010185496771096642,9.651474663362249e-05,2.0722682747841183e-06,3.2679528025598185e-06,0.0017386321449334332,30.415193796157837
1700,adam,0.00017385373515932701,0.0001590489597537304,6.798859795094348e-06,8.005915610502256e-06,0.002845564945362613,32.315563440322876
1800,adam,0.00012525146252699608,0.00011794291600686829,2.826884208557206e-06,4.48166231157058e-06,0.0018448853039116087,34.21745491027832
1900,adam,0.00010936901123069853,0.00010347783479398398,2.3287687269461272e-06,3.5624077097684277e-06,0.0017632966766111893,36.125736474990845
2000,adam,9.896520389589471e-05,9.412248271014748e-05,1.9106183590179204e-06,2.93210282672932e-06,0.001670488004889491,38.030011892318726
2100,adam,9.067125630510141e-05,8.67020799095518e-05,1.546105638825754e-06,2.4230707567238468e-06,0.0015729631726347877,39.932889223098755
2200,adam,8.357577258812521e-05,8.032323143550467e-05,1.2472580909624714e-06,2.005283061658079e-06,0.001478258122550909,41.83722496032715
2300,adam,0.0005694641901532302,9.250696719773335e-05,0.0001607976756811377,0.00031615954727435907,0.029768350208795324,43.73880624771118
2400,adam,0.00013800108689884368,0.00012997405749595172,2.939847977357962e-06,5.087181425533998e-06,0.002062742037883176,45.64490342140198
2500,adam,0.00010380812326360885,9.860053441358561e-05,2.001938523785276e-06,3.205650326237964e-06,0.0016287343758155507,47.54562735557556
2600,adam,9.017523397747548e-05,8.595940042683153e-05,1.5864835475565228e-06,2.62935000308743e-06,0.0015463868886452336,49.448249101638794
2700,adam,8.086498818071993e-05,7.743231186043361e-05,1.2436515698877153e-06,2.1890247503985996e-06,0.0014542019186106563,51.349910259246826
2800,adam,7.341683701628827e-05,7.061263035427752e-05,9.779202666809362e-07,1.8262863953298214e-06,0.0013627787493643744,53.25185680389404
2900,adam,6.712396909841576e-05,6.481422450606023e-05,7.78562917397168e-07,1.5311816749583583e-06,0.0012780143094925063,55.16615271568298
3000,adam,6.166854879156894e-05,5.974225143487769e-05,6.303916692959821e-07,1.2959056873952782e-06,0.0012018995935285486,57.067246437072754
3100,adam,0.01270501337923413,0.0004604593357472677,0.002812046076525404,0.009432507966961459,0.14185580592087757,58.96922326087952
3200,adam,9.755292543299313e-05,9.272466023807125e-05,1.799013558871782e-06,3.0292516360500857e-06,0.001530003111562725,60.871198415756226
3300,adam,7.64729932676711e-05,7.332175676965294e-05,1.0860364235926323e-06,2.0652000744255394e-06,0.001346650172300428,62.77280020713806
3400,adam,6.658798212108894e-05,6.396772158397461e-05,8.215254864371845e-07,1.798735050677138e-06,0.0012803254095549073,64.67949962615967
3500,adam,5.936984906000523e-05,5.714654255966115e-05,6.437897681191974e-07,1.5795167322248879e-06,0.0012112255489286866,66.58253479003906
3600,adam,5.346139355666527e-05,5.154552146413171e-05,5.207509799225539e-07,1.3951211126110063e-06,0.0011444529147018774,68.48359942436218
3700,adam,4.839329954933524e-05,4.671174019350649e-05,4.343062604555767e-07,1.2472530953731715e-06,0.0010834212588582367,70.38580131530762
3800,adam,4.3909653582868e-05,4.240217378948839e-05,3.7330796068392993e-07,1.1341718326956783e-06,0.0010291395605848978,72.29205226898193
3900,adam,4.2885368189776146e-05,3.849579679573547e-05,1.52278571855491e-06,2.8667856754857633e-06,0.0023560780260061497,74.19805335998535
