,,final_l2_error,final_l2_error,best_l2_error,best_l2_error,l2_ratio,l2_ratio,final_loss,final_loss,time_sec,time_sec
,,mean,std,mean,std,mean,std,mean,std,mean,std
nu,dtype,,,,,,,,,,
0.0001,fp32,0.3912387192249298,,0.4010026454925537,0.014120627243998872,1.000564846358894,,0.06528069823980331,,246.10746228694916,0.4318401501778952
0.0001,fp64,0.4136770667144381,0.008464691805830978,0.4136770667144381,0.008464691805830978,1.0,0.0,0.07481721393856858,0.0037211368668792883,1366.898887872696,0.028263002261829363
0.0002,fp32,0.39725589752197266,0.01626918928738723,0.39725589752197266,0.01626918928738723,1.0,0.0,0.06610586121678352,0.0033703412298024715,246.13769137859344,1.6715151834976758
0.0002,fp64,0.40909566671109376,0.0056308245435869285,0.40875574817080673,0.006111541953362974,1.0008404791447507,0.001188617005398203,0.0738627372951546,0.003967164679072303,1366.4699178934097,1.1240640362182759
0.0005,fp32,31628257280.18516,44729110399.339714,0.3855137825012207,0.021479298406606926,78932129141.9031,111626887538.04977,5.201216005743208e+20,7.355630216154063e+20,248.47267043590546,0.8437554620159622
0.0005,fp64,0.3849497125606439,0.014000161567420958,0.38394193518510356,0.015425373999762964,1.0027015657912872,0.003820590981681588,0.06621364596471914,0.006443493470624828,1366.283249616623,0.5646524562684542
0.001,fp32,0.2925863564014435,,0.3270493298768997,0.04873800448869445,1.0,,0.03498725965619087,,237.60674488544464,2.0703636235982135
0.001,fp64,0.28973214177940054,0.0689706401831521,0.28694480985315574,0.072912522796083,1.0118414424656825,0.016746328533028935,0.012142460489770666,0.007465143558732636,1365.6998287439346,0.4729141085130959
0.002,fp32,0.04871722124516964,0.0016448940327930127,0.04866948164999485,0.0015773800498346242,1.000958917978354,0.0013561148101916345,0.00011099133917014115,5.014835464340591e-05,241.48753356933594,1.7343724876046411
0.002,fp64,5036976508.883046,7123360491.803356,0.2603688687630654,0.08184038392022704,15827665120.05848,22383698671.44315,2.297112723000487e+18,3.2486079671670794e+18,1365.6402547359467,1.1953561048240293
0.005,fp32,0.05205364339053631,9.481196990328805e-05,0.04691642336547375,0.0028881365018113008,1.1116658130422867,0.07045410424015754,2.049513022939209e-05,3.791678047168847e-06,236.79302740097046,0.17329502843484895
0.005,fp64,0.051965468013369584,0.000194593184489076,0.0505723180409066,0.0007071323542313351,1.0276212341867592,0.010520993672252366,2.5216050105432668e-05,7.973480465373028e-06,1366.993787765503,0.8026614417808703
0.01,fp32,0.0493039395660162,6.413960089948492e-05,0.04161427915096283,0.0015815288802349154,1.185669722333491,0.046602044989289326,1.3450839105644263e-05,1.6993470922348218e-06,239.16718745231628,4.680555546866753
0.01,fp64,0.04941392417231251,1.492147554125921e-05,0.04260087026889427,0.0017265524740931225,1.1608880906806047,0.04739939977530193,8.494972777363206e-06,1.5809636024506026e-07,1365.8818315267563,0.14956989305849053
