step,opt,total_loss,pde_loss,ic_loss,bc_loss,l2_error,time_sec
1,adam,7710481.988929834,7710481.988029929,0.0,0.0008999057990879188,1.0012795470249394,0.059258222579956055
100,adam,7455716.187062901,7455681.476956052,0.0,34.71010684985292,7.1434230414239375,3.5456113815307617
200,adam,6955862.240208105,6955842.605922808,0.0,19.63428529767463,1.736345408258107,7.034371852874756
300,adam,6921132.947345954,6921105.801416654,0.0,27.145929299868115,2.1389961750576645,10.51865291595459
400,adam,6920346.104961443,6920319.853357239,0.0,26.251604203836948,2.341489360249495,14.012978076934814
500,adam,6916168.3143811105,6916143.251108704,0.0,25.063272405983994,2.4784563409325906,17.50581455230713
600,adam,6916452.486866615,6916428.620930236,0.0,23.865936378994284,2.626778687593703,21.007715702056885
700,adam,6916332.213045648,6916309.403754117,0.0,22.809291531094466,2.768189620418774,24.509100914001465
800,adam,6914659.362160257,6914637.565544718,0.0,21.796615538954928,2.940638293415052,28.008913040161133
900,adam,6927604.19318097,6927582.976313101,0.0,21.216867868403284,3.160219964295593,31.51460909843445
1000,adam,6913738.274116867,6913717.637228511,0.0,20.6368883561736,3.4103648352336933,35.0248589515686
1100,adam,6913964.350535563,6913944.22198562,0.0,20.128549943021028,3.609002846314563,38.539037227630615
1200,adam,6913481.3574323915,6913461.307695587,0.0,20.049736804121576,3.92864417532206,42.05246448516846
1300,adam,6913045.88228673,6913026.113159525,0.0,19.769127205377213,4.151444850846311,45.5707643032074
1400,adam,6913081.45136655,6913061.776999282,0.0,19.674367268870967,4.4007643949740824,49.08953833580017
1500,adam,6912992.335733495,6912972.6111149965,0.0,19.724618498594268,4.661070669571576,52.60224509239197
1600,adam,6914005.2342906315,6913985.2610281315,0.0,19.97326250040411,4.93158384678171,56.126688718795776
1700,adam,6913250.19059172,6913229.736195829,0.0,20.454395891100912,5.205444227540788,59.65045523643494
1800,adam,6913125.947573649,6913104.942039386,0.0,21.00553426207452,5.475178681834089,63.16826152801514
1900,adam,6912510.88923018,6912489.001647742,0.0,21.887582437080052,5.7699611060653995,66.6986289024353
2000,adam,6913322.555069739,6913299.663707749,0.0,22.89136199006996,6.057397884527167,70.23430585861206
2001,lbfgs,6936610.7868020795,6936587.908747893,0.0,22.878054186242146,6.048631643469314,70.28340196609497
2100,lbfgs,6911862.033961204,6911827.62432219,0.0,34.409639013917435,8.034294894155176,74.51812696456909
2200,lbfgs,7545477.251491251,7545356.709382337,0.0,120.54210891512497,14.290241453323368,79.50560355186462
2300,lbfgs,7.180245841117938e+29,9.29118415587544e+28,0.0,6.251127425530394e+29,426019222453820.56,84.46430516242981
2400,lbfgs,1.4061757537775757e+28,9.953732134139906e+27,0.0,4.1080254036358527e+27,138993210824584.62,89.40135908126831
2500,lbfgs,7710145.626759634,7709900.868947134,0.0,244.7578125,15.684476890075592,94.32664513587952
2600,lbfgs,7710145.626759634,7709900.868947134,0.0,244.7578125,15.684476890075592,99.23778796195984
2700,lbfgs,7710145.626759634,7709900.868947134,0.0,244.7578125,15.684476890075592,104.14313554763794
2800,lbfgs,7710145.626759634,7709900.868947134,0.0,244.7578125,15.684476890075592,109.04218792915344
2900,lbfgs,7710145.626759634,7709900.868947134,0.0,244.7578125,15.684476890075592,113.93782687187195
3000,lbfgs,7710145.626759634,7709900.868947134,0.0,244.7578125,15.684476890075592,118.88424873352051
