,,final_l2_error,final_l2_error,best_l2_error,best_l2_error,l2_ratio,l2_ratio,final_loss,final_loss,time_sec,time_sec
,,mean,std,mean,std,mean,std,mean,std,mean,std
m,dtype,,,,,,,,,,
5,fp32,0.002826072508469224,0.00029104111112493084,0.0017692109104245901,0.0007623410006084156,1.7998975112656945,0.9400669931753213,9.237441190634854e-06,1.806907218172429e-07,153.81140267848969,4.79678660840355
5,fp64,0.0006384023731562124,0.0002630985047308318,0.000634076711264144,0.00025698109501682816,1.0053024222236038,0.0074987574220489635,2.044439816835325e-06,2.350620000317996e-06,144.88552117347717,0.07083030773346807
8,fp32,4.563203014433384,6.353051181964625,0.5220789592713118,0.6601146914581706,5.2199163360452285,5.568712679814794,0.01512736635049805,0.02103574768937437,146.50061857700348,1.5715600547440276
8,fp64,0.09616460187799444,0.08750424536717674,0.09616460187799444,0.08750424536717674,1.0,0.0,0.0009543421270577239,0.001225704865989973,146.70168471336365,0.10964283476496826
10,fp32,1.480520248413086,1.3597820876330338,0.7594989538192749,0.3401039940586594,1.7210293742133589,1.0196895198819178,0.09787458786740899,0.13168227730063062,146.87375247478485,0.16690033999138207
10,fp64,0.7248344223164264,0.5773920103230119,0.5299185503110977,0.6647777667171689,3.2111604906504967,2.938783872177686,0.0038573221751244755,0.0051748591975020655,146.61906480789185,0.45683778320449453
12,fp32,4.680277109146118,0.663611570698093,0.9988885223865509,0.0015676520303627036,4.68601200580642,0.6717041911045721,0.13257812336087227,0.053226027457445195,148.44425904750824,0.12133420195449622
12,fp64,2.5205658119935395,1.1072192682268003,0.9997862233202714,2.502167939062283e-05,2.5210909080218347,1.1073929210802085,0.0034756661074632333,0.004285003321108928,147.33670377731323,0.04774462434271693
15,fp32,3.9845134615898132,4.220695075980753,0.9991057515144348,0.0009717377392671728,3.9901360601225537,4.228353640614739,0.42199985682964325,0.11195064867545503,145.54126727581024,2.8417612075032785
15,fp64,14.238194488642051,3.3475286396033805,0.9998017630305931,0.00012321193570832573,14.240811383418364,3.3464373892731305,0.43879994587569116,0.02275609451207077,146.81697738170624,0.7636845420401777
