variant,m,dtype,best_l2_median,best_l2_min,final_l2_median,ok_1e_2,ok_5e_2,time_median
adam_only,8,fp32,0.24972347915172577,0.1933128833770752,0.37137822806835175,0.0,0.0,87.67524874210358
adam_only,8,fp64,0.18062934349575738,0.14590996191387634,0.24980940329937024,0.0,0.0,371.110963344574
adam_only,9,fp32,0.6103802919387817,0.5772601962089539,0.7304167151451111,0.0,0.0,91.15789341926575
adam_only,9,fp64,0.5025544211868497,0.3718786383536135,0.7135623238476505,0.0,0.0,372.61184799671173
adam_only,10,fp32,0.5799353420734406,0.5050587058067322,0.6976556777954102,0.0,0.0,91.69243133068085
adam_only,10,fp64,0.7162463689923662,0.6185362830621512,0.9152812317183785,0.0,0.0,372.56272423267365
adam_only,11,fp32,0.6959944069385529,0.6743218302726746,3.530282497406006,0.0,0.0,91.41881501674652
adam_only,11,fp64,0.6644842815818902,0.5641369806375404,1.966557778111992,0.0,0.0,372.07431399822235
adam_only,12,fp32,0.7711652219295502,0.6410113573074341,4.092341780662537,0.0,0.0,90.13640081882477
adam_only,12,fp64,0.6354127061250652,0.4911958784801864,5.170839020542947,0.0,0.0,371.1982306241989
base_2k,8,fp32,0.005319579970091581,0.0025971271097660065,0.00733264209702611,1.0,1.0,70.63488328456879
base_2k,8,fp64,0.5005469567780807,0.001331633562428918,0.920955562291501,0.5,0.5,196.15432047843933
base_2k,9,fp32,0.5036407802253962,0.00758560374379158,3.0843353662639856,0.5,0.5,68.95517253875732
base_2k,9,fp64,0.5781763795044393,0.1563372631704687,1.0290452712354856,0.0,0.0,197.34224092960358
base_2k,10,fp32,1.0000163614749908,0.9999876618385315,1.1879806518554688,0.0,0.0,61.18075489997864
base_2k,10,fp64,0.9888148849943763,0.9737688172987262,1.1298704542467157,0.0,0.0,187.74664437770844
base_2k,11,fp32,1.0000382363796234,0.9997513890266418,1.0202930569648743,0.0,0.0,47.66966128349304
base_2k,11,fp64,0.9556324552699178,0.911248342730892,4.569679977570942,0.0,0.0,196.88459360599518
base_2k,12,fp32,1.0001896023750305,1.0000450611114502,1.0239978432655334,0.0,0.0,47.25047242641449
base_2k,12,fp64,1.0002138901608468,1.000101484613563,4.935685200086859,0.0,0.0,206.5818154811859
more_points_soft,8,fp32,0.009188967058435082,0.0030395030044019222,0.02442343975417316,0.5,1.0,109.08964586257935
more_points_soft,8,fp64,0.023949779999331424,0.007903337591080846,0.025568583217407778,0.5,1.0,521.0782384872437
more_points_soft,9,fp32,0.3216434005298652,0.001650310237891972,2.8610792044200934,0.5,0.5,103.20237421989441
more_points_soft,9,fp64,0.2982825821384338,0.0033133436255883193,1.7950882799297438,0.5,0.5,515.4160013198853
more_points_soft,10,fp32,0.789873331785202,0.7046611905097961,0.9766508042812347,0.0,0.0,99.73467552661896
more_points_soft,10,fp64,0.873874734936602,0.858370551159921,2.3535179581311034,0.0,0.0,512.7797273397446
more_points_soft,11,fp32,0.8238373398780823,0.6670244336128235,5.717882513999939,0.0,0.0,108.69999980926514
more_points_soft,11,fp64,0.91782062059764,0.8705080357747348,6.009253845036772,0.0,0.0,519.9017258882523
