step,opt,total_loss,pde_loss,ic_loss,bc_loss,l2_error,time_sec
1,adam,0.6903476491249354,0.49701004630417084,0.0,0.19333760282076462,1.1292533257860982,0.04807686805725098
100,adam,0.4970127948990333,0.4969980003767756,0.0,1.4794522257664328e-05,1.004348294126752,3.7052104473114014
200,adam,0.4969941364960417,0.4969941330874624,0.0,3.408579289540707e-09,1.0037154151033996,7.401277542114258
300,adam,0.5021552262211861,0.5021552191434605,0.0,7.0777255788687365e-09,1.0034384716042755,11.09899091720581
400,adam,0.5021513131859687,0.5021513061755438,0.0,7.010424862837856e-09,1.003171082666824,14.792440176010132
500,adam,0.5035368076314004,0.5035368025154279,0.0,5.115972512525648e-09,1.0030411273998143,18.489364624023438
600,adam,0.5035321666316901,0.5035321615369092,0.0,5.094780931176307e-09,1.0029263770723835,22.189172744750977
700,adam,0.5049673952684464,0.5049673859777956,0.0,9.290650752089356e-09,1.002364175199005,25.892085313796997
800,adam,0.5049577998776467,0.5049577906405375,0.0,9.237109232178448e-09,1.001796892895853,29.594709396362305
900,adam,0.5009295116414929,0.5009295082914526,0.0,3.3500403832622285e-09,1.0011312942260502,33.296876668930054
1000,adam,0.5009205917299839,0.5009205884097713,0.0,3.3202126499457064e-09,1.0005793950448005,36.999741077423096
1100,adam,0.4926964360791287,0.4926964303921963,0.0,5.686932444020899e-09,1.0001185041307712,40.70273566246033
1200,adam,0.49268262699017484,0.4926826213215157,0.0,5.668659167981231e-09,1.0000301757530952,44.41142296791077
1300,adam,0.4954050401064521,0.49540503180363216,0.0,8.302819909618468e-09,1.0000783655850904,48.121689319610596
1400,adam,0.4953863703289725,0.49538636171104283,0.0,8.617929656518256e-09,1.000143590488594,51.830321073532104
1500,adam,0.5064477428177852,0.506447738402171,0.0,4.415614067878878e-09,1.000126047135792,55.539385080337524
1600,adam,0.5064312382816683,0.5064312336139599,0.0,4.667708299419432e-09,1.0001099524327557,59.248085737228394
1700,adam,0.4941424241227778,0.4941424159181326,0.0,8.204645164709354e-09,1.000119376760222,62.959364891052246
1800,adam,0.4940846058224282,0.4940845964111244,0.0,9.411303786850884e-09,1.0007952568457774,66.66862344741821
1900,adam,0.500891575401279,0.5008915688655712,0.0,6.535707858886201e-09,1.0002775211274637,70.37904191017151
2000,adam,0.5008861545956392,0.5008484150370192,0.0,3.773955862005055e-05,1.0006982495690442,74.0894730091095
2100,adam,0.4969458657834071,0.4969458502074025,0.0,1.5576004573800343e-08,1.0002834551988768,77.80263137817383
2200,adam,0.4967737837568024,0.49677376498436115,0.0,1.8772441270398287e-08,1.0004384391485577,81.51442098617554
2300,adam,0.4965292069181481,0.4965291796125991,0.0,2.730554901506374e-08,1.0012043870086789,85.22815871238708
2400,adam,0.49591191688416736,0.4957900667410518,0.0,0.00012185014311557237,1.0029534608071093,88.94000267982483
2500,adam,0.49191315932981844,0.4919131478687047,0.0,1.1461113745577338e-08,1.001183942573365,92.65640068054199
2600,adam,0.4722598647772067,0.4722594048748497,0.0,4.5990235703448584e-07,1.0034897543553498,96.37862348556519
2700,adam,0.43006023340461236,0.4299703805334711,0.0,8.985287114126861e-05,1.4475614624651594,100.10698461532593
2800,adam,0.4145711434815833,0.41439092922320314,0.0,0.00018021425838015418,1.6259136519928692,103.83699893951416
2900,adam,0.4037222728315565,0.40372124369939466,0.0,1.0291321618479813e-06,1.3872333567297555,107.564692735672
3000,adam,0.39009991052538806,0.3900957084907872,0.0,4.202034600862269e-06,1.2344876022115905,111.29574799537659
3100,adam,0.38169971918141865,0.38164412308149204,0.0,5.559609992658864e-05,1.115187500186449,115.02582478523254
3200,adam,0.37195725018283576,0.36844247829936133,0.0,0.003514771883474448,1.001824355555071,118.75583243370056
3300,adam,0.3931853763083342,0.3560986842710926,0.0,0.03708669203724162,1.0438579364056297,122.48682403564453
3400,adam,0.3432934548321364,0.343293062953516,0.0,3.9187862037501914e-07,1.1258212675718768,126.21669054031372
3500,adam,0.33052809254078563,0.33043274565922287,0.0,9.534688156275696e-05,1.2017252714825895,129.94642043113708
3600,adam,0.3237049703601771,0.3237049215078554,0.0,4.88523216642544e-08,1.3226800517913075,133.6760926246643
3700,adam,0.30926561782487544,0.3092655451976727,0.0,7.262720273638702e-08,1.5640150773231818,137.4047179222107
3800,adam,0.29346286288093665,0.2934203528845597,0.0,4.2509996376976364e-05,1.9576235843263323,141.13698410987854
3900,adam,0.29121059614641887,0.2912105171504548,0.0,7.899596404557615e-08,1.903608182376206,144.8648166656494
4000,adam,0.28742082174354366,0.2874207960385462,0.0,2.5704997484439563e-08,1.7654508795291923,148.59560775756836
4100,adam,0.2831169446570262,0.28310484063612257,0.0,1.210402090365102e-05,1.6216505996035293,152.32510089874268
4200,adam,0.30261273337225275,0.27913284404719324,0.0,0.023479889325059518,1.3750565206874101,156.05472016334534
4300,adam,0.26291412296763045,0.26291362771782023,0.0,4.952498101957094e-07,1.0755135907886837,159.78805565834045
4400,adam,0.2581110786572285,0.24537060557773793,0.0,0.012740473079490578,0.930855842261082,163.52103686332703
4500,adam,0.24566491998604145,0.24566467374695913,0.0,2.462390823196886e-07,0.9951457554655191,167.25218749046326
4600,adam,0.2382688325194368,0.2356313968271653,0.0,0.0026374356922715045,0.9212048183489291,170.98633313179016
4700,adam,0.21228102563325263,0.21228035445144075,0.0,6.711818118733153e-07,0.9440443313533866,174.71564960479736
4800,adam,0.20308137310244956,0.2030812770006237,0.0,9.610182585745756e-08,1.2049092224400033,178.4482147693634
4900,adam,0.1905360535360611,0.19053602443078263,0.0,2.9105278476302032e-08,1.3414856201389191,182.18120121955872
5000,adam,0.1863530759199356,0.186323211306229,0.0,2.986461370659148e-05,1.3998430503578059,185.91356658935547
5001,lbfgs,0.18633256715568453,0.1863235566024209,0.0,9.010553263626253e-06,1.3999136223313964,186.00236129760742
5100,lbfgs,0.18621411945279812,0.18619926945931176,0.0,1.4849993486349668e-05,1.4024997073193897,194.1560652256012
5200,lbfgs,0.1808543141614696,0.1808451184840902,0.0,9.195677379388432e-06,1.5769719717797885,203.04449129104614
5300,lbfgs,0.1603416711911577,0.16033645434701085,0.0,5.2168441468330675e-06,1.7663357772328525,211.92830300331116
5400,lbfgs,0.14370735720785482,0.1437073134204803,0.0,4.3787374528027515e-08,2.108568245742552,220.81029987335205
5500,lbfgs,0.12398481829621495,0.12396727836895316,0.0,1.753992726178562e-05,3.4813107743338523,229.68812108039856
5600,lbfgs,0.10991002927783251,0.10990960294372872,0.0,4.263341037911736e-07,2.750940025376852,238.58439183235168
5700,lbfgs,0.09734597569572453,0.09734389538207655,0.0,2.08031364798814e-06,3.1903982727055524,247.49692058563232
5800,lbfgs,0.09289686884472487,0.09289443689948149,0.0,2.4319452433766055e-06,5.069240939076354,256.41662526130676
5900,lbfgs,0.08118583631494877,0.08117581871942674,0.0,1.0017595522031877e-05,8.32823944965031,265.33160042762756
6000,lbfgs,0.06524490403180515,0.06523820977740143,0.0,6.694254403723094e-06,5.715786396583991,274.2758951187134
6100,lbfgs,0.047755597609864114,0.04773550233923568,0.0,2.0095270628436737e-05,1.9992753096746456,283.1927824020386
6200,lbfgs,0.029427421545062327,0.029425762242972792,0.0,1.6593020895363754e-06,2.9629260968435474,292.109806060791
6300,lbfgs,0.01898204267838247,0.018979088633481127,0.0,2.95404490134272e-06,3.0476859208461553,301.02876257896423
6400,lbfgs,0.010159422550909705,0.01015923200440191,0.0,1.9054650779447599e-07,2.391666231346465,309.95654249191284
6500,lbfgs,0.0073567774552922615,0.00735478402816909,0.0,1.993427123171693e-06,2.7533917877755356,318.8885190486908
