task_name,dtype,seed,alpha,hid_size,num_layers,n_collocation,n_ic,n_bc,adam_steps,lbfgs_steps,final_loss,final_l2_error,time_sec,log_dir,source,variant,best_l2_error,elapsed_time,case_name,case_value,run_id,nu,init_gain,adam_steps_config,lr_adam,lbfgs_steps_config,lbfgs_max_iter,lbfgs_max_eval,lbfgs_history_size,lbfgs_tolerance_grad,lbfgs_tolerance_change,resample_every,lbfgs_lr,best_step,l2_ratio,m,lambda_val,point_mode,hard_bc,bc_weight,run_name,adam_name,lbfgs_name,lbfgs_line_search_fn,beta,n_grid,error
burgers1d,fp16,0,0.001,256,4,10000,800.0,800.0,3000,2000,,,823.5590693950653,final/runs/run005_burgers1d_burgers_more_points_nu0p001_fp16_s0,final_results,burgers_more_points,,823.5590693950653,nu,0.001,5.0,0.001,1.0,,5e-05,,5.0,,100.0,1e-08,1e-10,200.0,0.5,,,,,,,,run005_burgers1d_burgers_more_points_nu0p001_fp16_s0,,,strong_wolfe,,,
burgers1d,fp16,1,0.001,256,4,10000,800.0,800.0,3000,2000,,,827.8239800930023,final/runs/run006_burgers1d_burgers_more_points_nu0p001_fp16_s1,final_results,burgers_more_points,,827.8239800930023,nu,0.001,6.0,0.001,1.0,,5e-05,,5.0,,100.0,1e-08,1e-10,200.0,0.5,,,,,,,,run006_burgers1d_burgers_more_points_nu0p001_fp16_s1,,,strong_wolfe,,,
burgers1d,fp16,0,0.002,256,4,10000,800.0,800.0,3000,2000,,,829.2378642559052,final/runs/run011_burgers1d_burgers_more_points_nu0p002_fp16_s0,final_results,burgers_more_points,,829.2378642559052,nu,0.002,11.0,0.002,1.0,,5e-05,,5.0,,100.0,1e-08,1e-10,200.0,0.5,,,,,,,,run011_burgers1d_burgers_more_points_nu0p002_fp16_s0,,,strong_wolfe,,,
burgers1d,fp16,1,0.002,256,4,10000,800.0,800.0,3000,2000,,,832.4802167415619,final/runs/run012_burgers1d_burgers_more_points_nu0p002_fp16_s1,final_results,burgers_more_points,,832.4802167415619,nu,0.002,12.0,0.002,1.0,,5e-05,,5.0,,100.0,1e-08,1e-10,200.0,0.5,,,,,,,,run012_burgers1d_burgers_more_points_nu0p002_fp16_s1,,,strong_wolfe,,,
helmholtz1d,fp16,0,"{'m': 8, 'lambda_val': 1.0, 'hard_bc': False, 'bc_weight': 1.0}",128,4,5000,0.0,2.0,10000,1000,,,399.1708152294159,final/runs/run017_helmholtz1d_helmholtz_resample_long_m8_fp16_s0,final_results,helmholtz_resample_long,,399.1708152294159,m,8.0,17.0,,,,0.0005,,1.0,,50.0,1e-08,1e-09,200.0,1.0,,,8.0,1.0,,False,1.0,run017_helmholtz1d_helmholtz_resample_long_m8_fp16_s0,,,strong_wolfe,,,
helmholtz1d,fp16,1,"{'m': 8, 'lambda_val': 1.0, 'hard_bc': False, 'bc_weight': 1.0}",128,4,5000,0.0,2.0,10000,1000,,,397.9707365036011,final/runs/run018_helmholtz1d_helmholtz_resample_long_m8_fp16_s1,final_results,helmholtz_resample_long,,397.9707365036011,m,8.0,18.0,,,,0.0005,,1.0,,50.0,1e-08,1e-09,200.0,1.0,,,8.0,1.0,,False,1.0,run018_helmholtz1d_helmholtz_resample_long_m8_fp16_s1,,,strong_wolfe,,,
helmholtz1d,fp16,0,"{'m': 12, 'lambda_val': 1.0, 'hard_bc': False, 'bc_weight': 1.0}",128,4,5000,0.0,2.0,10000,1000,,,398.68045806884766,final/runs/run023_helmholtz1d_helmholtz_resample_long_m12_fp16_s0,final_results,helmholtz_resample_long,,398.68045806884766,m,12.0,23.0,,,,0.0005,,1.0,,50.0,1e-08,1e-09,200.0,1.0,,,12.0,1.0,,False,1.0,run023_helmholtz1d_helmholtz_resample_long_m12_fp16_s0,,,strong_wolfe,,,
helmholtz1d,fp16,1,"{'m': 12, 'lambda_val': 1.0, 'hard_bc': False, 'bc_weight': 1.0}",128,4,5000,0.0,2.0,10000,1000,,,400.4289340972901,final/runs/run024_helmholtz1d_helmholtz_resample_long_m12_fp16_s1,final_results,helmholtz_resample_long,,400.4289340972901,m,12.0,24.0,,,,0.0005,,1.0,,50.0,1e-08,1e-09,200.0,1.0,,,12.0,1.0,,False,1.0,run024_helmholtz1d_helmholtz_resample_long_m12_fp16_s1,,,strong_wolfe,,,
convection1d,fp16,0,30.0,256,3,4225,65.0,65.0,0,4000,0.493896484375,1.0009765625,1134.0587012767792,final/runs/run029_convection1d_convection_beta30_lbfgs_grid_beta30p0_fp16_s0,final_results,convection_beta30_lbfgs_grid,1.0009765625,1134.0587012767792,beta,30.0,29.0,,1.0,,0.0001,,10.0,,50.0,1e-08,1e-09,0.0,1.0,1.0,,,,grid,,,run029_convection1d_convection_beta30_lbfgs_grid_beta30p0_fp16_s0,,,strong_wolfe,30.0,65.0,
convection1d,fp16,1,,256,3,4225,65.0,65.0,0,4000,,,0.2920892238616943,final/runs/run030_convection1d_convection_beta30_lbfgs_grid_beta30p0_fp16_s1,final_results,convection_beta30_lbfgs_grid,,0.2920892238616943,beta,30.0,30.0,,1.0,,0.0001,,10.0,,50.0,1e-08,1e-09,0.0,1.0,,,,,grid,,,run030_convection1d_convection_beta30_lbfgs_grid_beta30p0_fp16_s1,,,strong_wolfe,30.0,65.0,float division by zero
