source,task_name,variant,case_name,case_value,dtype,best_l2_mean,best_l2_std,best_l2_min,best_l2_max,final_l2_mean,elapsed_time_mean,count
burgers_long_lbfgs,burgers1d,adam3000_lbfgs5000_inner5_resample200,nu,0.001,fp32,0.2708814144134521,,0.2708814144134521,0.2708814144134521,0.2708814144134521,690.6303808689117,1
burgers_long_lbfgs,burgers1d,adam3000_lbfgs5000_inner5_resample200,nu,0.001,fp64,0.0995819415032934,,0.0995819415032934,0.0995819415032934,0.1003156039928465,5103.282606601715,1
burgers_long_lbfgs,burgers1d,adam3000_lbfgs5000_inner5_resample200,nu,0.002,fp32,0.0477750860154628,,0.0477750860154628,0.0477750860154628,0.0506145767867565,697.4383900165558,1
burgers_long_lbfgs,burgers1d,adam3000_lbfgs5000_inner5_resample200,nu,0.002,fp64,0.0483794210626988,,0.0483794210626988,0.0483794210626988,0.0509173207038287,5115.536487817764,1
burgers_long_lbfgs,burgers1d,adam3000_lbfgs5000_inner5_resample200,nu,0.005,fp32,0.0478018335998058,,0.0478018335998058,0.0478018335998058,0.0520223304629325,694.5072250366211,1
burgers_long_lbfgs,burgers1d,adam3000_lbfgs5000_inner5_resample200,nu,0.005,fp64,0.0519076759178343,,0.0519076759178343,0.0519076759178343,0.05205925036943,5001.841319561005,1
final_results,burgers1d,burgers_more_points,nu,0.001,fp32,0.09484540857374665,0.07646429561069593,0.0407769866287708,0.1489138305187225,0.0961990244686603,502.503981590271,2
final_results,burgers1d,burgers_more_points,nu,0.001,fp64,0.1699690994922754,0.009587856224777772,0.1631894613386934,0.1767487376458574,0.17199977352653484,663.7351713180542,2
final_results,burgers1d,burgers_more_points,nu,0.002,fp32,0.048778716474771444,0.0022310592309923694,0.0472011193633079,0.050356313586235,0.05046572536230085,467.52426171302795,2
final_results,burgers1d,burgers_more_points,nu,0.002,fp64,0.046523612511057855,0.0003345551213400718,0.0462870463160776,0.0467601787060381,0.0504671326492033,670.5011596679688,2
final_results,convection1d,convection_beta30_lbfgs_grid,beta,30.0,fp32,0.010941238608211251,0.004104571599543113,0.0080388681963086,0.0138436090201139,0.010941238608211251,473.15411031246185,2
final_results,convection1d,convection_beta30_lbfgs_grid,beta,30.0,fp64,0.0066253707376576505,0.00016582034743408338,0.0065081180455283,0.006742623429787,0.0067104882830644995,450.42433869838715,2
final_results,convection1d,convection_beta50_wide_lbfgs,beta,50.0,fp32,0.6873066425323486,,0.6873066425323486,0.6873066425323486,0.6873066425323486,1088.6382277011871,1
final_results,convection1d,convection_beta50_wide_lbfgs,beta,50.0,fp64,0.0071818074399789,,0.0071818074399789,0.0071818074399789,0.0071818074399789,2370.150009393692,1
final_results,helmholtz1d,helmholtz_resample_long,m,8.0,fp32,0.00324988248758015,0.00013271581614926156,0.0031560382340103,0.00334372674115,0.00324988248758015,131.20890057086945,2
final_results,helmholtz1d,helmholtz_resample_long,m,8.0,fp64,0.11544944453359139,0.16174872214830757,0.0010758262542644,0.2298230628129184,0.1154495590752659,124.9479467868805,2
final_results,helmholtz1d,helmholtz_resample_long,m,12.0,fp32,0.012530514737591099,0.008680562614397926,0.0063924300484359,0.0186685994267463,0.012530514737591099,141.17965424060822,2
final_results,helmholtz1d,helmholtz_resample_long,m,12.0,fp64,0.0021135880520116,0.0013733374058534271,0.0011424918594755,0.0030846842445477,0.0025480609936873,141.01174306869507,2
heat1d_precision,heat1d,heat1d_precision,alpha,0.1,fp32,0.00039682135199346666,0.00019198619507809517,0.0002165301557397,0.0005986809264868,0.00039682135199346666,89.41172965367635,3
heat1d_precision,heat1d,heat1d_precision,alpha,0.1,fp64,0.00047251183252939997,0.0003099855808224532,0.0002769395990441,0.0008299220745667,0.00047251183252939997,164.38523284594217,3
helmholtz_inner10,helmholtz1d,width128_adam1e4_lbfgs05_steps1000_inner10_resample250,m,12.0,fp32,0.0882605835795402,,0.0882605835795402,0.0882605835795402,0.0882605835795402,174.48082184791565,1
helmholtz_inner10,helmholtz1d,width128_adam1e4_lbfgs05_steps1000_inner10_resample250,m,12.0,fp64,0.0024585988389089,,0.0024585988389089,0.0024585988389089,0.0029755990254821,985.8151581287384,1
helmholtz_inner10,helmholtz1d,width128_adam1e4_lbfgs1_steps1000_inner10_resample250,m,12.0,fp32,0.0136220986023545,,0.0136220986023545,0.0136220986023545,0.0136220986023545,190.59286975860596,1
helmholtz_inner10,helmholtz1d,width128_adam1e4_lbfgs1_steps1000_inner10_resample250,m,12.0,fp64,0.0003458913456201,,0.0003458913456201,0.0003458913456201,0.0006440133369841,1219.9605793952942,1
helmholtz_inner10,helmholtz1d,width128_adam2e4_lbfgs05_steps1000_inner10_resample250,m,12.0,fp32,0.0449693091213703,,0.0449693091213703,0.0449693091213703,0.0449693091213703,196.8427906036377,1
helmholtz_inner10,helmholtz1d,width128_adam2e4_lbfgs05_steps1000_inner10_resample250,m,12.0,fp64,0.0074743191822439,,0.0074743191822439,0.0074743191822439,0.0074743191822439,1214.99245262146,1
helmholtz_inner10,helmholtz1d,width128_adam2e4_lbfgs1_steps1000_inner10_resample250,m,12.0,fp32,0.0560470409691333,,0.0560470409691333,0.0560470409691333,0.0560470409691333,208.7237946987152,1
helmholtz_inner10,helmholtz1d,width128_adam2e4_lbfgs1_steps1000_inner10_resample250,m,12.0,fp64,0.0056520248669627,,0.0056520248669627,0.0056520248669627,0.0056732874162939,1208.9829967021942,1
helmholtz_inner10,helmholtz1d,width128_adam5e4_lbfgs05_steps1000_inner10_resample250,m,12.0,fp32,0.0041363453492522,,0.0041363453492522,0.0041363453492522,0.0041363453492522,180.58161401748657,1
helmholtz_inner10,helmholtz1d,width128_adam5e4_lbfgs05_steps1000_inner10_resample250,m,12.0,fp64,0.0001698858408164,,0.0001698858408164,0.0001698858408164,0.0004848110103655,962.5384855270386,1
helmholtz_inner10,helmholtz1d,width128_adam5e4_lbfgs1_steps1000_inner10_resample250,m,12.0,fp32,0.0192516539245843,,0.0192516539245843,0.0192516539245843,0.0192516539245843,171.96420979499817,1
helmholtz_inner10,helmholtz1d,width128_adam5e4_lbfgs1_steps1000_inner10_resample250,m,12.0,fp64,0.001540316022811,,0.001540316022811,0.001540316022811,0.0022187468437881,1111.5089881420135,1
helmholtz_inner10,helmholtz1d,width192_adam1e4_lbfgs05_steps1000_inner10_resample250,m,10.0,fp32,0.0020273081026971,,0.0020273081026971,0.0020273081026971,0.0020273081026971,232.1364152431488,1
helmholtz_inner10,helmholtz1d,width192_adam1e4_lbfgs05_steps1000_inner10_resample250,m,10.0,fp64,0.0031373256013443,,0.0031373256013443,0.0031373256013443,0.0031373256013443,1135.7603976726532,1
helmholtz_inner10,helmholtz1d,width192_adam1e4_lbfgs1_steps1000_inner10_resample250,m,10.0,fp32,0.0042583378963172,,0.0042583378963172,0.0042583378963172,0.0042583378963172,233.3694009780884,1
helmholtz_inner10,helmholtz1d,width192_adam1e4_lbfgs1_steps1000_inner10_resample250,m,10.0,fp64,0.0017293850808818,,0.0017293850808818,0.0017293850808818,0.0045373991299425,2331.5144913196564,1
helmholtz_inner10,helmholtz1d,width192_adam2e4_lbfgs05_steps1000_inner10_resample250,m,10.0,fp32,0.000743078882806,,0.000743078882806,0.000743078882806,0.0020944373682141,236.48090600967407,1
helmholtz_inner10,helmholtz1d,width192_adam2e4_lbfgs05_steps1000_inner10_resample250,m,10.0,fp64,0.0017108366338082,,0.0017108366338082,0.0017108366338082,0.0017108366338082,1659.2657091617584,1
helmholtz_inner10,helmholtz1d,width192_adam2e4_lbfgs1_steps1000_inner10_resample250,m,10.0,fp32,0.0010800919262692,,0.0010800919262692,0.0010800919262692,0.0010800919262692,239.82848525047305,1
