step,opt,total_loss,pde_loss,ic_loss,bc_loss,l2_error,time_sec
1,adam,,,,,,0.02372574806213379
100,adam,,,,,,1.4561960697174072
200,adam,,,,,,2.896366834640503
300,adam,,,,,,4.322211027145386
400,adam,,,,,,5.76994514465332
500,adam,,,,,,7.20656418800354
600,adam,,,,,,8.646639585494995
700,adam,,,,,,10.076006650924683
800,adam,,,,,,11.507708311080933
900,adam,,,,,,12.959770202636719
1000,adam,,,,,,14.404839992523193
1100,adam,,,,,,15.847822666168213
1200,adam,,,,,,17.294018507003784
1300,adam,,,,,,18.729629278182983
1400,adam,,,,,,20.182669639587402
1500,adam,,,,,,21.62146830558777
1600,adam,,,,,,23.04535484313965
1700,adam,,,,,,24.48644757270813
1800,adam,,,,,,25.92991614341736
1900,adam,,,,,,27.385948419570923
2000,adam,,,,,,28.83817458152771
2100,adam,,,,,,30.281490087509155
2200,adam,,,,,,31.715603828430176
2300,adam,,,,,,33.150733947753906
2400,adam,,,,,,34.59474754333496
2500,adam,,,,,,36.028087854385376
2600,adam,,,,,,37.46379733085632
2700,adam,,,,,,38.90468621253967
2800,adam,,,,,,40.35444402694702
2900,adam,,,,,,41.80181646347046
3000,adam,,,,,,43.23940467834473
3001,lbfgs,,,,,,43.64104461669922
3100,lbfgs,,,,,,82.55965089797974
3200,lbfgs,,,,,,121.85188579559326
3300,lbfgs,,,,,,161.33622026443481
3400,lbfgs,,,,,,200.53166842460632
3500,lbfgs,,,,,,239.72312092781067
3600,lbfgs,,,,,,279.00114130973816
3700,lbfgs,,,,,,318.20876908302307
3800,lbfgs,,,,,,357.76621294021606
3900,lbfgs,,,,,,397.5046110153198
4000,lbfgs,,,,,,436.68326330184937
4100,lbfgs,,,,,,476.0388717651367
4200,lbfgs,,,,,,514.9880952835083
4300,lbfgs,,,,,,554.2852115631104
4400,lbfgs,,,,,,593.0664067268372
4500,lbfgs,,,,,,632.160293340683
4600,lbfgs,,,,,,671.0927586555481
4700,lbfgs,,,,,,710.280079126358
4800,lbfgs,,,,,,749.5782885551453
4900,lbfgs,,,,,,788.8622305393219
5000,lbfgs,,,,,,827.8239800930023
