step,opt,total_loss,pde_loss,ic_loss,bc_loss,l2_error,time_sec
1,lbfgs,0.4885634481906891,0.0048051741905510426,0.48360675573349,0.00015150985564105213,0.9999602437019348,0.14174985885620117
100,lbfgs,0.10866855084896088,0.004500905983150005,0.03445756807923317,0.06971007585525513,0.9814834594726562,22.159390926361084
200,lbfgs,0.05084369704127312,0.002000780776143074,0.005472305230796337,0.04337061196565628,0.8820821642875671,45.27499198913574
300,lbfgs,0.0354505330324173,0.0019184325356036425,0.0026030063163489103,0.030929096043109894,0.81122225522995,68.52556300163269
400,lbfgs,0.029088115319609642,0.001051978673785925,0.001753243850544095,0.026282893493771553,0.7565811276435852,91.28203558921814
500,lbfgs,0.02519793063402176,0.0010009192628785968,0.0013042317004874349,0.022892778739333153,0.7039045691490173,114.54537510871887
600,lbfgs,0.021349910646677017,0.0008497383096255362,0.0009418373228982091,0.019558334723114967,0.6319020986557007,137.63789081573486
700,lbfgs,0.001192843890748918,0.00012112649710616097,3.3371037716278806e-05,0.001038346323184669,0.09235051274299622,160.81610083580017
800,lbfgs,0.00031803196179680526,3.506690700305626e-05,2.2259398974711075e-05,0.0002607056521810591,0.0642467811703682,184.12500047683716
900,lbfgs,0.00010211605695076287,1.4794304661336355e-05,4.522530161921168e-06,8.279921894427389e-05,0.022481730207800865,207.4807779788971
1000,lbfgs,6.984756328165531e-05,7.520134658989264e-06,1.9041651739826193e-06,6.04232627665624e-05,0.013843609020113945,226.05539870262146
1100,lbfgs,6.984756328165531e-05,7.520134658989264e-06,1.9041651739826193e-06,6.04232627665624e-05,0.013843609020113945,234.3941195011139
1200,lbfgs,6.984756328165531e-05,7.520134658989264e-06,1.9041651739826193e-06,6.04232627665624e-05,0.013843609020113945,242.763032913208
1300,lbfgs,6.984756328165531e-05,7.520134658989264e-06,1.9041651739826193e-06,6.04232627665624e-05,0.013843609020113945,251.18245196342468
1400,lbfgs,6.984756328165531e-05,7.520134658989264e-06,1.9041651739826193e-06,6.04232627665624e-05,0.013843609020113945,259.6439025402069
