run_id,task_name,variant,case_name,case_value,nu,dtype,seed,hid_size,num_layers,init_gain,n_collocation,n_ic,n_bc,adam_steps,lr_adam,lbfgs_steps,lbfgs_max_iter,lbfgs_max_eval,lbfgs_lr,lbfgs_history_size,lbfgs_tolerance_grad,lbfgs_tolerance_change,lbfgs_line_search_fn,resample_every,m,lambda_val,beta,point_mode,n_grid
1,burgers1d,burgers_main,nu,0.001,0.001,fp32,0,128,4,1.0,4000,256,256,2000,5e-05,3000,5,,0.2,100,1e-08,1e-10,strong_wolfe,0,,,,,
2,burgers1d,burgers_main,nu,0.001,0.001,fp32,1,128,4,1.0,4000,256,256,2000,5e-05,3000,5,,0.2,100,1e-08,1e-10,strong_wolfe,0,,,,,
3,burgers1d,burgers_main,nu,0.001,0.001,fp64,0,128,4,1.0,4000,256,256,2000,5e-05,3000,5,,0.2,100,1e-08,1e-10,strong_wolfe,0,,,,,
4,burgers1d,burgers_main,nu,0.001,0.001,fp64,1,128,4,1.0,4000,256,256,2000,5e-05,3000,5,,0.2,100,1e-08,1e-10,strong_wolfe,0,,,,,
5,burgers1d,burgers_main,nu,0.001,0.001,fp16,0,128,4,1.0,4000,256,256,2000,5e-05,3000,5,,0.2,100,1e-08,1e-10,strong_wolfe,0,,,,,
6,burgers1d,burgers_main,nu,0.001,0.001,fp16,1,128,4,1.0,4000,256,256,2000,5e-05,3000,5,,0.2,100,1e-08,1e-10,strong_wolfe,0,,,,,
7,burgers1d,burgers_main,nu,0.002,0.002,fp32,0,128,4,1.0,4000,256,256,2000,5e-05,3000,5,,0.2,100,1e-08,1e-10,strong_wolfe,0,,,,,
8,burgers1d,burgers_main,nu,0.002,0.002,fp32,1,128,4,1.0,4000,256,256,2000,5e-05,3000,5,,0.2,100,1e-08,1e-10,strong_wolfe,0,,,,,
9,burgers1d,burgers_main,nu,0.002,0.002,fp64,0,128,4,1.0,4000,256,256,2000,5e-05,3000,5,,0.2,100,1e-08,1e-10,strong_wolfe,0,,,,,
10,burgers1d,burgers_main,nu,0.002,0.002,fp64,1,128,4,1.0,4000,256,256,2000,5e-05,3000,5,,0.2,100,1e-08,1e-10,strong_wolfe,0,,,,,
11,burgers1d,burgers_main,nu,0.002,0.002,fp16,0,128,4,1.0,4000,256,256,2000,5e-05,3000,5,,0.2,100,1e-08,1e-10,strong_wolfe,0,,,,,
12,burgers1d,burgers_main,nu,0.002,0.002,fp16,1,128,4,1.0,4000,256,256,2000,5e-05,3000,5,,0.2,100,1e-08,1e-10,strong_wolfe,0,,,,,
13,helmholtz1d,helmholtz_main,m,8.0,,fp32,0,128,4,1.0,4000,0,256,2000,0.0001,3000,5,,0.3,100,1e-08,1e-10,strong_wolfe,500,8.0,1.0,,,
14,helmholtz1d,helmholtz_main,m,8.0,,fp32,1,128,4,1.0,4000,0,256,2000,0.0001,3000,5,,0.3,100,1e-08,1e-10,strong_wolfe,500,8.0,1.0,,,
15,helmholtz1d,helmholtz_main,m,8.0,,fp64,0,128,4,1.0,4000,0,256,2000,0.0001,3000,5,,0.3,100,1e-08,1e-10,strong_wolfe,500,8.0,1.0,,,
16,helmholtz1d,helmholtz_main,m,8.0,,fp64,1,128,4,1.0,4000,0,256,2000,0.0001,3000,5,,0.3,100,1e-08,1e-10,strong_wolfe,500,8.0,1.0,,,
17,helmholtz1d,helmholtz_main,m,8.0,,fp16,0,128,4,1.0,4000,0,256,2000,0.0001,3000,5,,0.3,100,1e-08,1e-10,strong_wolfe,500,8.0,1.0,,,
18,helmholtz1d,helmholtz_main,m,8.0,,fp16,1,128,4,1.0,4000,0,256,2000,0.0001,3000,5,,0.3,100,1e-08,1e-10,strong_wolfe,500,8.0,1.0,,,
19,helmholtz1d,helmholtz_main,m,12.0,,fp32,0,128,4,1.0,4000,0,256,2000,0.0001,3000,5,,0.3,100,1e-08,1e-10,strong_wolfe,500,12.0,1.0,,,
20,helmholtz1d,helmholtz_main,m,12.0,,fp32,1,128,4,1.0,4000,0,256,2000,0.0001,3000,5,,0.3,100,1e-08,1e-10,strong_wolfe,500,12.0,1.0,,,
21,helmholtz1d,helmholtz_main,m,12.0,,fp64,0,128,4,1.0,4000,0,256,2000,0.0001,3000,5,,0.3,100,1e-08,1e-10,strong_wolfe,500,12.0,1.0,,,
22,helmholtz1d,helmholtz_main,m,12.0,,fp64,1,128,4,1.0,4000,0,256,2000,0.0001,3000,5,,0.3,100,1e-08,1e-10,strong_wolfe,500,12.0,1.0,,,
23,helmholtz1d,helmholtz_main,m,12.0,,fp16,0,128,4,1.0,4000,0,256,2000,0.0001,3000,5,,0.3,100,1e-08,1e-10,strong_wolfe,500,12.0,1.0,,,
24,helmholtz1d,helmholtz_main,m,12.0,,fp16,1,128,4,1.0,4000,0,256,2000,0.0001,3000,5,,0.3,100,1e-08,1e-10,strong_wolfe,500,12.0,1.0,,,
