step,opt,total_loss,pde_loss,ic_loss,bc_loss,l2_error,time_sec
1,adam,0.5109876394271851,0.49906694889068604,0.0,0.011920684017241001,1.0130982398986816,0.018399477005004883
100,adam,0.4990772604942322,0.4990769624710083,0.0,3.0782942417317827e-07,1.000041127204895,1.1161377429962158
200,adam,0.4990769028663635,0.4990769028663635,0.0,5.6366680212249776e-09,1.000011682510376,2.212486505508423
300,adam,0.49907681345939636,0.49907681345939636,0.0,5.388003820883114e-09,1.0000112056732178,3.3079309463500977
400,adam,0.4990766942501068,0.4990766942501068,0.0,5.3942246225346935e-09,1.0000109672546387,4.396880865097046
500,adam,0.49907657504081726,0.49907657504081726,0.0,5.400103475494689e-09,1.00001060962677,5.486898422241211
600,adam,0.504583477973938,0.504583477973938,0.0,5.121799429019802e-09,1.0000101327896118,6.576034069061279
700,adam,0.5045833587646484,0.5045833587646484,0.0,5.122454460604331e-09,1.0000097751617432,7.66507887840271
800,adam,0.5045831799507141,0.5045831799507141,0.0,5.1275828027996795e-09,1.0000094175338745,8.751357316970825
900,adam,0.5045830011367798,0.5045830011367798,0.0,5.13300157933827e-09,1.0000091791152954,9.843889713287354
1000,adam,0.5045828223228455,0.5045828223228455,0.0,5.1408486356763206e-09,1.0000088214874268,10.935139417648315
1100,adam,0.5050914287567139,0.5050914287567139,0.0,6.126982476928333e-09,1.0000090599060059,12.022188186645508
1200,adam,0.5050911903381348,0.5050911903381348,0.0,6.133665575447367e-09,1.0000088214874268,13.11035442352295
1300,adam,0.5050910115242004,0.5050910115242004,0.0,6.14799144926792e-09,1.000008463859558,14.19586730003357
1400,adam,0.5050907731056213,0.5050907731056213,0.0,6.134411645319915e-09,1.0000081062316895,15.286279201507568
1500,adam,0.5050904750823975,0.5050904750823975,0.0,6.141655184421779e-09,1.0000078678131104,16.376322746276855
1600,adam,0.49620315432548523,0.49620315432548523,0.0,4.677062737101778e-09,1.0000065565109253,17.465619564056396
1700,adam,0.496202290058136,0.496202290058136,0.0,4.6575996393016794e-09,1.0000061988830566,18.54352331161499
1800,adam,0.4962012469768524,0.4962012469768524,0.0,4.663470942745107e-09,1.0000061988830566,19.618796586990356
1900,adam,0.4962000250816345,0.4962000250816345,0.0,4.6440669088099185e-09,1.0000066757202148,20.692227602005005
2000,adam,0.4961986243724823,0.4961986243724823,0.0,4.587240365339085e-09,1.0000078678131104,21.76734685897827
2001,lbfgs,0.4961986243724823,0.4961986243724823,0.0,1.9581471999430278e-09,1.0000051259994507,21.795454740524292
2100,lbfgs,0.12877076864242554,0.12876561284065247,0.0,5.158276053407462e-06,2.0772600173950195,38.22956585884094
2200,lbfgs,8.21812773210695e-06,8.21766116132494e-06,0.0,4.663718300434994e-10,0.04975375160574913,56.417176723480225
2300,lbfgs,2.6935447294818005e-06,2.6935442747344496e-06,0.0,3.552713678800501e-13,0.0038419985212385654,71.26461863517761
2400,lbfgs,2.6935447294818005e-06,2.6935442747344496e-06,0.0,3.552713678800501e-13,0.0038419985212385654,74.50255727767944
2500,lbfgs,2.6935447294818005e-06,2.6935442747344496e-06,0.0,3.552713678800501e-13,0.0038419985212385654,77.74988222122192
2600,lbfgs,2.6935447294818005e-06,2.6935442747344496e-06,0.0,3.552713678800501e-13,0.0038419985212385654,81.03107500076294
2700,lbfgs,2.6935447294818005e-06,2.6935442747344496e-06,0.0,3.552713678800501e-13,0.0038419985212385654,84.2699818611145
2800,lbfgs,2.6935447294818005e-06,2.6935442747344496e-06,0.0,3.552713678800501e-13,0.0038419985212385654,87.47656154632568
2900,lbfgs,2.6935447294818005e-06,2.6935442747344496e-06,0.0,3.552713678800501e-13,0.0038419985212385654,90.74852395057678
3000,lbfgs,2.6935447294818005e-06,2.6935442747344496e-06,0.0,3.552713678800501e-13,0.0038419985212385654,94.0465977191925
3100,lbfgs,2.6935447294818005e-06,2.6935442747344496e-06,0.0,3.552713678800501e-13,0.0038419985212385654,97.30083799362183
3200,lbfgs,2.6935447294818005e-06,2.6935442747344496e-06,0.0,3.552713678800501e-13,0.0038419985212385654,100.55203247070312
3300,lbfgs,2.6935447294818005e-06,2.6935442747344496e-06,0.0,3.552713678800501e-13,0.0038419985212385654,103.77888178825378
3400,lbfgs,2.6935447294818005e-06,2.6935442747344496e-06,0.0,3.552713678800501e-13,0.0038419985212385654,107.06221866607666
3500,lbfgs,2.6935447294818005e-06,2.6935442747344496e-06,0.0,3.552713678800501e-13,0.0038419985212385654,110.36531257629395
3600,lbfgs,2.6935447294818005e-06,2.6935442747344496e-06,0.0,3.552713678800501e-13,0.0038419985212385654,113.60487723350525
3700,lbfgs,2.6935447294818005e-06,2.6935442747344496e-06,0.0,3.552713678800501e-13,0.0038419985212385654,116.87196731567383
3800,lbfgs,2.6935447294818005e-06,2.6935442747344496e-06,0.0,3.552713678800501e-13,0.0038419985212385654,120.18609976768494
3900,lbfgs,2.6935447294818005e-06,2.6935442747344496e-06,0.0,3.552713678800501e-13,0.0038419985212385654,123.51767420768738
4000,lbfgs,2.6935447294818005e-06,2.6935442747344496e-06,0.0,3.552713678800501e-13,0.0038419985212385654,126.82017230987549
4100,lbfgs,2.6935447294818005e-06,2.6935442747344496e-06,0.0,3.552713678800501e-13,0.0038419985212385654,130.09851241111755
4200,lbfgs,2.6935447294818005e-06,2.6935442747344496e-06,0.0,3.552713678800501e-13,0.0038419985212385654,133.3890302181244
4300,lbfgs,2.6935447294818005e-06,2.6935442747344496e-06,0.0,3.552713678800501e-13,0.0038419985212385654,136.7053520679474
