step,opt,total_loss,pde_loss,ic_loss,bc_loss,l2_error,time_sec
1,adam,0.4556104710915478,0.003141571727427741,0.4473909660022363,0.0050779333618837285,0.9239265104007597,0.02729487419128418
100,adam,0.06224311350491564,0.027745411822389328,0.017508828457219905,0.016988873225306404,0.14717756643235913,1.8864643573760986
200,adam,0.008003176035337473,0.004446903139899987,0.0015037720235864596,0.0020525008718510268,0.04719043040900068,3.7774953842163086
300,adam,0.0028077417420677786,0.0017380425620469773,0.0004048836357056093,0.0006648155443151921,0.03372916140196983,5.674947738647461
400,adam,0.0008298174001041195,0.0006647236284872705,3.474255396670498e-05,0.00013035121765014404,0.00802465941421688,7.57440972328186
500,adam,0.00048377901797937547,0.00039805576952627595,1.4212159461808923e-05,7.151108899129059e-05,0.0059364410495603035,9.484915733337402
600,adam,0.00028501746000216357,0.00023283456605199435,6.979669261975321e-06,4.5203224688193866e-05,0.004341249494422409,11.386532306671143
700,adam,0.00022891443425357284,0.0001799235811912764,5.93777395751754e-06,4.3053079104778896e-05,0.005946510178260495,13.288023233413696
800,adam,0.00016174203559275572,0.00012644322557781674,5.3417320241715125e-06,2.9957077990767447e-05,0.003647990874428975,15.19522500038147
900,adam,0.0001315926558658935,0.00010087763512155972,4.901137195079528e-06,2.5813883549254266e-05,0.0034630141610657215,17.102113008499146
1000,adam,0.00015145080266017495,0.00012072441339560355,6.797895296735729e-06,2.3928493967835682e-05,0.00338916586485257,19.0140380859375
1100,adam,0.0001198833390670315,9.5461558716702e-05,4.031709299027048e-06,2.0390071051302435e-05,0.0030943464968896392,20.92094612121582
1200,adam,0.00010571062195428324,8.418914457699755e-05,3.2160705710469274e-06,1.8305406806238765e-05,0.002978984836368468,22.82610058784485
1300,adam,9.529210295040944e-05,7.623031169207895e-05,2.709352318929978e-06,1.635243893940051e-05,0.0028309077877261488,24.729833364486694
1400,adam,8.655966459559619e-05,6.970611305439771e-05,2.3044018373608865e-06,1.4549149703837603e-05,0.0026751477716780545,26.635027408599854
1500,adam,0.0001207228420106985,0.0001030054152673183,4.129142779712751e-06,1.3588283963667443e-05,0.0027870439040500344,28.550842761993408
1600,adam,9.11218488180264e-05,7.735096085055736e-05,1.6690317648528439e-06,1.2101856202616202e-05,0.002406005602032302,30.4592182636261
1700,adam,8.081493335018755e-05,6.811689912638386e-05,1.3316769717707471e-06,1.1366357252032947e-05,0.0023492941072258875,32.364957332611084
1800,adam,7.3259119108508e-05,6.15311013453107e-05,1.1675921214095124e-06,1.056042564178777e-05,0.0022663084976775267,34.2710280418396
1900,adam,6.675696637580893e-05,5.595061335375373e-05,1.0549124673071702e-06,9.751440554748036e-06,0.0021741044778677316,36.175119161605835
2000,adam,6.092718853368151e-05,5.0970706207608974e-05,9.703318035399745e-07,8.986150522532567e-06,0.0020821451006988027,38.08323550224304
2100,adam,0.001392134328081626,6.872191358136686e-05,0.0004885250541343796,0.0008348873603658796,0.04857545168503513,39.99938416481018
2200,adam,8.294111091219737e-05,7.439477194285491e-05,1.2421796703055744e-06,7.304159299036894e-06,0.0018870423637382175,41.90608191490173
2300,adam,6.343881899314529e-05,5.503706456361295e-05,8.324772808033777e-07,7.569277148728958e-06,0.0019116258168503622,43.806458711624146
2400,adam,5.490873512772629e-05,4.6717837230523306e-05,7.423021458386242e-07,7.44859575136436e-06,0.0018828621627676287,45.709025382995605
2500,adam,4.8459052610144944e-05,4.061842156403955e-05,7.000354953231242e-07,7.140595550782272e-06,0.001828637363243593,47.61346936225891
2600,adam,4.3050751184394665e-05,3.5595721041304884e-05,6.805537910579759e-07,6.774476352031811e-06,0.0017679762847223298,49.52540898323059
2700,adam,3.836066966609747e-05,3.1293561105033096e-05,6.723168078886885e-07,6.394791753175686e-06,0.0017066377808091792,51.42790722846985
2800,adam,3.4206355610459066e-05,2.7522547361000727e-05,6.691557958347237e-07,6.014652453623617e-06,0.0016455891856728244,53.32980489730835
2900,adam,0.00022929797606124634,7.926442448094229e-05,3.7924838224910995e-05,0.00011210871335539304,0.010948758618988672,55.234057664871216
3000,adam,0.001021874282029276,4.0376682508360044e-05,0.00033407600342691445,0.0006474215960940017,0.042446661533759575,57.136330366134644
3100,adam,2.8208888564668877e-05,2.2198462681517045e-05,8.692020514749026e-07,5.1412238316769315e-06,0.0015071015578219194,59.05131721496582
3200,adam,2.4621554199398846e-05,1.888517744008984e-05,7.577711234578925e-07,4.978605635851113e-06,0.0014896650601119248,60.956867933273315
3300,adam,4.17347306155946e-05,2.6585451058306733e-05,5.0788499259788695e-06,1.0070429631308996e-05,0.004242485052721581,62.858219146728516
3400,adam,2.381494323400279e-05,1.8236730221260635e-05,9.374557086512516e-07,4.640757304090903e-06,0.0014425526625749404,64.76110768318176
3500,adam,2.026911979421251e-05,1.4982834869632984e-05,8.774574284473042e-07,4.40882749613222e-06,0.0014006554457572104,66.66277313232422
3600,adam,1.7593842050995235e-05,1.2598235862382993e-05,8.608865706703839e-07,4.134719617941857e-06,0.0013459355706464842,68.57174634933472
3700,adam,0.013413370718397146,0.00018961278593222184,0.0040494487815575944,0.00917430915090733,0.14973214906750953,70.47387194633484
3800,adam,2.3624208779217394e-05,1.8225829033505415e-05,1.4008216967793075e-06,3.997558048932673e-06,0.0014595608845744392,72.37316870689392
3900,adam,1.8248839912510858e-05,1.329934045283492e-05,1.2271801155519504e-06,3.7223193441239864e-06,0.0013225015083302785,74.27577662467957
4000,adam,1.5395749131126666e-05,1.0698626808279578e-05,1.1544064505254918e-06,3.5427158723215976e-06,0.0012683851750689475,76.17832088470459
4100,adam,1.3494946419784878e-05,9.012549168392479e-06,1.1105917584079156e-06,3.371805492984483e-06,0.0012237164110586113,78.08146119117737
4200,adam,1.206710102406374e-05,7.790664315178564e-06,1.0772440417602062e-06,3.19919266712497e-06,0.0011828202326610896,79.99325299263
4300,adam,0.0009685941033377076,0.0001766153639091361,0.0003157777291344148,0.0004762010102941567,0.02457837865862172,81.89688324928284
4400,adam,1.3837921860928702e-05,9.23100738153762e-06,1.379459407966693e-06,3.2274550714243883e-06,0.0012633927424642289,83.80052089691162
4500,adam,1.189105684267452e-05,7.553901898070825e-06,1.270112986790029e-06,3.067041957813665e-06,0.0011848874617643001,85.70650124549866
4600,adam,1.0636575851408661e-05,6.493892397196935e-06,1.2112198573659092e-06,2.931463596845816e-06,0.0011447355295824964,87.61035919189453
4700,adam,0.002460866830203097,2.6614969671562185e-05,0.0005705691229001174,0.0018636827376314173,0.0594948519861339,89.5277111530304
4800,adam,1.5734421655291455e-05,1.098074713523051e-05,1.775228805440491e-06,2.9784457146204556e-06,0.0013066893245961002,91.43247175216675
4900,adam,1.2539529517529613e-05,8.160742139329177e-06,1.5497390941599856e-06,2.8290482840404494e-06,0.0011694419454156134,93.33596968650818
5000,adam,1.081850374610738e-05,6.634364148741472e-06,1.414009405802812e-06,2.770130191563097e-06,0.001131233213192509,95.24419617652893
5100,adam,9.629331368089156e-06,5.6365303776545165e-06,1.3031759753146595e-06,2.6896250151199795e-06,0.0010978952210279492,97.14787292480469
5200,adam,8.712814438642914e-06,4.916287471734064e-06,1.2096634304597159e-06,2.5868635364491354e-06,0.001065620164237451,99.05700588226318
5300,adam,0.00020720581883263925,8.455126164821484e-05,2.7052318239064456e-05,9.560223894535996e-05,0.01781305427139422,100.96011447906494
5400,adam,1.5336171306198336e-05,1.0665615437252249e-05,1.945224746219617e-06,2.725331122726471e-06,0.0012207028900513772,102.86540389060974
5500,adam,1.1836642812552416e-05,7.469535095402122e-06,1.6507263921908632e-06,2.7163813249594295e-06,0.0011530763544104412,104.76559257507324
5600,adam,1.0021223083606454e-05,5.887267086658676e-06,1.4581508441397243e-06,2.675805152808053e-06,0.0011123966682420224,106.66953802108765
5700,adam,8.824707366740786e-06,4.912478995323601e-06,1.3150250859104551e-06,2.597203285506732e-06,0.0010777844735642827,108.57867527008057
5800,adam,7.93247146772084e-06,4.241114117791231e-06,1.2009582330038744e-06,2.490399116925734e-06,0.0010446047733562694,110.48172187805176
5900,adam,7.224458884070471e-06,3.7529205301407238e-06,1.1049764569566627e-06,2.3665618969730848e-06,0.0010117076127679327,112.38495349884033
6000,adam,1.8379727376636897e-05,1.014078814771467e-05,2.6849581251250925e-06,5.553981103797133e-06,0.002131118098539161,114.28797554969788
6100,adam,1.0399934557440995e-05,6.261617579175007e-06,1.6523398269725074e-06,2.485977151293481e-06,0.001106567576954365,116.19499135017395
6200,adam,8.627180010207695e-06,4.759912631340391e-06,1.4112155673475998e-06,2.4560518115197037e-06,0.0010663363210431437,118.09886121749878
6300,adam,7.578503876077548e-06,3.958689175006719e-06,1.2415472195295374e-06,2.3782674815412916e-06,0.001031408389224316,120.01334595680237
6400,adam,6.844643852736708e-06,3.461755248560551e-06,1.1141760627942292e-06,2.268712541381927e-06,0.0009977544605806073,121.91962242126465
6500,adam,6.280053594557798e-06,3.1257280483071508e-06,1.012132460201368e-06,2.142193086049279e-06,0.0009642738143041395,123.82322955131531
6600,adam,0.0006588591816112682,4.3787848408669706e-05,0.00018231687086836917,0.0004327544623342293,0.03427366432140065,125.73035740852356
6700,adam,1.2006764215526439e-05,7.678457513301687e-06,2.0710421167972406e-06,2.257264585427512e-06,0.001199972377688344,127.64058327674866
6800,adam,8.74584336221711e-06,5.007243056676098e-06,1.5380626362315777e-06,2.200537669309435e-06,0.0010523044595757457,129.55448627471924
6900,adam,7.3730887146952685e-06,3.933672539165283e-06,1.2745763730180075e-06,2.1648398025119782e-06,0.0010074839010808978,131.4582381248474
7000,adam,6.524659110082887e-06,3.3457470291683675e-06,1.105925013463789e-06,2.0729870674507313e-06,0.0009699081051475102,133.36283493041992
7100,adam,5.912488328648747e-06,2.9765818188229966e-06,9.844860824542896e-07,1.9514204273714614e-06,0.0009336187997776254,135.26416397094727
7200,adam,5.435013162218402e-06,2.726243245286262e-06,8.891422200797701e-07,1.8196276968523705e-06,0.0008980095776259397,137.1682574748993
7300,adam,1.2615882634088745e-05,6.857717829710096e-06,2.451543288839212e-06,3.306621515539439e-06,0.002257735124806083,139.07692193984985
7400,adam,7.345809692031949e-06,4.284163289070416e-06,1.2256290931198231e-06,1.8360173098417103e-06,0.0009497306025750926,140.98413014411926
7500,adam,6.287799752553041e-06,3.4698751957186443e-06,1.0096629603429854e-06,1.8082615964914105e-06,0.000913986952507829,142.88873553276062
7600,adam,5.653767183991505e-06,3.0529385723437037e-06,8.786283090708487e-07,1.7222003025769523e-06,0.0008810225035964126,144.79041838645935
7700,adam,5.1848087838561785e-06,2.7880181086521945e-06,7.860662645919705e-07,1.610724410612013e-06,0.000847566120161439,146.69442749023438
7800,adam,4.804349228138522e-06,2.5979245720591046e-06,7.124910893893161e-07,1.4939335666901017e-06,0.0008143730571117362,148.60641360282898
7900,adam,0.002746170219768888,5.2882097676457755e-05,0.0009768232905588722,0.0017164648315335577,0.07050179590482118,150.5103530883789
8000,adam,1.0122630329501269e-05,6.5631960493865245e-06,1.8341783931090477e-06,1.7252558870056963e-06,0.0011946292442060768,152.4159996509552
8001,lbfgs,0.0013210663588032016,0.00014755319544165928,0.00033306009461450724,0.0008404530687470352,0.04941703909281769,152.44413661956787
8100,lbfgs,3.469162646166355e-06,2.2296338428360617e-06,4.0942612729097833e-07,8.301026760393154e-07,0.0006312316467030276,154.8943362236023
8200,lbfgs,1.985004664197959e-06,1.7692712417722566e-06,5.0641004822566134e-08,1.65092417603136e-07,0.0002769395990441863,157.54279828071594
8300,lbfgs,1.985004664197959e-06,1.7692712417722566e-06,5.0641004822566134e-08,1.65092417603136e-07,0.0002769395990441863,160.1849329471588
8400,lbfgs,1.985004664197959e-06,1.7692712417722566e-06,5.0641004822566134e-08,1.65092417603136e-07,0.0002769395990441863,162.79108214378357
8500,lbfgs,1.985004664197959e-06,1.7692712417722566e-06,5.0641004822566134e-08,1.65092417603136e-07,0.0002769395990441863,165.3905792236328
