,,final_l2_error,final_l2_error,best_l2_error,best_l2_error,l2_ratio,l2_ratio,final_loss,final_loss,time_sec,time_sec
,,mean,std,mean,std,mean,std,mean,std,mean,std
m,dtype,,,,,,,,,,
5,fp32,0.0002687038868316449,0.00017868056615541535,8.231881838582922e-05,6.119993796147408e-05,3.395775215375963,0.35399762688674974,0.00014196542906574905,6.293481430164641e-05,44.375218868255615,4.562016018143317
5,fp64,0.0001709187519867687,3.4758581684777113e-06,5.9387394675344035e-05,2.7277222752421814e-05,3.2023861895652574,1.4123593688880276,0.00037471868245421755,0.00013991966626775425,119.0778568983078,1.5923590187219718
10,fp32,0.05334672098979354,0.06118543674966975,0.05334672098979354,0.06118543674966975,1.0,0.0,0.634888619184494,0.05789438625426192,41.400386571884155,0.3179025515496668
10,fp64,0.024446890398343156,0.02558900879011978,0.024446890398343156,0.02558900879011978,1.0,0.0,0.134919361082651,0.08858679869786318,119.95620381832123,0.5544439837969336
20,fp32,278184.8125,,1.0252462029457092,0.006537060497736686,270116.8010719556,,115967868928.0,,41.133172035217285,0.2948111361875182
20,fp64,8.350213491660805,10.372214768054778,1.0086148201354792,0.010373642716635873,8.332216755389757,10.369320377731444,7770975.74225115,86026.77432882457,118.99371492862701,0.1548085777410006
30,fp32,20.42685317993164,1.821377744272226,1.0591694116592407,0.08365272774963439,19.27794595677229,0.1970647729065466,39157360.0,3478.9653634378137,34.72765052318573,8.83950287667444
30,fp64,11599.479406398828,16374.787068546599,1.0636761404421842,0.044355273858028954,11235.830224869478,15863.057140849854,441999351.68665177,569086454.6285576,113.34355902671814,8.506134623357397
40,fp32,33.459136962890625,45.90415171584576,1.0015859603881836,0.002242886690355737,33.354923747649494,45.75677197347324,124328244.0,932198.6686280988,37.04470455646515,5.311975523259619
40,fp64,22.089861803324816,29.825568590836255,1.0016868388050884,0.002385550315693175,22.017269473071376,29.722907532867573,125090460.00705953,856784.5775392267,114.7271591424942,5.9507649604083115
