task_name,dtype,seed,alpha,hid_size,num_layers,n_collocation,n_ic,n_bc,adam_steps,lbfgs_steps,final_loss,final_l2_error,time_sec,log_dir,m,lambda_val,best_l2_error,best_step,l2_ratio
helmholtz1d,fp32,0,"{'m': 5, 'lambda_val': 1.0}",128,4,5000,0,2,2000,1000,0.00018646706303115934,0.0003950501268263906,47.601051330566406,/kaggle/working/runs/helmholtz_m5_fp32_0,5,1.0,0.00012559370952658355,2900,3.1454610928803968
helmholtz1d,fp32,1,"{'m': 5, 'lambda_val': 1.0}",128,4,5000,0,2,2000,1000,9.746379510033876e-05,0.00014235764683689922,41.149386405944824,/kaggle/working/runs/helmholtz_m5_fp32_1,5,1.0,3.904392724507488e-05,2800,3.646089337871529
helmholtz1d,fp64,0,"{'m': 5, 'lambda_val': 1.0}",128,4,5000,0,2,2000,1000,0.0004736568272935052,0.00017337655486814195,117.95188903808594,/kaggle/working/runs/helmholtz_m5_fp64_0,5,1.0,7.867530385551748e-05,2900,2.20369730235218
helmholtz1d,fp64,1,"{'m': 5, 'lambda_val': 1.0}",128,4,5000,0,2,2000,1000,0.0002757805376149299,0.00016846094910539545,120.20382475852966,/kaggle/working/runs/helmholtz_m5_fp64_1,5,1.0,4.0099485495170586e-05,2900,4.201075076778334
helmholtz1d,fp32,0,"{'m': 10, 'lambda_val': 1.0}",128,4,5000,0,2,2000,1000,0.5939511060714722,0.010082083754241467,41.62517762184143,/kaggle/working/runs/helmholtz_m10_fp32_0,10,1.0,0.010082083754241467,3000,1.0
helmholtz1d,fp32,1,"{'m': 10, 'lambda_val': 1.0}",128,4,5000,0,2,2000,1000,0.6758261322975159,0.09661135822534561,41.17559552192688,/kaggle/working/runs/helmholtz_m10_fp32_1,10,1.0,0.09661135822534561,3000,1.0
helmholtz1d,fp64,0,"{'m': 10, 'lambda_val': 1.0}",128,4,5000,0,2,2000,1000,0.19755968716551767,0.04254105203767902,119.56415271759033,/kaggle/working/runs/helmholtz_m10_fp64_0,10,1.0,0.04254105203767902,3000,1.0
helmholtz1d,fp64,1,"{'m': 10, 'lambda_val': 1.0}",128,4,5000,0,2,2000,1000,0.07227903499978433,0.0063527287590072895,120.34825491905212,/kaggle/working/runs/helmholtz_m10_fp64_1,10,1.0,0.0063527287590072895,3000,1.0
helmholtz1d,fp32,0,"{'m': 20, 'lambda_val': 1.0}",128,4,5000,0,2,2000,1000,115967868928.0,278184.8125,41.34163498878479,/kaggle/working/runs/helmholtz_m20_fp32_0,20,1.0,1.0298686027526855,1,270116.8010719556
helmholtz1d,fp32,1,"{'m': 20, 'lambda_val': 1.0}",128,4,5000,0,2,2000,1000,,,40.92470908164978,/kaggle/working/runs/helmholtz_m20_fp32_1,20,1.0,1.020623803138733,1,
helmholtz1d,fp64,0,"{'m': 20, 'lambda_val': 1.0}",128,4,5000,0,2,2000,1000,7710145.626759634,15.684476890075592,118.88424873352051,/kaggle/working/runs/helmholtz_m20_fp64_0,20,1.0,1.0012795470249394,1,15.664433510779514
helmholtz1d,fp64,1,"{'m': 20, 'lambda_val': 1.0}",128,4,5000,0,2,2000,1000,7831805.857742667,1.0159500932460188,119.10318112373352,/kaggle/working/runs/helmholtz_m20_fp64_1,20,1.0,1.0159500932460188,2400,1.0
helmholtz1d,fp32,0,"{'m': 30, 'lambda_val': 1.0}",128,4,5000,0,2,2000,1000,39154900.0,21.71476173400879,28.47717809677124,/kaggle/working/runs/helmholtz_m30_fp32_0,30,1.0,1.1183208227157593,1,19.417291794027495
helmholtz1d,fp32,1,"{'m': 30, 'lambda_val': 1.0}",128,4,5000,0,2,2000,1000,39159820.0,19.138944625854492,40.97812294960022,/kaggle/working/runs/helmholtz_m30_fp32_1,30,1.0,1.0000180006027222,1800,19.138600119517083
helmholtz1d,fp64,0,"{'m': 30, 'lambda_val': 1.0}",128,4,5000,0,2,2000,1000,844404242.8359153,23178.202383053915,119.35830450057983,/kaggle/working/runs/helmholtz_m30_fp64_0,30,1.0,1.0323122255157855,1,22452.705499514097
helmholtz1d,fp64,1,"{'m': 30, 'lambda_val': 1.0}",128,4,5000,0,2,2000,1000,39594460.53738821,20.75642974374041,107.32881355285645,/kaggle/working/runs/helmholtz_m30_fp64_1,30,1.0,1.0950400553685828,1,18.954950224860898
helmholtz1d,fp32,0,"{'m': 40, 'lambda_val': 1.0}",128,4,5000,0,2,2000,1000,123669080.0,65.91827392578125,33.28857064247131,/kaggle/working/runs/helmholtz_m40_fp32_0,40,1.0,1.0031719207763672,1,65.70984749529899
helmholtz1d,fp32,1,"{'m': 40, 'lambda_val': 1.0}",128,4,5000,0,2,2000,1000,124987408.0,1.0,40.800838470458984,/kaggle/working/runs/helmholtz_m40_fp32_1,40,1.0,1.0,2400,1.0
helmholtz1d,fp64,0,"{'m': 40, 'lambda_val': 1.0}",128,4,5000,0,2,2000,1000,125696298.19185357,1.0,118.93498539924622,/kaggle/working/runs/helmholtz_m40_fp64_0,40,1.0,1.0,2500,1.0
helmholtz1d,fp64,1,"{'m': 40, 'lambda_val': 1.0}",128,4,5000,0,2,2000,1000,124484621.82226549,43.17972360664963,110.51933288574219,/kaggle/working/runs/helmholtz_m40_fp64_1,40,1.0,1.0033736776101767,1,43.03453894614275
