step,opt,total_loss,pde_loss,ic_loss,bc_loss,l2_error,time_sec
1,adam,123675528.0,123675528.0,0.0,0.004857239313423634,1.0031719207763672,0.016790151596069336
100,adam,122236000.0,122235920.0,0.0,77.46060943603516,11.079363822937012,0.9452483654022217
200,adam,123677064.0,123677016.0,0.0,49.81593704223633,7.130277633666992,1.8515279293060303
300,adam,123676992.0,123676944.0,0.0,44.78326416015625,6.767988204956055,2.72190523147583
400,adam,123676888.0,123676848.0,0.0,39.62879943847656,6.375627040863037,3.6369283199310303
500,adam,123676792.0,123676760.0,0.0,34.4030876159668,5.95149564743042,4.5013039112091064
600,adam,123676712.0,123676680.0,0.0,29.192358016967773,5.496086120605469,5.424143075942993
700,adam,123676600.0,123676576.0,0.0,24.091190338134766,5.010313510894775,6.30648398399353
800,adam,123676488.0,123676472.0,0.0,19.198423385620117,4.495333671569824,7.188719987869263
900,adam,123676368.0,123676352.0,0.0,14.616767883300781,3.952730417251587,8.079793214797974
1000,adam,123676240.0,123676232.0,0.0,10.453322410583496,3.385047435760498,8.983293771743774
1100,adam,123676112.0,123676104.0,0.0,6.820156097412109,2.7970638275146484,9.904542684555054
1200,adam,123675968.0,123675968.0,0.0,3.8349053859710693,2.199277639389038,10.791976690292358
1300,adam,123675840.0,123675840.0,0.0,1.621297836303711,1.6192920207977295,11.700319766998291
1400,adam,123675696.0,123675696.0,0.0,0.3096107840538025,1.1444495916366577,12.577757120132446
1500,adam,123675552.0,123675552.0,0.0,0.037058424204587936,1.0183700323104858,13.46227741241455
1600,adam,123675392.0,123675392.0,0.0,0.9480685591697693,1.3959028720855713,14.357402086257935
1700,adam,123675240.0,123675240.0,0.0,3.1945013999938965,2.0484392642974854,15.214692115783691
1800,adam,123675088.0,123675080.0,0.0,6.935764789581299,2.8176660537719727,16.126381158828735
1900,adam,123674912.0,123674896.0,0.0,12.338830947875977,3.653082847595215,16.99027371406555
2000,adam,123674728.0,123674712.0,0.0,19.57813262939453,4.537393569946289,17.877718210220337
2001,lbfgs,123674480.0,123674448.0,0.0,34.02362823486328,5.919516086578369,17.894052743911743
2100,lbfgs,123669080.0,123664736.0,0.0,4342.22802734375,65.9196548461914,19.270989418029785
2200,lbfgs,123669080.0,123664736.0,0.0,4342.0458984375,65.91827392578125,20.774101734161377
2300,lbfgs,123669080.0,123664736.0,0.0,4342.0458984375,65.91827392578125,22.34803533554077
2400,lbfgs,123669080.0,123664736.0,0.0,4342.0458984375,65.91827392578125,23.866036891937256
2500,lbfgs,123669080.0,123664736.0,0.0,4342.0458984375,65.91827392578125,25.42647695541382
2600,lbfgs,123669080.0,123664736.0,0.0,4342.0458984375,65.91827392578125,26.985955715179443
2700,lbfgs,123669080.0,123664736.0,0.0,4342.0458984375,65.91827392578125,28.55618643760681
2800,lbfgs,123669080.0,123664736.0,0.0,4342.0458984375,65.91827392578125,30.130420207977295
2900,lbfgs,123669080.0,123664736.0,0.0,4342.0458984375,65.91827392578125,31.705384969711304
3000,lbfgs,123669080.0,123664736.0,0.0,4342.0458984375,65.91827392578125,33.28857064247131
