,,final_l2_error,final_l2_error,best_l2_error,best_l2_error,l2_ratio,l2_ratio,final_loss,final_loss,time_sec,time_sec
,,mean,std,mean,std,mean,std,mean,std,mean,std
m,dtype,,,,,,,,,,
5,fp32,0.00015011247160146013,8.957954567414311e-07,0.00015011247160146013,8.957954567414311e-07,1.0,0.0,7.990988706296775e-07,6.582264901514717e-07,180.57857584953308,0.21448497489715165
5,fp64,0.000667983277511922,0.0008629649155613445,0.00047762191330834504,0.0005937532925528019,1.212109150217478,0.29996763694098943,3.120682656863293e-07,1.0818610301297883e-08,155.57802152633667,1.8879825775613859
6,fp32,0.00045139119174564257,0.0005226826909519831,0.0002678786186152138,0.00026315672116494635,1.4042496500810109,0.5716953377291435,3.4812327953659405e-07,9.427781699278876e-08,178.57869505882263,6.179292422292323
6,fp64,0.0012891407996901622,0.0007501224513463183,0.0005066616095562811,0.0003561268813355229,4.070133503859077,4.341371758206083,5.361380289331444e-07,1.6168584368438486e-07,162.99620962142944,3.938718750982864
7,fp32,0.0013482172507792711,0.000281852110332794,0.0013482172507792711,0.000281852110332794,1.0,0.0,7.855909132103989e-07,2.0264371940448837e-07,180.76559722423553,4.008325619997758
7,fp64,0.0006123307090868591,0.00038461390610173576,0.0005143762736539238,0.000246297020377796,1.1423763378212382,0.2007285779587368,3.097046002541956e-07,5.096058458456389e-08,162.1159429550171,2.2558257728485813
8,fp32,0.002900630235671997,0.0011236185176877354,0.00253584620077163,0.0016395010471810152,1.2649999298062942,0.3747664947599794,9.885797567221744e-07,6.306834609817253e-07,180.95676386356354,0.9917212460201281
8,fp64,0.0013596944451696714,0.0005251574904844764,0.0010388794492335498,9.433390856283152e-05,1.2911809972225865,0.38826000519309245,7.492139279237078e-07,1.7948321046625375e-08,160.20279967784882,0.8581241656102961
9,fp32,0.0028019916207995266,0.002900544015409108,0.0010594721825327724,0.0008308237436970783,2.268885287305078,0.9584963755852737,7.950285976221494e-07,3.9726512549969603e-07,169.53429782390594,0.9571716198344138
9,fp64,0.0009788113212761598,0.0004426519151262879,0.000925614746168962,0.000517883233114686,1.0950930525600988,0.13448188461794955,6.68866729543699e-07,6.910993667825117e-08,160.1876151561737,0.4848772385818221
10,fp32,0.0027125850319862366,0.0010554502707606662,0.0015981538454070687,0.0005205934276311342,1.906013107006354,1.281296023616172,9.043648390161252e-07,6.77590166620294e-07,165.1881147623062,8.544701855730564
10,fp64,0.0030352970511956364,0.0013352309820001361,0.0030036022583295498,0.001380054187927962,1.0156304721788545,0.022104825741631442,1.2405875159981802e-06,1.5483010083990934e-08,159.11348342895508,0.36995458381019714
11,fp32,0.005371860053855926,0.005977955140324532,0.001905616547446698,0.0010759465630729298,2.299958802715039,1.8384193693258988,1.1679929059482674e-06,3.8320807013206465e-07,159.5158863067627,0.5331805615483994
11,fp64,0.001684604435157438,1.3421469094349574e-06,0.000983326586245929,0.0009828746676994527,3.4218288431859816,3.418891329986459,4.582885455285082e-07,1.312312039060697e-07,159.23703587055206,0.09163382357105132
12,fp32,0.0040075735887512565,0.0018502349604632314,0.002159932628273964,0.00026960976792939523,1.9238665913088715,1.0967602205102944,1.112278852133386e-06,2.739882383946758e-07,160.3744934797287,1.2077359829308312
12,fp64,0.0018461482932128188,0.0011552435833027575,0.0008339887615930534,0.0002761661535991143,2.5846939079480875,2.2410956168302065,5.233093265748564e-07,2.1968822002252838e-07,161.2812647819519,0.19385729571155583
