run_id,task_name,m,dtype,seed,adam_steps_config,lbfgs_steps_config,final_loss,final_l2_error,best_l2_error,best_step,l2_ratio,time_sec,log_dir
1,helmholtz1d,8,fp32,0,0,1500,196439.53125,4.687134742736816,1.0168980360031128,1,4.609247512326269,19.79157018661499,/kaggle/working/runs/helmholtz_lbfgs_r01_m8_fp32_adam0
2,helmholtz1d,8,fp64,0,0,1500,13194114309006.55,2967304.82426884,0.9998590890430962,1,2967723.0089578577,59.89629054069519,/kaggle/working/runs/helmholtz_lbfgs_r02_m8_fp64_adam0
3,helmholtz1d,8,fp32,0,500,1500,0.004023849964141846,0.00021435217058751732,0.00021435217058751732,2000,1.0,38.97390341758728,/kaggle/working/runs/helmholtz_lbfgs_r03_m8_fp32_adam500
4,helmholtz1d,8,fp64,0,500,1500,199374.88883403747,7.217639649334995,1.0120481539452901,1,7.131715641393453,90.99645137786865,/kaggle/working/runs/helmholtz_lbfgs_r04_m8_fp64_adam500
5,helmholtz1d,8,fp32,0,2000,1500,0.002050719689577818,0.000699418771546334,9.030805813381448e-05,3100,7.744810219592655,52.16482925415039,/kaggle/working/runs/helmholtz_lbfgs_r05_m8_fp32_adam2000
6,helmholtz1d,8,fp64,0,2000,1500,0.0024267019128819864,0.0007741855997958159,0.00042351026042616445,3300,1.8280208819894432,148.55765843391418,/kaggle/working/runs/helmholtz_lbfgs_r06_m8_fp64_adam2000
7,helmholtz1d,10,fp32,0,0,1500,488605.78125,5.747350692749023,1.0149681568145752,1,5.662592125832583,16.277892112731934,/kaggle/working/runs/helmholtz_lbfgs_r07_m10_fp32_adam0
8,helmholtz1d,10,fp64,0,0,1500,482211.9493440352,3.2562015901510386,0.9995512117851953,1,3.2576635911785576,63.56511402130127,/kaggle/working/runs/helmholtz_lbfgs_r08_m10_fp64_adam0
9,helmholtz1d,10,fp32,0,500,1500,0.14892901480197906,0.051498014479875565,0.01653413660824299,1700,3.1146479371775335,39.03663086891174,/kaggle/working/runs/helmholtz_lbfgs_r09_m10_fp32_adam500
10,helmholtz1d,10,fp64,0,500,1500,482211.94934403506,3.2562015925709984,1.0035130802412142,1,3.2448023415781546,91.37158441543579,/kaggle/working/runs/helmholtz_lbfgs_r10_m10_fp64_adam500
11,helmholtz1d,10,fp32,0,2000,1500,0.012837762013077736,0.002690007211640477,0.002690007211640477,3500,1.0,52.38493037223816,/kaggle/working/runs/helmholtz_lbfgs_r11_m10_fp32_adam2000
12,helmholtz1d,10,fp64,0,2000,1500,493.0699370852334,13.264213168182557,1.0035130802412142,1,13.217778053270857,148.383376121521,/kaggle/working/runs/helmholtz_lbfgs_r12_m10_fp64_adam2000
