step,opt,total_loss,pde_loss,ic_loss,bc_loss,l2_error,time_sec
1,lbfgs,197177.296875,197177.265625,0.0,0.03087146207690239,1.0168980360031128,5.593263149261475
100,lbfgs,197161.890625,197161.78125,0.0,0.11472643911838531,1.0665706396102905,6.573324203491211
200,lbfgs,197142.09375,197141.796875,0.0,0.29559412598609924,1.1611659526824951,7.528002500534058
300,lbfgs,197118.0,197117.390625,0.0,0.6160382032394409,1.3093628883361816,8.492174863815308
400,lbfgs,197090.109375,197089.0,0.0,1.1139646768569946,1.510295033454895,9.420182228088379
500,lbfgs,197059.109375,197057.296875,0.0,1.8115142583847046,1.7539180517196655,10.349880695343018
600,lbfgs,197025.484375,197022.765625,0.0,2.714115619659424,2.0268619060516357,11.293293952941895
700,lbfgs,196989.328125,196985.515625,0.0,3.8149452209472656,2.3168234825134277,12.231153964996338
800,lbfgs,196950.390625,196945.296875,0.0,5.1005754470825195,2.6141984462738037,13.175991773605347
900,lbfgs,196908.046875,196901.484375,0.0,6.558891296386719,2.912764549255371,14.12106204032898
1000,lbfgs,196860.734375,196852.546875,0.0,8.189340591430664,3.2100651264190674,15.051878213882446
1100,lbfgs,196805.828125,196795.8125,0.0,10.010311126708984,3.5068671703338623,15.989252090454102
1200,lbfgs,196739.296875,196727.234375,0.0,12.056230545043945,3.8051631450653076,16.917036294937134
1300,lbfgs,196656.703125,196642.34375,0.0,14.359121322631836,4.105056285858154,17.87884020805359
1400,lbfgs,196555.71875,196538.796875,0.0,16.917125701904297,4.402029991149902,18.83194398880005
1500,lbfgs,196439.53125,196419.859375,0.0,19.67014503479004,4.687134742736816,19.79157018661499
