source_path,run_name,task_name,dtype,seed,variant,beta,nu,m,alpha,hid_size,num_layers,n_collocation,n_ic,n_bc,adam_steps,lr_adam,lbfgs_steps,lbfgs_lr,lbfgs_max_iter,lbfgs_tolerance_grad,lbfgs_tolerance_change,lbfgs_line_search_fn,resample_every,best_l2_error,final_l2_error,best_step,final_step,elapsed_time,error,metrics_path,summary_path,main_parameter_name,main_parameter_value,missing_metrics,metrics_has_l2,is_valid,is_bad,bad_reason,quality_label,case_id
final/final 2/runs/run023_helmholtz1d_helmholtz_resample_long_m12_fp16_s0,run023_helmholtz1d_helmholtz_resample_long_m12_fp16_s0,helmholtz1d,fp16,0.0,helmholtz_resample_long,,,12.0,,128.0,4.0,5000.0,0.0,2.0,10000.0,0.0005,1000.0,1.0,1.0,1e-08,1e-09,strong_wolfe,200.0,,,,,398.68045806884766,,final/final 2/runs/run023_helmholtz1d_helmholtz_resample_long_m12_fp16_s0/metrics.csv,final/final 2/runs/run023_helmholtz1d_helmholtz_resample_long_m12_fp16_s0/summary.json,m,12.0,False,True,False,True,nan_metric,bad,helmholtz_m12
final/final 2/runs/run024_helmholtz1d_helmholtz_resample_long_m12_fp16_s1,run024_helmholtz1d_helmholtz_resample_long_m12_fp16_s1,helmholtz1d,fp16,1.0,helmholtz_resample_long,,,12.0,,128.0,4.0,5000.0,0.0,2.0,10000.0,0.0005,1000.0,1.0,1.0,1e-08,1e-09,strong_wolfe,200.0,,,,,400.42893409729004,,final/final 2/runs/run024_helmholtz1d_helmholtz_resample_long_m12_fp16_s1/metrics.csv,final/final 2/runs/run024_helmholtz1d_helmholtz_resample_long_m12_fp16_s1/summary.json,m,12.0,False,True,False,True,nan_metric,bad,helmholtz_m12
final/final 2/runs/run019_helmholtz1d_helmholtz_resample_long_m12_fp32_s0,run019_helmholtz1d_helmholtz_resample_long_m12_fp32_s0,helmholtz1d,fp32,0.0,helmholtz_resample_long,,,12.0,,128.0,4.0,5000.0,0.0,2.0,10000.0,0.0005,1000.0,1.0,1.0,1e-08,1e-09,strong_wolfe,200.0,0.0186685994267463,0.01866859942674637,11000.0,11000.0,140.96374654769897,,final/final 2/runs/run019_helmholtz1d_helmholtz_resample_long_m12_fp32_s0/metrics.csv,final/final 2/runs/run019_helmholtz1d_helmholtz_resample_long_m12_fp32_s0/summary.json,m,12.0,False,True,True,False,ok,good,helmholtz_m12
final/final 2/runs/run020_helmholtz1d_helmholtz_resample_long_m12_fp32_s1,run020_helmholtz1d_helmholtz_resample_long_m12_fp32_s1,helmholtz1d,fp32,1.0,helmholtz_resample_long,,,12.0,,128.0,4.0,5000.0,0.0,2.0,10000.0,0.0005,1000.0,1.0,1.0,1e-08,1e-09,strong_wolfe,200.0,0.0063924300484359,0.0063924300484359264,11000.0,11000.0,141.39556193351746,,final/final 2/runs/run020_helmholtz1d_helmholtz_resample_long_m12_fp32_s1/metrics.csv,final/final 2/runs/run020_helmholtz1d_helmholtz_resample_long_m12_fp32_s1/summary.json,m,12.0,False,True,True,False,ok,good,helmholtz_m12
final/final 2/runs/run021_helmholtz1d_helmholtz_resample_long_m12_fp64_s0,run021_helmholtz1d_helmholtz_resample_long_m12_fp64_s0,helmholtz1d,fp64,0.0,helmholtz_resample_long,,,12.0,,128.0,4.0,5000.0,0.0,2.0,10000.0,0.0005,1000.0,1.0,1.0,1e-08,1e-09,strong_wolfe,200.0,0.0030846842445477,0.003084684244547737,11000.0,11000.0,141.66202068328857,,final/final 2/runs/run021_helmholtz1d_helmholtz_resample_long_m12_fp64_s0/metrics.csv,final/final 2/runs/run021_helmholtz1d_helmholtz_resample_long_m12_fp64_s0/summary.json,m,12.0,False,True,True,False,ok,good,helmholtz_m12
final/final 2/runs/run022_helmholtz1d_helmholtz_resample_long_m12_fp64_s1,run022_helmholtz1d_helmholtz_resample_long_m12_fp64_s1,helmholtz1d,fp64,1.0,helmholtz_resample_long,,,12.0,,128.0,4.0,5000.0,0.0,2.0,10000.0,0.0005,1000.0,1.0,1.0,1e-08,1e-09,strong_wolfe,200.0,0.0011424918594755,0.0020114377428269293,10900.0,11000.0,140.36146545410156,,final/final 2/runs/run022_helmholtz1d_helmholtz_resample_long_m12_fp64_s1/metrics.csv,final/final 2/runs/run022_helmholtz1d_helmholtz_resample_long_m12_fp64_s1/summary.json,m,12.0,False,True,True,False,ok,good,helmholtz_m12
final/final 2/runs/run033_convection1d_convection_beta50_wide_lbfgs_beta50p0_fp16_s0,run033_convection1d_convection_beta50_wide_lbfgs_beta50p0_fp16_s0,convection1d,fp16,0.0,convection_beta50_wide_lbfgs,50.0,,,,512.0,3.0,10201.0,101.0,101.0,0.0,5e-05,5000.0,0.5,10.0,1e-08,1e-10,strong_wolfe,0.0,1.0205078125,,1.0,5000.0,1431.7947599887848,,final/final 2/runs/run033_convection1d_convection_beta50_wide_lbfgs_beta50p0_fp16_s0/metrics.csv,final/final 2/runs/run033_convection1d_convection_beta50_wide_lbfgs_beta50p0_fp16_s0/summary.json,beta,50.0,False,True,False,True,nan_metric,bad,convection_beta50
final/final 2/runs/run031_convection1d_convection_beta50_wide_lbfgs_beta50p0_fp32_s0,run031_convection1d_convection_beta50_wide_lbfgs_beta50p0_fp32_s0,convection1d,fp32,0.0,convection_beta50_wide_lbfgs,50.0,,,,512.0,3.0,10201.0,101.0,101.0,0.0,5e-05,5000.0,0.5,10.0,1e-08,1e-10,strong_wolfe,0.0,0.6873066425323486,0.6873066425323486,1800.0,5000.0,1088.6382277011871,,final/final 2/runs/run031_convection1d_convection_beta50_wide_lbfgs_beta50p0_fp32_s0/metrics.csv,final/final 2/runs/run031_convection1d_convection_beta50_wide_lbfgs_beta50p0_fp32_s0/summary.json,beta,50.0,False,True,True,True,high_best_l2,bad,convection_beta50
final/final 2/runs/run032_convection1d_convection_beta50_wide_lbfgs_beta50p0_fp64_s0,run032_convection1d_convection_beta50_wide_lbfgs_beta50p0_fp64_s0,convection1d,fp64,0.0,convection_beta50_wide_lbfgs,50.0,,,,512.0,3.0,10201.0,101.0,101.0,0.0,5e-05,5000.0,0.5,10.0,1e-08,1e-10,strong_wolfe,0.0,0.0071818074399789,0.007181807439978906,4500.0,5000.0,2370.150009393692,,final/final 2/runs/run032_convection1d_convection_beta50_wide_lbfgs_beta50p0_fp64_s0/metrics.csv,final/final 2/runs/run032_convection1d_convection_beta50_wide_lbfgs_beta50p0_fp64_s0/summary.json,beta,50.0,False,True,True,False,ok,good,convection_beta50
final/final 2/runs/run011_burgers1d_burgers_more_points_nu0p002_fp16_s0,run011_burgers1d_burgers_more_points_nu0p002_fp16_s0,burgers1d,fp16,0.0,burgers_more_points,,0.002,,,256.0,4.0,10000.0,800.0,800.0,3000.0,5e-05,2000.0,0.5,5.0,1e-08,1e-10,strong_wolfe,200.0,,,,,829.2378642559052,,final/final 2/runs/run011_burgers1d_burgers_more_points_nu0p002_fp16_s0/metrics.csv,final/final 2/runs/run011_burgers1d_burgers_more_points_nu0p002_fp16_s0/summary.json,nu,0.002,False,True,False,True,nan_metric,bad,burgers_nu0002
