source_path,summary_path,metrics_path,task_name,variant,dtype,seed,main_parameter_name,main_parameter_value,best_l2_error,final_l2_error,final_loss,hid_size,num_layers,n_collocation,n_ic,n_bc,adam_steps,lbfgs_steps,lr_adam,lbfgs_lr,resample_every,is_valid,is_bad
experiments_raw/results_exp_3_burgers1d_low_nu/runs/burgers_hard_nu_0p0001_fp32_0,experiments_raw/results_exp_3_burgers1d_low_nu/runs/burgers_hard_nu_0p0001_fp32_0/summary.json,experiments_raw/results_exp_3_burgers1d_low_nu/runs/burgers_hard_nu_0p0001_fp32_0/metrics.csv,burgers1d,burgers_low_nu,fp32,0,nu,0.0001,0.4109874367713928,0.4109874367713928,0.0714034736156463,96.0,5.0,10000.0,800.0,800.0,12000.0,1200.0,,,,True,False
experiments_raw/results_exp_3_burgers1d_low_nu/runs/burgers_hard_nu_0p0001_fp32_1,experiments_raw/results_exp_3_burgers1d_low_nu/runs/burgers_hard_nu_0p0001_fp32_1/summary.json,experiments_raw/results_exp_3_burgers1d_low_nu/runs/burgers_hard_nu_0p0001_fp32_1/metrics.csv,burgers1d,burgers_low_nu,fp32,1,nu,0.0001,0.3910178542137146,0.3912387192249298,0.06528069823980331,96.0,5.0,10000.0,800.0,800.0,12000.0,1200.0,,,,True,False
experiments_raw/results_exp_3_burgers1d_low_nu/runs/burgers_hard_nu_0p0001_fp64_0,experiments_raw/results_exp_3_burgers1d_low_nu/runs/burgers_hard_nu_0p0001_fp64_0/summary.json,experiments_raw/results_exp_3_burgers1d_low_nu/runs/burgers_hard_nu_0p0001_fp64_0/metrics.csv,burgers1d,burgers_low_nu,fp64,0,nu,0.0001,0.4196625076909954,0.4196625076909954,0.07744845505086217,96.0,5.0,10000.0,800.0,800.0,12000.0,1200.0,,,,True,False
experiments_raw/results_exp_3_burgers1d_low_nu/runs/burgers_hard_nu_0p0001_fp64_1,experiments_raw/results_exp_3_burgers1d_low_nu/runs/burgers_hard_nu_0p0001_fp64_1/summary.json,experiments_raw/results_exp_3_burgers1d_low_nu/runs/burgers_hard_nu_0p0001_fp64_1/metrics.csv,burgers1d,burgers_low_nu,fp64,1,nu,0.0001,0.4076916257378808,0.4076916257378808,0.07218597282627497,96.0,5.0,10000.0,800.0,800.0,12000.0,1200.0,,,,True,False
experiments_raw/results_exp_3_burgers1d_low_nu/runs/burgers_hard_nu_0p0002_fp32_0,experiments_raw/results_exp_3_burgers1d_low_nu/runs/burgers_hard_nu_0p0002_fp32_0/summary.json,experiments_raw/results_exp_3_burgers1d_low_nu/runs/burgers_hard_nu_0p0002_fp32_0/metrics.csv,burgers1d,burgers_low_nu,fp32,0,nu,0.0002,0.4087599515914917,0.4087599515914917,0.06848905235528946,96.0,5.0,10000.0,800.0,800.0,12000.0,1200.0,,,,True,False
experiments_raw/results_exp_3_burgers1d_low_nu/runs/burgers_hard_nu_0p0002_fp32_1,experiments_raw/results_exp_3_burgers1d_low_nu/runs/burgers_hard_nu_0p0002_fp32_1/summary.json,experiments_raw/results_exp_3_burgers1d_low_nu/runs/burgers_hard_nu_0p0002_fp32_1/metrics.csv,burgers1d,burgers_low_nu,fp32,1,nu,0.0002,0.3857518434524536,0.3857518434524536,0.06372267007827759,96.0,5.0,10000.0,800.0,800.0,12000.0,1200.0,,,,True,False
experiments_raw/results_exp_3_burgers1d_low_nu/runs/burgers_hard_nu_0p0002_fp64_0,experiments_raw/results_exp_3_burgers1d_low_nu/runs/burgers_hard_nu_0p0002_fp64_0/summary.json,experiments_raw/results_exp_3_burgers1d_low_nu/runs/burgers_hard_nu_0p0002_fp64_0/metrics.csv,burgers1d,burgers_low_nu,fp64,0,nu,0.0002,0.4130772609295357,0.41307726092953573,0.07666794634181039,96.0,5.0,10000.0,800.0,800.0,12000.0,1200.0,,,,True,False
experiments_raw/results_exp_3_burgers1d_low_nu/runs/burgers_hard_nu_0p0002_fp64_1,experiments_raw/results_exp_3_burgers1d_low_nu/runs/burgers_hard_nu_0p0002_fp64_1/summary.json,experiments_raw/results_exp_3_burgers1d_low_nu/runs/burgers_hard_nu_0p0002_fp64_1/metrics.csv,burgers1d,burgers_low_nu,fp64,1,nu,0.0002,0.4044342354120777,0.4051140724926518,0.07105752824849883,96.0,5.0,10000.0,800.0,800.0,12000.0,1200.0,,,,True,False
experiments_raw/results_exp_3_burgers1d_low_nu/runs/burgers_hard_nu_0p0005_fp32_0,experiments_raw/results_exp_3_burgers1d_low_nu/runs/burgers_hard_nu_0p0005_fp32_0/summary.json,experiments_raw/results_exp_3_burgers1d_low_nu/runs/burgers_hard_nu_0p0005_fp32_0/metrics.csv,burgers1d,burgers_low_nu,fp32,0,nu,0.0005,0.4007019400596618,63256514560.0,1.0402432011486416e+21,96.0,5.0,10000.0,800.0,800.0,12000.0,1200.0,,,,True,False
experiments_raw/results_exp_3_burgers1d_low_nu/runs/burgers_hard_nu_0p0005_fp32_1,experiments_raw/results_exp_3_burgers1d_low_nu/runs/burgers_hard_nu_0p0005_fp32_1/summary.json,experiments_raw/results_exp_3_burgers1d_low_nu/runs/burgers_hard_nu_0p0005_fp32_1/metrics.csv,burgers1d,burgers_low_nu,fp32,1,nu,0.0005,0.3703256249427795,0.37032562494277954,0.0600469745695591,96.0,5.0,10000.0,800.0,800.0,12000.0,1200.0,,,,True,False
experiments_raw/results_exp_3_burgers1d_low_nu/runs/burgers_hard_nu_0p0005_fp64_0,experiments_raw/results_exp_3_burgers1d_low_nu/runs/burgers_hard_nu_0p0005_fp64_0/summary.json,experiments_raw/results_exp_3_burgers1d_low_nu/runs/burgers_hard_nu_0p0005_fp64_0/metrics.csv,burgers1d,burgers_low_nu,fp64,0,nu,0.0005,0.3948493217426745,0.39484932174267456,0.0707698838923292,96.0,5.0,10000.0,800.0,800.0,12000.0,1200.0,,,,True,False
experiments_raw/results_exp_3_burgers1d_low_nu/runs/burgers_hard_nu_0p0005_fp64_1,experiments_raw/results_exp_3_burgers1d_low_nu/runs/burgers_hard_nu_0p0005_fp64_1/summary.json,experiments_raw/results_exp_3_burgers1d_low_nu/runs/burgers_hard_nu_0p0005_fp64_1/metrics.csv,burgers1d,burgers_low_nu,fp64,1,nu,0.0005,0.3730345486275325,0.3750501033786133,0.061657408037109084,96.0,5.0,10000.0,800.0,800.0,12000.0,1200.0,,,,True,False
experiments_raw/final/final/runs/run005_burgers1d_burgers_main_nu0p001_fp16_s0,experiments_raw/final/final/runs/run005_burgers1d_burgers_main_nu0p001_fp16_s0/summary.json,experiments_raw/final/final/runs/run005_burgers1d_burgers_main_nu0p001_fp16_s0/metrics.csv,burgers1d,burgers,fp16,0,nu,0.001,,,,,,,,,,,,,,False,True
experiments_raw/final/final/runs/run006_burgers1d_burgers_main_nu0p001_fp16_s1,experiments_raw/final/final/runs/run006_burgers1d_burgers_main_nu0p001_fp16_s1/summary.json,experiments_raw/final/final/runs/run006_burgers1d_burgers_main_nu0p001_fp16_s1/metrics.csv,burgers1d,burgers,fp16,1,nu,0.001,,,,,,,,,,,,,,False,True
experiments_raw/results_exp_17_burgers1d_adam_lr_check/results_exp_17_burgers1d_adam_lr_check/runs/exp17_r005_nu0p001_adam2e4_lbfgs1_steps2000_inner5_resample200_fp32_s0,experiments_raw/results_exp_17_burgers1d_adam_lr_check/results_exp_17_burgers1d_adam_lr_check/runs/exp17_r005_nu0p001_adam2e4_lbfgs1_steps2000_inner5_resample200_fp32_s0/summary.json,experiments_raw/results_exp_17_burgers1d_adam_lr_check/results_exp_17_burgers1d_adam_lr_check/runs/exp17_r005_nu0p001_adam2e4_lbfgs1_steps2000_inner5_resample200_fp32_s0/metrics.csv,burgers1d,burgers,fp32,0,nu,0.001,0.2255788147449493,0.22597716748714447,0.001885836711153388,256.0,4.0,10000.0,800.0,800.0,3000.0,2000.0,,1.0,200.0,True,False
experiments_raw/results_exp_17_burgers1d_adam_lr_check/results_exp_17_burgers1d_adam_lr_check/runs/exp17_r001_nu0p001_adam5e4_lbfgs1_steps2000_inner5_resample200_fp32_s0,experiments_raw/results_exp_17_burgers1d_adam_lr_check/results_exp_17_burgers1d_adam_lr_check/runs/exp17_r001_nu0p001_adam5e4_lbfgs1_steps2000_inner5_resample200_fp32_s0/summary.json,experiments_raw/results_exp_17_burgers1d_adam_lr_check/results_exp_17_burgers1d_adam_lr_check/runs/exp17_r001_nu0p001_adam5e4_lbfgs1_steps2000_inner5_resample200_fp32_s0/metrics.csv,burgers1d,burgers,fp32,0,nu,0.001,0.2708814144134521,0.27088141441345215,0.0006721697864122689,256.0,4.0,10000.0,800.0,800.0,3000.0,2000.0,,1.0,200.0,True,False
