task_name,variant,main_parameter_name,main_parameter_value,hid_size,num_layers,n_collocation,n_ic,n_bc,adam_steps,lr_adam,lbfgs_steps,lbfgs_lr,lbfgs_max_iter,resample_every,case_key,n_total,n_valid,n_bad,bad_rate,best_l2_median,final_l2_median,typical_failure_reason
burgers1d,burgers_main_nu0p001,nu,,,,,,,,,,,,0.0,burgers1d|burgers_main_nu0p001|nu|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|0.0,2,0,2,1.0,,,runtime_error
burgers1d,burgers_main_nu0p002,nu,,,,,,,,,,,,0.0,burgers1d|burgers_main_nu0p002|nu|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|0.0,2,0,2,1.0,,,runtime_error
burgers1d,burgers_more_points,nu,0.001,256.0,4.0,10000.0,800.0,800.0,3000.0,5e-05,2000.0,0.5,5.0,200.0,burgers1d|burgers_more_points|nu|0.001|256.0|4.0|10000.0|800.0|800.0|3000.0|5e-05|2000.0|0.5|5.0|200.0,2,0,2,1.0,,,nan_metric
burgers1d,burgers_more_points,nu,0.002,256.0,4.0,10000.0,800.0,800.0,3000.0,5e-05,2000.0,0.5,5.0,200.0,burgers1d|burgers_more_points|nu|0.002|256.0|4.0|10000.0|800.0|800.0|3000.0|5e-05|2000.0|0.5|5.0|200.0,2,0,2,1.0,,,nan_metric
convection1d,convection_beta30_beta30p0,beta,,,,,,,,,,,,0.0,convection1d|convection_beta30_beta30p0|beta|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|0.0,2,0,2,1.0,,,runtime_error
convection1d,convection_beta30_lbfgs_grid,beta,30.0,256.0,3.0,4225.0,65.0,65.0,0.0,0.0001,4000.0,1.0,10.0,0.0,convection1d|convection_beta30_lbfgs_grid|beta|30.0|256.0|3.0|4225.0|65.0|65.0|0.0|0.0001|4000.0|1.0|10.0|0.0,2,1,2,1.0,1.0009765625,1.0009765625,high_best_l2
convection1d,convection_beta50_beta50p0,beta,,,,,,,,,,,,0.0,convection1d|convection_beta50_beta50p0|beta|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|0.0,1,0,1,1.0,,,runtime_error
convection1d,convection_beta50_wide_lbfgs,beta,50.0,512.0,3.0,10201.0,101.0,101.0,0.0,5e-05,5000.0,0.5,10.0,0.0,convection1d|convection_beta50_wide_lbfgs|beta|50.0|512.0|3.0|10201.0|101.0|101.0|0.0|5e-05|5000.0|0.5|10.0|0.0,1,0,1,1.0,,,nan_metric
helmholtz1d,helmholtz_main_m12,m,,,,,,,,,,,,0.0,helmholtz1d|helmholtz_main_m12|m|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|0.0,2,0,2,1.0,,,runtime_error
helmholtz1d,helmholtz_main_m8,m,,,,,,,,,,,,0.0,helmholtz1d|helmholtz_main_m8|m|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|0.0,2,0,2,1.0,,,runtime_error
helmholtz1d,helmholtz_resample_long,m,8.0,128.0,4.0,5000.0,0.0,2.0,10000.0,0.0005,1000.0,1.0,1.0,200.0,helmholtz1d|helmholtz_resample_long|m|8.0|128.0|4.0|5000.0|0.0|2.0|10000.0|0.0005|1000.0|1.0|1.0|200.0,2,0,2,1.0,,,nan_metric
helmholtz1d,helmholtz_resample_long,m,12.0,128.0,4.0,5000.0,0.0,2.0,10000.0,0.0005,1000.0,1.0,1.0,200.0,helmholtz1d|helmholtz_resample_long|m|12.0|128.0|4.0|5000.0|0.0|2.0|10000.0|0.0005|1000.0|1.0|1.0|200.0,2,0,2,1.0,,,nan_metric
