task_name,main_parameter_name,main_parameter_value,variant,fp32_n_valid,fp32_n_total,fp32_bad_rate,fp32_median_best_l2,fp32_mean_best_l2,fp32_min_best_l2,fp32_max_best_l2,fp64_n_valid,fp64_n_total,fp64_bad_rate,fp64_median_best_l2,fp64_mean_best_l2,fp64_min_best_l2,fp64_max_best_l2,fp64_over_fp32_median,fp64_over_fp32_mean,conclusion
burgers1d,nu,0.001,adam1e4_lbfgs05_steps2000_inner5_resample200,1,1,0.0,0.17678102850914,0.17678102850914,0.17678102850914,0.17678102850914,1,1,0.0,0.1857798282713026,0.1857798282713026,0.1857798282713026,0.1857798282713026,1.0509036509067338,1.0509036509067338,similar
burgers1d,nu,0.001,burgers_more_points,2,2,0.0,0.09484540857374665,0.09484540857374665,0.0407769866287708,0.1489138305187225,2,2,0.0,0.1699690994922754,0.1699690994922754,0.1631894613386934,0.1767487376458574,1.7920646033183212,1.7920646033183212,fp32_better
burgers1d,nu,0.002,adam3000_lbfgs5000_inner5_resample200,1,1,0.0,0.0477750860154628,0.0477750860154628,0.0477750860154628,0.0477750860154628,1,1,0.0,0.0483794210626988,0.0483794210626988,0.0483794210626988,0.0483794210626988,1.0126495857493676,1.0126495857493676,similar
burgers1d,nu,0.002,adam5e4_lbfgs1_steps2000_inner5_resample200,1,1,0.0,0.0477750860154628,0.0477750860154628,0.0477750860154628,0.0477750860154628,1,1,0.0,0.0483794210626988,0.0483794210626988,0.0483794210626988,0.0483794210626988,1.0126495857493676,1.0126495857493676,similar
burgers1d,nu,0.002,burgers_more_points,2,2,0.0,0.048778716474771444,0.048778716474771444,0.0472011193633079,0.050356313586235,2,2,0.0,0.046523612511057855,0.046523612511057855,0.0462870463160776,0.0467601787060381,0.9537686899801896,0.9537686899801896,similar
burgers1d,nu,0.005,adam3000_lbfgs5000_inner5_resample200,1,1,0.0,0.0478018335998058,0.0478018335998058,0.0478018335998058,0.0478018335998058,1,1,0.0,0.0519076759178343,0.0519076759178343,0.0519076759178343,0.0519076759178343,1.0858929879636496,1.0858929879636496,similar
burgers1d,nu,0.005,burgers_hard_nu_0p005,2,2,0.0,0.0469164233654737,0.0469164233654737,0.0448742024600505,0.0489586442708969,2,2,0.0,0.05057231804090655,0.05057231804090655,0.0500722999580332,0.0510723361237799,1.0779235588133784,1.0779235588133784,similar
burgers1d,nu,0.01,burgers_hard_nu_0p01,2,2,0.0,0.0416142791509628,0.0416142791509628,0.0404959693551063,0.0427325889468193,2,2,0.0,0.04260087026889425,0.04260087026889425,0.0413800133063886,0.0438217272313999,1.0237079949012795,1.0237079949012795,similar
burgers1d,nu,0.01,nu_0p01,3,3,0.0,0.0452182851731777,0.04458825166026747,0.0433101169764995,0.0452363528311252,3,3,0.0,0.0430148326372165,0.04365646577119323,0.0411263609423979,0.0468282037339653,0.9512707629773579,0.9791024349603609,similar
burgers1d,nu,0.1,nu_0p1,3,3,0.0,0.0196734741330146,0.01948769887288403,0.0189937148243188,0.0197959076613187,3,3,0.0,0.0199532973430125,0.019985713200834063,0.0191503771711941,0.0208534650882956,1.0142233755007368,1.0255553172900773,similar
helmholtz1d,m,5.0,helmholtz_rs,2,2,0.0,0.0001501124716014,0.0001501124716014,0.0001494790485594,0.0001507458946434,2,2,0.0,0.0004776219133083094,0.0004776219133083094,5.777493379241883e-05,0.0008974688928242,3.181760370827542,3.181760370827542,fp32_better
helmholtz1d,m,6.0,helmholtz_rs,2,2,0.0,0.00026787861861518136,0.00026787861861518136,8.179871656466275e-05,0.0004539585206657,2,2,0.0,0.00050666160955625,0.00050666160955625,0.0002548418768011,0.0007584813423114,1.8913850316814207,1.8913850316814207,fp32_better
helmholtz1d,m,8.0,more_points_soft,2,2,0.0,0.00918896705843505,0.00918896705843505,0.0030395030044019,0.0153384311124682,2,2,0.0,0.0239497799993314,0.0239497799993314,0.0079033375910808,0.039996222407582,2.6063625919027102,2.6063625919027102,fp32_better
helmholtz1d,m,9.0,helmholtz_rs,2,2,0.0,0.0010594721825327,0.0010594721825327,0.0004719910793937,0.0016469532856717,2,2,0.0,0.0009256147461689001,0.0009256147461689001,0.0005594160001707,0.0012918134921671,0.8736564880412342,0.8736564880412342,similar
helmholtz1d,m,10.0,helmholtz_rs,2,2,0.0,0.001598153845407,0.001598153845407,0.0012300387024879,0.0019662689883261,2,2,0.0,0.0030036022583295003,0.0030036022583295003,0.0020277565836407,0.0039794479330183,1.8794199738414898,1.8794199738414898,fp32_better
