case,task_name,param,param_value,variant,fp32_n,fp32_bad_rate,fp32_median,fp32_min,fp32_max,fp64_n,fp64_bad_rate,fp64_median,fp64_min,fp64_max,ratio,result
"Конвекция, beta=30",convection1d,beta,30.0,lbfgs_grid_t4,1,0.0,0.0066110449843108,0.0066110449843108,0.0066110449843108,1,0.0,0.0101805789260388,0.0101805789260388,0.0101805789260388,1.539934904421184,fp32 лучше
"Гельмгольц, m=10",helmholtz1d,m,10.0,width192_adam1e4_lbfgs05_steps1000_inner10_resample250,1,0.0,0.0020273081026971,0.0020273081026971,0.0020273081026971,1,0.0,0.0031373256013443,0.0031373256013443,0.0031373256013443,1.5475327095918225,fp32 лучше
"Бюргерс, nu=0.001",burgers1d,nu,0.001,burgers_more_points_nu0p001,2,0.0,0.09484540857374665,0.0407769866287708,0.1489138305187225,2,0.0,0.1699690994922754,0.1631894613386934,0.1767487376458574,1.7920646033183212,fp32 лучше
"Гельмгольц, m=10",helmholtz1d,m,10.0,helmholtz_rs_m10,2,0.0,0.001598153845407,0.0012300387024879,0.0019662689883261,2,0.0,0.0030036022583295003,0.0020277565836407,0.0039794479330183,1.8794199738414898,fp32 лучше
"Гельмгольц, m=6",helmholtz1d,m,6.0,helmholtz_rs_m6,2,0.0,0.00026787861861518136,8.179871656466275e-05,0.0004539585206657,2,0.0,0.00050666160955625,0.0002548418768011,0.0007584813423114,1.8913850316814207,fp32 лучше
"Гельмгольц, m=10",helmholtz1d,m,10.0,width192_adam2e4_lbfgs05_steps1000_inner10_resample250,1,0.0,0.000743078882806,0.000743078882806,0.000743078882806,1,0.0,0.0017108366338082,0.0017108366338082,0.0017108366338082,2.302362068678055,fp32 лучше
"Гельмгольц, m=8",helmholtz1d,m,8.0,more_points_soft,2,0.0,0.00918896705843505,0.0030395030044019,0.0153384311124682,2,0.0,0.0239497799993314,0.0079033375910808,0.039996222407582,2.6063625919027102,fp32 лучше
"Гельмгольц, m=5",helmholtz1d,m,5.0,helmholtz_rs_m5,2,0.0,0.0001501124716014,0.0001494790485594,0.0001507458946434,2,0.0,0.0004776219133083094,5.777493379241883e-05,0.0008974688928242,3.181760370827542,fp32 лучше
"Гельмгольц, m=12",helmholtz1d,m,12.0,width128_adam1e4_lbfgs1_steps1000_inner10_resample250,1,0.0,0.0136220986023545,0.0136220986023545,0.0136220986023545,1,0.0,0.0003458913456201,0.0003458913456201,0.0003458913456201,0.025391927904582536,fp64 лучше
"Гельмгольц, m=12",helmholtz1d,m,12.0,width128_adam1e4_lbfgs05_steps1000_inner10_resample250,1,0.0,0.0882605835795402,0.0882605835795402,0.0882605835795402,1,0.0,0.0024585988389089,0.0024585988389089,0.0024585988389089,0.027856136218419827,fp64 лучше
"Гельмгольц, m=12",helmholtz1d,m,12.0,width128_adam5e4_lbfgs05_steps1000_inner10_resample250,1,0.0,0.0041363453492522,0.0041363453492522,0.0041363453492522,1,0.0,0.0001698858408164,0.0001698858408164,0.0001698858408164,0.041071483754883585,fp64 лучше
"Гельмгольц, m=12",helmholtz1d,m,12.0,width128_adam5e4_lbfgs1_steps1000_inner10_resample250,1,0.0,0.0192516539245843,0.0192516539245843,0.0192516539245843,1,0.0,0.001540316022811,0.001540316022811,0.001540316022811,0.08000954249671097,fp64 лучше
"Гельмгольц, m=12",helmholtz1d,m,12.0,width128_adam2e4_lbfgs1_steps1000_inner10_resample250,1,0.0,0.0560470409691333,0.0560470409691333,0.0560470409691333,1,0.0,0.0056520248669627,0.0056520248669627,0.0056520248669627,0.10084430452047291,fp64 лучше
"Гельмгольц, m=10",helmholtz1d,m,10.0,width192_adam5e4_lbfgs1_steps1000_inner10_resample250,1,0.0,0.0035879830829799,0.0035879830829799,0.0035879830829799,1,0.0,0.0004545846478039,0.0004545846478039,0.0004545846478039,0.12669643008081222,fp64 лучше
"Гельмгольц, m=12",helmholtz1d,m,12.0,width128_adam2e4_lbfgs05_steps1000_inner10_resample250,1,0.0,0.0449693091213703,0.0449693091213703,0.0449693091213703,1,0.0,0.0074743191822439,0.0074743191822439,0.0074743191822439,0.16620933984266964,fp64 лучше
"Гельмгольц, m=12",helmholtz1d,m,12.0,helmholtz_resample_long_m12,2,0.0,0.012530514737591099,0.0063924300484359,0.0186685994267463,2,0.0,0.0021135880520116,0.0011424918594755,0.0030846842445477,0.1686752776141678,fp64 лучше
"Гельмгольц, m=12",helmholtz1d,m,12.0,resample_proven_128,3,0.0,0.0126883145421743,0.0057385135442018,0.0186685994267463,3,0.0,0.0030846842445477,0.0011424918594755,0.0030846842445477,0.24311221433663335,fp64 лучше
"Гельмгольц, m=7",helmholtz1d,m,7.0,helmholtz_rs_m7,2,0.0,0.00134821725077925,0.0011489177122712,0.0015475167892873,2,0.0,0.0005143762736539,0.0003402179803587,0.0006885345669491,0.3815232844384671,fp64 лучше
"Гельмгольц, m=12",helmholtz1d,m,12.0,helmholtz_rs_m12,2,0.0,0.0021599326282738997,0.0019692897330969,0.0023505755234509,2,0.0,0.000833988761593,0.0006387098016489,0.0010292677215371,0.386117951400863,fp64 лучше
"Гельмгольц, m=10",helmholtz1d,m,10.0,width192_adam1e4_lbfgs1_steps1000_inner10_resample250,1,0.0,0.0042583378963172,0.0042583378963172,0.0042583378963172,1,0.0,0.0017293850808818,0.0017293850808818,0.0017293850808818,0.40611739204102354,fp64 лучше
