case,task_name,param,param_value,variant,dtype,n_total,n_bad,n_valid,median_best_l2,mean_best_l2,min_best_l2,max_best_l2,median_final_l2,seeds,bad_rate
"Бюргерс, nu=0.0001",burgers1d,nu,0.0001,burgers_hard_nu_0p0001,fp32,2,2,2,0.4010026454925537,0.4010026454925537,0.3910178542137146,0.4109874367713928,0.3912387192249298,"0, 1",1.0
"Бюргерс, nu=0.0001",burgers1d,nu,0.0001,burgers_hard_nu_0p0001,fp64,2,2,2,0.4136770667144381,0.4136770667144381,0.4076916257378808,0.4196625076909954,0.4136770667144381,"0, 1",1.0
"Бюргерс, nu=0.0002",burgers1d,nu,0.0002,burgers_hard_nu_0p0002,fp32,2,2,2,0.39725589752197266,0.39725589752197266,0.3857518434524536,0.4087599515914917,0.39725589752197266,"0, 1",1.0
"Бюргерс, nu=0.0002",burgers1d,nu,0.0002,burgers_hard_nu_0p0002,fp64,2,2,2,0.4087557481708067,0.4087557481708067,0.4044342354120777,0.4130772609295357,0.40909566671109376,"0, 1",1.0
"Бюргерс, nu=0.0005",burgers1d,nu,0.0005,burgers_hard_nu_0p0005,fp32,2,2,2,0.38551378250122065,0.38551378250122065,0.3703256249427795,0.4007019400596618,31628257280.18516,"0, 1",1.0
"Бюргерс, nu=0.0005",burgers1d,nu,0.0005,burgers_hard_nu_0p0005,fp64,2,2,2,0.3839419351851035,0.3839419351851035,0.3730345486275325,0.3948493217426745,0.3849497125606439,"0, 1",1.0
"Бюргерс, nu=0.001",burgers1d,nu,0.001,adam1e4_lbfgs05_steps2000_inner5_resample200,fp32,1,0,1,0.17678102850914,0.17678102850914,0.17678102850914,0.17678102850914,0.17678102850914001,0,0.0
"Бюргерс, nu=0.001",burgers1d,nu,0.001,adam1e4_lbfgs05_steps2000_inner5_resample200,fp64,1,0,1,0.1857798282713026,0.1857798282713026,0.1857798282713026,0.1857798282713026,0.21475275158232335,0,0.0
"Бюргерс, nu=0.001",burgers1d,nu,0.001,adam1e4_lbfgs1_steps2000_inner5_resample200,fp32,1,1,1,0.220319464802742,0.220319464802742,0.220319464802742,0.220319464802742,0.22086194157600403,0,1.0
"Бюргерс, nu=0.001",burgers1d,nu,0.001,adam1e4_lbfgs1_steps2000_inner5_resample200,fp64,1,0,1,0.1787671003678304,0.1787671003678304,0.1787671003678304,0.1787671003678304,0.17876710036783044,0,0.0
