task_name,main_parameter_name,main_parameter_value,dtype,n_total,n_valid,n_bad,median_best_l2,mean_best_l2,min_best_l2,max_best_l2,bad_rate
burgers1d,nu,0.0001,fp32,2,1,2,0.3910178542137146,0.3910178542137146,0.3910178542137146,0.3910178542137146,1.0
burgers1d,nu,0.0001,fp64,2,2,2,0.4136770667144381,0.4136770667144381,0.4076916257378808,0.4196625076909954,1.0
burgers1d,nu,0.0002,fp32,2,2,2,0.39725589752197266,0.39725589752197266,0.3857518434524536,0.4087599515914917,1.0
burgers1d,nu,0.0002,fp64,2,2,2,0.4087557481708067,0.4087557481708067,0.4044342354120777,0.4130772609295357,1.0
burgers1d,nu,0.0005,fp32,2,2,2,0.38551378250122065,0.38551378250122065,0.3703256249427795,0.4007019400596618,1.0
burgers1d,nu,0.0005,fp64,2,2,2,0.3839419351851035,0.3839419351851035,0.3730345486275325,0.3948493217426745,1.0
burgers1d,nu,0.001,fp16,2,0,2,,,,,1.0
burgers1d,nu,0.001,fp32,16,15,13,0.2301674783229828,0.23213040555516878,0.0407769866287708,0.3161875009536743,0.8125
burgers1d,nu,0.001,fp64,16,16,9,0.232790067936001,0.23241888914459718,0.0785992072155564,0.3952189758199652,0.5625
burgers1d,nu,0.002,fp16,2,0,2,,,,,1.0
burgers1d,nu,0.002,fp32,9,9,1,0.0477750860154628,0.07256222888827317,0.0470239780843257,0.2675211131572723,0.1111111111111111
burgers1d,nu,0.002,fp64,8,8,3,0.1155412754186628,0.15843345214926538,0.0462870463160776,0.3742206827458521,0.375
burgers1d,nu,0.005,fp32,3,3,0,0.0478018335998058,0.04721156011025107,0.0448742024600505,0.0489586442708969,0.0
burgers1d,nu,0.005,fp64,3,3,0,0.0510723361237799,0.051017437333215794,0.0500722999580332,0.0519076759178343,0.0
burgers1d,nu,0.01,fp32,5,5,0,0.0433101169764995,0.0433986626565456,0.0404959693551063,0.0452363528311252,0.0
burgers1d,nu,0.01,fp64,5,5,0,0.0430148326372165,0.04323422757027364,0.0411263609423979,0.0468282037339653,0.0
burgers1d,nu,0.1,fp32,3,3,0,0.0196734741330146,0.01948769887288403,0.0189937148243188,0.0197959076613187,0.0
burgers1d,nu,0.1,fp64,3,3,0,0.0199532973430125,0.019985713200834063,0.0191503771711941,0.0208534650882956,0.0
burgers1d,nu,,fp16,4,0,4,,,,,1.0
convection1d,beta,30.0,fp16,2,1,2,1.0009765625,1.0009765625,1.0009765625,1.0009765625,1.0
convection1d,beta,30.0,fp32,5,5,2,0.0138436090201139,0.4057746407575905,0.0066110449843108,1.0002951622009275,0.4
convection1d,beta,30.0,fp64,5,5,0,0.006742623429787,0.0076714388357804406,0.0034621931284607,0.0114636806490874,0.0
convection1d,beta,50.0,fp16,1,0,1,,,,,1.0
convection1d,beta,50.0,fp32,3,3,3,0.741241991519928,0.7597106297810873,0.6873066425323486,0.8505832552909851,1.0
convection1d,beta,50.0,fp64,3,3,2,0.7004091523132202,0.5219053450637484,0.0071818074399789,0.8581250754380461,0.6666666666666666
