task_name,main_parameter_name,main_parameter_value,variant,fp32_n_valid,fp32_n_total,fp32_bad_rate,fp32_median_best_l2,fp32_mean_best_l2,fp32_min_best_l2,fp32_max_best_l2,fp64_n_valid,fp64_n_total,fp64_bad_rate,fp64_median_best_l2,fp64_mean_best_l2,fp64_min_best_l2,fp64_max_best_l2,fp64_over_fp32_median,fp64_over_fp32_mean,conclusion
burgers1d,nu,0.0001,burgers_hard_nu_0p0001,2,2,1.0,0.4010026454925537,0.4010026454925537,0.3910178542137146,0.4109874367713928,2,2,1.0,0.4136770667144381,0.4136770667144381,0.4076916257378808,0.4196625076909954,1.031606826948277,1.031606826948277,unstable_or_seed_sensitive
burgers1d,nu,0.0002,burgers_hard_nu_0p0002,2,2,1.0,0.39725589752197266,0.39725589752197266,0.3857518434524536,0.4087599515914917,2,2,1.0,0.4087557481708067,0.4087557481708067,0.4044342354120777,0.4130772609295357,1.0289482188195782,1.0289482188195782,unstable_or_seed_sensitive
burgers1d,nu,0.0005,burgers_hard_nu_0p0005,2,2,1.0,0.38551378250122065,0.38551378250122065,0.3703256249427795,0.4007019400596618,2,2,1.0,0.3839419351851035,0.3839419351851035,0.3730345486275325,0.3948493217426745,0.9959227208274657,0.9959227208274657,unstable_or_seed_sensitive
burgers1d,nu,0.001,adam1e4_lbfgs1_steps2000_inner5_resample200,1,1,1.0,0.220319464802742,0.220319464802742,0.220319464802742,0.220319464802742,1,1,0.0,0.1787671003678304,0.1787671003678304,0.1787671003678304,0.1787671003678304,0.811399485414897,0.811399485414897,unstable_or_seed_sensitive
burgers1d,nu,0.001,adam2e4_lbfgs05_steps2000_inner5_resample200,1,1,1.0,0.2265450656414032,0.2265450656414032,0.2265450656414032,0.2265450656414032,1,1,1.0,0.2301922653213753,0.2301922653213753,0.2301922653213753,0.2301922653213753,1.0160992236562116,1.0160992236562116,unstable_or_seed_sensitive
burgers1d,nu,0.001,adam2e4_lbfgs1_steps2000_inner5_resample200,1,1,1.0,0.2255788147449493,0.2255788147449493,0.2255788147449493,0.2255788147449493,1,1,1.0,0.2673989889349082,0.2673989889349082,0.2673989889349082,0.2673989889349082,1.1853905218769896,1.1853905218769896,unstable_or_seed_sensitive
burgers1d,nu,0.001,adam3000_lbfgs5000_inner5_resample200,1,1,1.0,0.2708814144134521,0.2708814144134521,0.2708814144134521,0.2708814144134521,1,1,0.0,0.0995819415032934,0.0995819415032934,0.0995819415032934,0.0995819415032934,0.367621904658617,0.367621904658617,unstable_or_seed_sensitive
burgers1d,nu,0.001,adam5e4_lbfgs05_steps2000_inner5_resample200,1,1,1.0,0.2336248606443405,0.2336248606443405,0.2336248606443405,0.2336248606443405,1,1,0.0,0.0785992072155564,0.0785992072155564,0.0785992072155564,0.0785992072155564,0.3364334043850416,0.3364334043850416,unstable_or_seed_sensitive
burgers1d,nu,0.001,adam5e4_lbfgs1_steps2000_inner5_resample200,1,1,1.0,0.2708814144134521,0.2708814144134521,0.2708814144134521,0.2708814144134521,1,1,0.0,0.0995819415032934,0.0995819415032934,0.0995819415032934,0.0995819415032934,0.367621904658617,0.367621904658617,unstable_or_seed_sensitive
burgers1d,nu,0.001,burgers_hard_nu_0p001,2,2,1.0,0.3270493298768997,0.3270493298768997,0.2925863564014435,0.3615123033523559,2,2,1.0,0.28694480985315574,0.28694480985315574,0.2353878705506267,0.3385017491556847,0.8773747066265533,0.8773747066265533,unstable_or_seed_sensitive
burgers1d,nu,0.001,burgers_main,2,2,1.0,0.25809021294116974,0.25809021294116974,0.2063408493995666,0.3098395764827728,2,2,1.0,0.2530033896767759,0.2530033896767759,0.2377272764260296,0.2682795029275222,0.9802905224246014,0.9802905224246014,unstable_or_seed_sensitive
burgers1d,nu,0.001,nu_0p001,3,3,1.0,0.312531441450119,0.28629547357559204,0.2301674783229828,0.3161875009536743,3,3,1.0,0.3950744994023785,0.3863221183838605,0.3686728799292377,0.3952189758199652,1.2641112125207843,1.349382557673787,unstable_or_seed_sensitive
burgers1d,nu,0.002,burgers_hard_nu_0p002,2,2,0.0,0.048669481649994795,0.048669481649994795,0.0475541055202484,0.0497848577797412,2,2,1.0,0.2603688687630654,0.2603688687630654,0.2024989783181624,0.3182387592079684,5.3497358084785205,5.3497358084785205,unstable_or_seed_sensitive
burgers1d,nu,0.002,burgers_main,2,2,0.5,0.1577947568148374,0.1577947568148374,0.0480684004724025,0.2675211131572723,2,2,0.5,0.2784619062602394,0.2784619062602394,0.1827031297746268,0.3742206827458521,1.7647094991058392,1.7647094991058392,unstable_or_seed_sensitive
convection1d,beta,30.0,convection_beta30,2,2,1.0,1.0001898407936096,1.0001898407936096,1.0000845193862915,1.0002951622009275,2,2,0.0,0.007462936888774051,0.007462936888774051,0.0034621931284607,0.0114636806490874,0.007461520387822092,0.007461520387822092,unstable_or_seed_sensitive
