step,opt,total_loss,pde_loss,ic_loss,bc_loss,l2_error,time_sec
1,adam,26.965205335219366,16.757578066069044,2.3821536619122,7.825473607238123,3.3422417034484737,0.49411964416503906
100,adam,0.175955573612386,0.0725945759318414,0.0988461079436555,0.004514889736889109,0.575332227088541,33.06893491744995
200,adam,0.16707119436771056,0.0672435907857472,0.09492330129629586,0.004904302285667525,0.5722090592818446,65.7850980758667
300,adam,0.16021395548429232,0.06409581670172323,0.09149687235241469,0.0046212664301544006,0.5745180928253665,98.54483723640442
400,adam,0.1560365364153622,0.06276026224653461,0.08895640363388418,0.004319870534943387,0.5714909997321522,131.38874626159668
500,adam,0.15541192867995043,0.062769090220522,0.08847881333075107,0.004164025128677366,0.5613996715556488,164.1726198196411
600,adam,0.1486144225781391,0.05979764436903884,0.08501691604290539,0.0037998621661948393,0.5528918271130322,196.9100878238678
700,adam,0.1396665988515272,0.056864625606088355,0.07952058694726301,0.003281386298175837,0.5447249938790577,229.64085865020752
800,adam,0.13356135680054762,0.055582842231750966,0.07533300756273154,0.002645507006065099,0.5317947181289305,262.39524126052856
900,adam,0.13074584407556317,0.05410626139799777,0.0742072370426678,0.0024323456348976226,0.5219692437293714,295.1484625339508
1000,adam,0.12743950317188227,0.0530188086178824,0.0720377897782849,0.0023829047757149956,0.5123630750607384,327.91454815864563
1100,adam,0.1230642495547127,0.0515101157298515,0.06950292248854739,0.0020512113363138082,0.5037706172626308,360.6948232650757
1200,adam,0.12105895797842829,0.050835962946383095,0.06814656212719335,0.0020764329048518484,0.4971549015510746,393.4772126674652
1300,adam,0.11617724524995472,0.047794448439928146,0.06614514615459234,0.0022376506554342324,0.496825512625618,426.26344871520996
1400,adam,0.1151095222529989,0.04551387594999274,0.06769642703740612,0.001899219265600039,0.49668953276195277,459.0412828922272
1500,adam,0.11618405344372683,0.04993862646593639,0.06413810484951434,0.0021073221282761085,0.4843259712810272,491.8408398628235
1600,adam,0.11619186553219754,0.047566368039532694,0.06670365982541208,0.0019218376672527587,0.4860332134795196,524.6445138454437
1700,adam,0.11337271755323694,0.04880378849522678,0.06290539361043493,0.0016635354475752356,0.47497085075751116,557.4396417140961
1800,adam,0.1114261002310311,0.04799658417720831,0.061864336178402105,0.0015651798754206768,0.4701396131592256,590.233167886734
1900,adam,0.14921143699408781,0.06145011192428367,0.05246120502241097,0.03530012004739316,0.46550260901526097,623.0364408493042
2000,adam,0.1095358696503388,0.048626369964545946,0.05984337828040598,0.0010661214053868761,0.46317829109398145,655.8408784866333
2100,adam,0.10441810934914444,0.04470403154744324,0.05842219776772302,0.001291880033978181,0.4629983192503631,688.6449527740479
2200,adam,0.22525842736959353,0.06260600271834849,0.05345526750950741,0.10919715714173764,0.48226271279537286,721.4498407840729
2300,adam,0.10732557775384555,0.046851825070351155,0.05951970865074389,0.0009540440327505094,0.4580423183764812,754.2467429637909
2400,adam,0.10593722509268189,0.04585335855365659,0.05922192929112767,0.0008619372478976202,0.45654768133084495,787.0558278560638
2500,adam,0.10353082393311934,0.044735423504602266,0.058002172894802105,0.0007932275337149679,0.44938293912727917,819.8619832992554
2600,adam,0.10242270836321704,0.044164538466960404,0.057528372881285234,0.0007297970149713964,0.44725659253032685,852.6801905632019
2700,adam,0.09979074004951524,0.04297433641687217,0.05615656020746564,0.0006598434251774282,0.45206198406435605,885.4916939735413
2800,adam,0.09950277497124879,0.04382439213767134,0.05489195117377434,0.0007864316598031077,0.45015595555915494,918.3003127574921
2900,adam,0.0977896631789837,0.041380201525513166,0.055992238733480915,0.0004172229199896145,0.44835654184819496,951.1256279945374
3000,adam,0.0967145857243686,0.040696504476074806,0.055615089759191674,0.00040299148910213206,0.44647292819753437,983.9422106742859
3001,lbfgs,0.09636486548750046,0.038531293130677526,0.057267151778255684,0.0005664205785672462,0.451015472380603,986.0405895709991
3100,lbfgs,0.03342482397831939,0.016274344054553344,0.017029659952003732,0.00012081997176231421,0.19715706097200006,1187.117564201355
3200,lbfgs,0.012024940722909369,0.005933110918518904,0.006071256790722647,2.057301366781875e-05,0.10644714003721191,1391.8720033168793
3300,lbfgs,0.006744017490976567,0.003581349370962957,0.0031458111158567314,1.685700415687934e-05,0.11090596879102313,1597.5634977817535
3400,lbfgs,0.003836966324681478,0.002036006165565536,0.0017949428810488885,6.017278067053804e-06,0.11074287367530763,1803.674331188202
3500,lbfgs,0.0027215457037340755,0.00142470673471795,0.0012924706877361122,4.368281280012961e-06,0.11719644903563242,2009.5266313552856
3600,lbfgs,0.0019559266187953533,0.0009779760772294865,0.0009764793930062111,1.4711485596557732e-06,0.10950496893910662,2215.493676662445
3700,lbfgs,0.0014311831737563046,0.000662394417613139,0.0007680047731563977,7.839829867680455e-07,0.10745365373983341,2421.0839586257935
3800,lbfgs,0.0010979643328339014,0.0005663923351863076,0.0005297666302038326,1.805367443761289e-06,0.10529104933357264,2627.2229034900665
3900,lbfgs,0.0008463501659221943,0.00043227045544962843,0.0004129535927192268,1.1261177533390387e-06,0.10525979004770294,2832.346955060959
4000,lbfgs,0.000694885667049659,0.00035175396718773686,0.0003426126250022385,5.190748596837322e-07,0.10305511918088416,3039.0477526187897
4100,lbfgs,0.0006000021358473642,0.00028940942806415885,0.00030948956680284704,1.103140980358231e-06,0.10219702972666504,3246.3319342136383
4200,lbfgs,0.0005190513289450846,0.0002497377831366262,0.00026820065883855117,1.112886969907135e-06,0.10351131402028126,3451.7349951267242
4300,lbfgs,0.00045869407730922635,0.0002250144522810154,0.00023299904348536208,6.805815428488865e-07,0.10360586703634661,3657.1661818027496
4400,lbfgs,0.00041081746276727313,0.0001950074908095571,0.00021492612784683603,8.83844110879987e-07,0.10406353554130418,3862.794124364853
4500,lbfgs,0.0003735598030202766,0.00017508606670495425,0.00019772609813100046,7.476381843218838e-07,0.10271448398927752,4067.734464406967
4600,lbfgs,0.0003373952902361662,0.00015765535023406493,0.00017949121888438405,2.4872111771723197e-07,0.1007876512802655,4275.791590452194
4700,lbfgs,0.0003085608566788211,0.00014075382223351483,0.00016755330022952036,2.53734215785835e-07,0.10008796115056952,4482.957522153854
4800,lbfgs,0.00027977118402505274,0.00012296773452662074,0.0001566405788382037,1.6287066022830597e-07,0.10041821924306038,4689.47087931633
4900,lbfgs,0.00025334066646841313,0.00011389781605205016,0.00013921414101893907,2.2870939742389914e-07,0.09958194150329346,4898.085557222366
5000,lbfgs,0.00022894037035635446,0.0001082626402410932,0.0001204204543249853,2.572757902759683e-07,0.1003156039928465,5103.282606601715
