step,opt,total_loss,pde_loss,ic_loss,bc_loss,l2_error,time_sec
1,adam,0.5561182498931885,0.00023570477787870914,0.5515986084938049,0.004283986985683441,1.0733544826507568,0.017197132110595703
100,adam,0.04872298985719681,0.019190620630979538,0.015603107400238514,0.01392926461994648,0.11675820499658585,0.9892632961273193
200,adam,0.003546579275280237,0.0010482354555279016,0.0008268323726952076,0.001671511447057128,0.06404951214790344,2.0097296237945557
300,adam,0.0005993046215735376,0.0005234155105426908,3.52003589796368e-05,4.0688748413231224e-05,0.005419032648205757,2.9837934970855713
400,adam,0.00043159944470971823,0.00038685521576553583,2.0573646906996146e-05,2.417058749415446e-05,0.004254537634551525,3.949361801147461
500,adam,0.00030140450689941645,0.0002721992786973715,1.3554957149608526e-05,1.5650261047994718e-05,0.004159329924732447,4.920458078384399
600,adam,0.00022301715216599405,0.0002059820108115673,7.017574716883246e-06,1.001756390905939e-05,0.0028856834396719933,5.894432544708252
700,adam,0.0001531779271317646,0.0001420411717845127,4.167028691881569e-06,6.969729383854428e-06,0.0022956773173063993,6.867122173309326
800,adam,0.00012922045425511897,0.00012097935541532934,2.3710365439910674e-06,5.870069799129851e-06,0.0021678919438272715,7.85095477104187
900,adam,9.522201435174793e-05,8.903437264962122e-05,1.6777867131168023e-06,4.5098581722413655e-06,0.0017388606211170554,8.831212520599365
1000,adam,7.736094994470477e-05,7.075605390127748e-05,1.8943884469990735e-06,4.710502253146842e-06,0.0021224739030003548,9.801660299301147
1100,adam,8.395800250582397e-05,7.800995808793232e-05,1.7429429135518149e-06,4.205099685350433e-06,0.0019158313516527414,10.7810800075531
1200,adam,6.837944238213822e-05,6.366704474203289e-05,8.39407960029348e-07,3.872994511766592e-06,0.001511070877313614,11.769996166229248
1300,adam,6.025882248650305e-05,5.589048669207841e-05,7.026738444437797e-07,3.665659278340172e-06,0.0014452284667640924,12.780190229415894
1400,adam,5.455748032545671e-05,5.042358679929748e-05,6.232019700291858e-07,3.5106925224681618e-06,0.0013918251497671008,13.753272771835327
1500,adam,7.537794590461999e-05,6.078951264498755e-05,5.525153028429486e-06,9.063285688171163e-06,0.00392254488542676,14.722761631011963
1600,adam,5.561132275033742e-05,5.103693911223672e-05,7.045616143841471e-07,3.8698244679835625e-06,0.001418449217453599,15.715575933456421
1700,adam,5.0266407924937084e-05,4.5987577323103324e-05,6.472132554335985e-07,3.6316155274107587e-06,0.0013583024265244603,16.690009593963623
1800,adam,4.60303999716416e-05,4.2006209696410224e-05,6.145265842860681e-07,3.4096647141268477e-06,0.001302557298913598,17.68268060684204
1900,adam,0.00011274102871539071,5.106941898702644e-05,1.433830038877204e-05,4.733331297757104e-05,0.00973376166075468,18.68035078048706
2000,adam,4.732224624603987e-05,4.301867011236027e-05,7.100456969055813e-07,3.5935306641476927e-06,0.0013035398442298174,19.667760610580444
2100,adam,4.255452586221509e-05,3.8585894799325615e-05,6.622943260481406e-07,3.3063377031794516e-06,0.0012496155686676502,20.6439208984375
2200,adam,3.873596142511815e-05,3.504668711684644e-05,6.408979515981628e-07,3.0483738555631135e-06,0.0011921217665076256,21.622469425201416
2300,adam,0.0001229456829605624,5.091645653010346e-05,1.5551089745713398e-05,5.647813304676674e-05,0.011201527900993824,22.65473771095276
2400,adam,3.9196962461574e-05,3.5293422115501016e-05,7.131209827093699e-07,3.1904198749543866e-06,0.0012090663658455014,23.63298726081848
2500,adam,3.5041433875449e-05,3.14472199534066e-05,6.834376904407691e-07,2.910774355768808e-06,0.001143373199738562,24.626553535461426
2600,adam,3.162528446409851e-05,2.8303315048106015e-05,6.667794991699338e-07,2.6551895189186325e-06,0.00108810025267303,25.615819692611694
2700,adam,5.9694022638723254e-05,3.877511335304007e-05,4.544850526144728e-06,1.6374058759538457e-05,0.0038677973207086325,26.60075283050537
