task_name,dtype,seed,alpha,hid_size,num_layers,n_collocation,n_ic,n_bc,adam_steps,lbfgs_steps,final_loss,final_l2_error,time_sec,log_dir,nu,best_l2_error,best_step,l2_ratio
burgers1d,fp32,0,0.0001,96,5,10000,800,800,12000,1200,,,246.41281938552856,/kaggle/working/runs/burgers_hard_nu_0p0001_fp32_0,0.0001,0.4109874367713928,12400,
burgers1d,fp32,1,0.0001,96,5,10000,800,800,12000,1200,0.06528069823980331,0.3912387192249298,245.80210518836975,/kaggle/working/runs/burgers_hard_nu_0p0001_fp32_1,0.0001,0.3910178542137146,13100,1.000564846358894
burgers1d,fp64,0,0.0001,96,5,10000,800,800,12000,1200,0.07744845505086217,0.4196625076909954,1366.87890291214,/kaggle/working/runs/burgers_hard_nu_0p0001_fp64_0,0.0001,0.4196625076909954,13200,1.0
burgers1d,fp64,1,0.0001,96,5,10000,800,800,12000,1200,0.07218597282627497,0.4076916257378808,1366.918872833252,/kaggle/working/runs/burgers_hard_nu_0p0001_fp64_1,0.0001,0.4076916257378808,13200,1.0
burgers1d,fp32,0,0.0002,96,5,10000,800,800,12000,1200,0.06848905235528946,0.4087599515914917,247.31963109970093,/kaggle/working/runs/burgers_hard_nu_0p0002_fp32_0,0.0002,0.4087599515914917,13200,1.0
burgers1d,fp32,1,0.0002,96,5,10000,800,800,12000,1200,0.06372267007827759,0.3857518434524536,244.95575165748596,/kaggle/working/runs/burgers_hard_nu_0p0002_fp32_1,0.0002,0.3857518434524536,13200,1.0
burgers1d,fp64,0,0.0002,96,5,10000,800,800,12000,1200,0.07666794634181039,0.41307726092953573,1367.2647511959076,/kaggle/working/runs/burgers_hard_nu_0p0002_fp64_0,0.0002,0.41307726092953573,13200,1.0
burgers1d,fp64,1,0.0002,96,5,10000,800,800,12000,1200,0.07105752824849883,0.4051140724926518,1365.6750845909119,/kaggle/working/runs/burgers_hard_nu_0p0002_fp64_1,0.0002,0.4044342354120777,13100,1.0016809582895014
burgers1d,fp32,0,0.0005,96,5,10000,800,800,12000,1200,1.0402432011486416e+21,63256514560.0,249.06929564476013,/kaggle/working/runs/burgers_hard_nu_0p0005_fp32_0,0.0005,0.40070194005966187,12200,157864258282.8062
burgers1d,fp32,1,0.0005,96,5,10000,800,800,12000,1200,0.0600469745695591,0.37032562494277954,247.87604522705078,/kaggle/working/runs/burgers_hard_nu_0p0005_fp32_1,0.0005,0.37032562494277954,13200,1.0
burgers1d,fp64,0,0.0005,96,5,10000,800,800,12000,1200,0.0707698838923292,0.39484932174267456,1365.8839800357819,/kaggle/working/runs/burgers_hard_nu_0p0005_fp64_0,0.0005,0.39484932174267456,13200,1.0
burgers1d,fp64,1,0.0005,96,5,10000,800,800,12000,1200,0.061657408037109084,0.3750501033786133,1366.682519197464,/kaggle/working/runs/burgers_hard_nu_0p0005_fp64_1,0.0005,0.3730345486275325,12400,1.0054031315825744
