task_name,dtype,seed,alpha,hid_size,num_layers,n_collocation,n_ic,n_bc,adam_steps,lbfgs_steps,final_loss,final_l2_error,time_sec,log_dir,m,lambda_val,best_l2_error,best_step,l2_ratio
helmholtz1d,fp32,0,"{'m': 5, 'lambda_val': 1.0}",128,4,5000,0,2,10000,800,9.365208825329319e-06,0.002620275365188718,157.20324301719666,runs/helmholtz_m5_fp32_0,5,1.0,0.0023082674015313387,10400,1.135169765621777
helmholtz1d,fp32,1,"{'m': 5, 'lambda_val': 1.0}",128,4,5000,0,2,10000,800,9.10967355594039e-06,0.00303186965174973,150.41956233978271,runs/helmholtz_m5_fp32_1,5,1.0,0.0012301544193178415,10400,2.464625256909612
helmholtz1d,fp64,0,"{'m': 5, 'lambda_val': 1.0}",128,4,5000,0,2,10000,800,3.823004746177453e-07,0.0008244411099714245,144.93560576438904,runs/helmholtz_m5_fp64_0,5,1.0,0.0008157897861872876,10400,1.0106048444472076
helmholtz1d,fp64,1,"{'m': 5, 'lambda_val': 1.0}",128,4,5000,0,2,10000,800,3.7065791590529045e-06,0.00045236363634100024,144.8354365825653,runs/helmholtz_m5_fp64_1,5,1.0,0.00045236363634100024,10800,1.0
helmholtz1d,fp32,0,"{'m': 8, 'lambda_val': 1.0}",128,4,5000,0,2,10000,800,0.030001886188983917,9.055488586425781,145.38935780525208,runs/helmholtz_m8_fp32_0,8,1.0,0.9888505339622498,4200,9.15759083442178
helmholtz1d,fp32,1,"{'m': 8, 'lambda_val': 1.0}",128,4,5000,0,2,10000,800,0.00025284651201218367,0.07091744244098663,147.61187934875488,runs/helmholtz_m8_fp32_1,8,1.0,0.055307384580373764,10700,1.2822418376686757
helmholtz1d,fp64,0,"{'m': 8, 'lambda_val': 1.0}",128,4,5000,0,2,10000,800,0.0018210463495325823,0.15803944715973667,146.62415552139282,runs/helmholtz_m8_fp64_0,8,1.0,0.15803944715973667,10800,1.0
helmholtz1d,fp64,1,"{'m': 8, 'lambda_val': 1.0}",128,4,5000,0,2,10000,800,8.763790458286542e-05,0.03428975659625223,146.77921390533447,runs/helmholtz_m8_fp64_1,8,1.0,0.03428975659625223,10800,1.0
helmholtz1d,fp32,0,"{'m': 10, 'lambda_val': 1.0}",128,4,5000,0,2,10000,800,0.19098801910877228,2.4420313835144043,146.7557361125946,runs/helmholtz_m10_fp32_0,10,1.0,0.9999887943267822,700,2.4420587484267178
helmholtz1d,fp32,1,"{'m': 10, 'lambda_val': 1.0}",128,4,5000,0,2,10000,800,0.004761156626045704,0.5190091133117676,146.9917688369751,runs/helmholtz_m10_fp32_1,10,1.0,0.5190091133117676,10800,1.0
helmholtz1d,fp64,0,"{'m': 10, 'lambda_val': 1.0}",128,4,5000,0,2,10000,800,0.007516500205363761,1.1331122282187611,146.29603171348572,runs/helmholtz_m10_fp64_0,10,1.0,0.9999874171388566,100,1.1331264861919947
helmholtz1d,fp64,1,"{'m': 10, 'lambda_val': 1.0}",128,4,5000,0,2,10000,800,0.0001981441448851893,0.31655661641409155,146.94209790229797,runs/helmholtz_m10_fp64_1,10,1.0,0.05984968348333881,10500,5.289194495108998
helmholtz1d,fp32,0,"{'m': 12, 'lambda_val': 1.0}",128,4,5000,0,2,10000,800,0.17021460831165314,4.211032867431641,148.53005528450012,runs/helmholtz_m12_fp32_0,12,1.0,0.9999970197677612,100,4.211045417324952
helmholtz1d,fp32,1,"{'m': 12, 'lambda_val': 1.0}",128,4,5000,0,2,10000,800,0.0949416384100914,5.149521350860596,148.35846281051636,runs/helmholtz_m12_fp32_1,12,1.0,0.9977800250053406,8800,5.160978594287887
helmholtz1d,fp64,0,"{'m': 12, 'lambda_val': 1.0}",128,4,5000,0,2,10000,800,0.0004457112017002326,1.7376435591699622,147.37046432495117,runs/helmholtz_m12_fp64_0,12,1.0,0.9997685303210976,1700,1.7380458640880403
helmholtz1d,fp64,1,"{'m': 12, 'lambda_val': 1.0}",128,4,5000,0,2,10000,800,0.006505621013226234,3.3034880648171168,147.3029432296753,runs/helmholtz_m12_fp64_1,12,1.0,0.9998039163194452,1900,3.3041359519556295
helmholtz1d,fp32,0,"{'m': 15, 'lambda_val': 1.0}",128,4,5000,0,2,10000,800,0.5011609196662903,1.0000313520431519,143.5318386554718,runs/helmholtz_m15_fp32_0,15,1.0,0.9997928738594055,8600,1.0002385275890453
helmholtz1d,fp32,1,"{'m': 15, 'lambda_val': 1.0}",128,4,5000,0,2,10000,800,0.3428387939929962,6.968995571136475,147.55069589614868,runs/helmholtz_m15_fp32_1,15,1.0,0.9984186291694641,1,6.980033592656062
helmholtz1d,fp64,0,"{'m': 15, 'lambda_val': 1.0}",128,4,5000,0,2,10000,800,0.422708957132884,16.60525468992178,147.3569839000702,runs/helmholtz_m15_fp64_0,15,1.0,0.9998888870258557,6600,16.6070999541896
helmholtz1d,fp64,1,"{'m': 15, 'lambda_val': 1.0}",128,4,5000,0,2,10000,800,0.4548909346184984,11.871134287362322,146.27697086334229,runs/helmholtz_m15_fp64_1,15,1.0,0.9997146390353306,2000,11.874522812647127
