task_name,dtype,seed,alpha,hid_size,num_layers,n_collocation,n_ic,n_bc,adam_steps,lbfgs_steps,resample_every,final_loss,final_l2_error,time_sec,log_dir,m,lambda_val,best_l2_error,best_step,l2_ratio
helmholtz1d,fp32,0,"{'m': 5, 'lambda_val': 1.0}",128,4,5000,0,2,10000,1000,200,1.2645352853724035e-06,0.0001507458946434781,180.73023962974548,runs/helmholtz_rs_m5_fp32_0,5,1.0,0.0001507458946434781,10200,1.0
helmholtz1d,fp32,1,"{'m': 5, 'lambda_val': 1.0}",128,4,5000,0,2,10000,1000,200,3.3366245588695165e-07,0.00014947904855944216,180.42691206932068,runs/helmholtz_rs_m5_fp32_1,5,1.0,0.00014947904855944216,10200,1.0
helmholtz1d,fp64,0,"{'m': 5, 'lambda_val': 1.0}",128,4,5000,0,2,10000,1000,200,3.1971817839339166e-07,0.0012781916212314252,154.24301624298096,runs/helmholtz_rs_m5_fp64_0,5,1.0,0.0008974688928242712,10100,1.424218300434956
helmholtz1d,fp64,1,"{'m': 5, 'lambda_val': 1.0}",128,4,5000,0,2,10000,1000,200,3.0441835297926694e-07,5.777493379241883e-05,156.91302680969238,runs/helmholtz_rs_m5_fp64_1,5,1.0,5.777493379241883e-05,11000,1.0
helmholtz1d,fp32,0,"{'m': 6, 'lambda_val': 1.0}",128,4,5000,0,2,10000,1000,200,2.814587958255288e-07,8.179871656466275e-05,182.94811463356018,runs/helmholtz_rs_m6_fp32_0,6,1.0,8.179871656466275e-05,10200,1.0
helmholtz1d,fp32,1,"{'m': 6, 'lambda_val': 1.0}",128,4,5000,0,2,10000,1000,200,4.147877632476593e-07,0.0008209836669266224,174.20927548408508,runs/helmholtz_rs_m6_fp32_1,6,1.0,0.0004539585206657648,10400,1.8084993001620218
helmholtz1d,fp64,0,"{'m': 6, 'lambda_val': 1.0}",128,4,5000,0,2,10000,1000,200,6.50467185424241e-07,0.0018195574717574199,160.21111488342285,runs/helmholtz_rs_m6_fp64_0,6,1.0,0.00025484187680111593,10100,7.139946913738363
helmholtz1d,fp64,1,"{'m': 6, 'lambda_val': 1.0}",128,4,5000,0,2,10000,1000,200,4.2180887244204773e-07,0.0007587241276229045,165.78130435943604,runs/helmholtz_rs_m6_fp64_1,6,1.0,0.0007584813423114463,10900,1.0003200939797918
helmholtz1d,fp32,0,"{'m': 7, 'lambda_val': 1.0}",128,4,5000,0,2,10000,1000,200,6.423001650546212e-07,0.0011489177122712135,177.93128299713135,runs/helmholtz_rs_m7_fp32_0,7,1.0,0.0011489177122712135,10400,1.0
helmholtz1d,fp32,1,"{'m': 7, 'lambda_val': 1.0}",128,4,5000,0,2,10000,1000,200,9.288816613661766e-07,0.0015475167892873287,183.59991145133972,runs/helmholtz_rs_m7_fp32_1,7,1.0,0.0015475167892873287,10200,1.0
helmholtz1d,fp64,0,"{'m': 7, 'lambda_val': 1.0}",128,4,5000,0,2,10000,1000,200,3.457391751871713e-07,0.0008842938102300425,163.7110526561737,runs/helmholtz_rs_m7_fp64_0,7,1.0,0.0006885345669491047,10100,1.2843128764737937
helmholtz1d,fp64,1,"{'m': 7, 'lambda_val': 1.0}",128,4,5000,0,2,10000,1000,200,2.736700253212198e-07,0.00034036760794367576,160.52083325386047,runs/helmholtz_rs_m7_fp64_1,7,1.0,0.000340217980358743,10300,1.0004397991686829
helmholtz1d,fp32,0,"{'m': 8, 'lambda_val': 1.0}",128,4,5000,0,2,10000,1000,200,5.426192046797951e-07,0.0021061119623482227,180.25551104545593,runs/helmholtz_rs_m8_fp32_0,8,1.0,0.0013765438925474882,10400,1.5299998596125883
helmholtz1d,fp32,1,"{'m': 8, 'lambda_val': 1.0}",128,4,5000,0,2,10000,1000,200,1.4345403087645536e-06,0.0036951485089957714,181.65801668167114,runs/helmholtz_rs_m8_fp32_1,8,1.0,0.0036951485089957714,10300,1.0
helmholtz1d,fp64,0,"{'m': 8, 'lambda_val': 1.0}",128,4,5000,0,2,10000,1000,200,7.365225484007258e-07,0.0017310368678821544,159.59601426124573,runs/helmholtz_rs_m8_fp64_0,8,1.0,0.0011055835956741598,10200,1.5657222797581465
